['বিশ্বে', 'পাগলামি', 'উমর', 'ভুয়ো', 'অপরাধ', 'মণ্ডলের', 'পড়লে', 'ভাইকে', 'লঞ্চ', 'রানওয়ে']
['শীঘ্র', 'যেগুলোর', 'হুট', 'ক্যাসিনো', 'কতই', 'যেগুলো', 'যেগু\u200cলো', 'ভেতরটা', 'অসাধারন', 'নাশ']
['আমাদেরই', 'লাইভ', 'যেমনটা', 'স্বত', 'নয়ই', 'ধর্মনিরপেক্ষ', 'নির্বিঘ্নে', 'ঘটনাস্থল', 'উইন্ড', 'নিচ']
['নিঃসন্দেহে', 'আমাদেরই', 'ধর্মনিরপেক্ষ', 'ড্রিংক', 'ডুম', 'নির্বিঘ্নে', 'নয়ই', 'নুর', 'মিশরের', 'পরোক্ষভাবে']
['অনুরাগ', 'জাহির', 'ফেলেন', 'খোঁজাখুঁজি', 'জঙ্গলের', 'দাঁড়ায়', 'প্রবীণ', 'পাচ্ছিল', 'রিমান্ড', 'যায়']
['অহিংস', 'কামনা', 'একাই', 'শুনতে', 'শুন\u200cতে', '34', 'আশায়', 'কুপ', '33', 'নেবেন']
['আলস্য', 'ভ্যানিলা', 'ভার্দি', 'মজিলা', 'বেতিলা', 'পাল্কি', 'রঙিলা', 'মেন্দা', 'সাবাশ', 'এরিনা']
['তরফ', 'সুস্বাদু', 'ময়দানে', 'কিছুর', 'বাড়ির', 'ঘটা', 'চেষ্টা', 'একে', 'গুলোও', 'অপরাধের']
['লাইফ', 'দুমড়ে', 'মাল্টি', 'অবধি', 'একাধারে', 'তাঁদের', 'সমাজে', 'ঢ', 'এতগুলো', 'ভেবেই']
['বাহর', 'এলোর', 'ইলার', 'গিয়ার', 'নিয়ার', 'তাকের', 'সবর', 'টোর', 'বিরুদ্ধের', 'ঐর']
['নিঃসন্দেহে', 'মিশরের', 'আমাদেরই', 'ধর্মনিরপেক্ষ', 'নয়ই', 'ড্রিংক', 'ডুম', 'পরোক্ষভাবে', 'স্পিড', 'নিরস্ত্র']
['যেগুলোর', 'নাশ', 'মিসরের', 'আন্তরিকতার', 'স্ট্রাইক', 'কোনোভাবে', 'বেষ্ট', 'সালাত', 'শীঘ্র', 'এতোটা']
['অনতি', 'যেমনটা', 'মিসরের', 'হাসিখুশি', 'এতদূর', 'ভীষণভাবে', 'কোনোভাবে', 'এটা', 'স্পোর্টিং', 'নির্দ্বিধায়']
['অনতি', 'মিসরের', 'হাসিখুশি', 'এতদূর', 'কোনোভাবে', 'ভীষণভাবে', 'এতোটা', 'স্পোর্টিং', 'যেমনটা', 'নির্দ্বিধায়']
['মিসরের', 'অনতি', 'হাসিখুশি', 'কোনোভাবে', 'ভীষণভাবে', 'এতদূর', 'এতোটা', 'ফলশ্রুতিতে', 'একান্ত', 'নির্দ্বিধায়']
['উপকারিতা', 'ইনস্টলেশন', 'ক্যান্টমেন্ট', 'নিঃসারী', 'নোটারি', 'বিষয়াদী', 'সামিনা', 'সায়িদা', 'যোগিতা', 'আয়নীকরণ']
['মিসরের', 'হাসিখুশি', 'অনতি', 'কোনোভাবে', 'ভীষণভাবে', 'এতদূর', 'এতোটা', 'ফলশ্রুতিতে', 'যেমনটা', 'এরম']
['মিসরের', 'কোনোভাবে', 'এতোটা', 'ভীষণভাবে', 'হাসিখুশি', 'নাশ', 'ফলশ্রুতিতে', 'আন্তরিকতার', 'অনতি', 'একান্ত']
['কুৎসিত', 'হাস্যকর', 'বাইর', 'সুশীল', 'চাইতেই', 'অপমান', 'বিদেশী', 'লব', 'ট্রাইব্যুনালে', 'ছেলেটা']
['', '', '', '', '', '', '', '', '', '']
['কৃতজ্ঞ', 'রাখিস', '৫ম', 'লাইব্রেরী', 'হয়না', 'ব্যাপক', 'আফসোস', 'বৃহত্তম', 'হাসিনাকে', 'গেলাম']
['অনতি', 'মিসরের', 'যেমনটা', 'এতদূর', 'হাসিখুশি', 'ভীষণভাবে', 'কোনোভাবে', 'নির্দ্বিধায়', 'এতোটা', 'স্পোর্টিং']
['মিসরের', 'যেমনটা', 'অনতি', 'ভীষণভাবে', 'এতদূর', 'হাসিখুশি', 'কোনোভাবে', 'মরিয়ম', 'এতোটা', 'নির্দ্বিধায়']
['এরমধ্যে', 'নভো', 'মিশরের', 'স্পিড', 'মিশরীয়', 'এরপরও', 'পরোক্ষভাবে', 'এট', 'অবৈধভাবে', 'ধর্মনিরপেক্ষ']
['গরিষ্ঠ', 'বরিষ্ঠ', 'গুণাঙ্ক', 'বিশিষ্ঠ', 'করবর্ষ', 'রোজামন্ড', 'সংবর্ত', 'গ্ৰহণ', 'বশিষ্ঠ', 'উত্পত্তি']
['কলটা', 'গভীরে', 'ফার্স্ট', 'ডার্ক', 'কিন', 'ঝর্ণা', 'খোঁচা', 'মাহবুবুল', 'অঙ্কিতা', 'ফাঁসির']
['যেমনটা', 'অনতি', 'মরিয়ম', 'মিসরের', 'এতদূর', 'ভীষণভাবে', 'শামীম', 'নির্দ্বিধায়', 'গোটা', 'এরম']
['জালনা', 'গঞ্জনা', 'বেচাকেনা', 'ডালনা', 'পাটনা', 'কৃষনা', 'মোকনা', 'ইটনা', 'পুতনা', 'জেলেনা']
['এপিল', 'গরল', 'সরেল', 'আনছিল', 'মানাল', 'খুঁজছিল', 'প্লেল', 'রীল', 'খেয়েছিল', 'সৌল']
['গৌণ', 'তোরণ', 'গোপণ', 'বহণ', 'মারসি', 'রাগিব', 'প্রণয়ণ', 'কৃষ্ণণ', 'মরুয়া', 'প্রাক্তণ']
['হাসিখুশি', 'মিসরের', 'অনতি', 'কোনোভাবে', 'ভীষণভাবে', 'এতদূর', 'এতোটা', 'ফলশ্রুতিতে', 'স্পোর্টিং', 'নির্দ্বিধায়']
['মিশরীয়', 'পরোক্ষভাবে', 'নভো', 'অংশীদার', 'ড্রিংক', 'জার', 'মুদি', 'নীচু', 'মিশরের', 'বড়লোক']
['স্পিড', 'ধর্মনিরপেক্ষ', 'আমাদেরই', 'মিশরের', 'নয়ই', 'এরমধ্যে', 'লাইভ', 'অবৈধভাবে', 'এট', 'ঘটনাস্থল']
['ঠুনকো', 'জ্যাকুইস', 'মিনিট্রাক', 'তথৈবচ', 'হিরাকুদ', 'গড়িমসি', 'মিলনান্তক', 'কোরায়েশ', 'পূর্নাংগ', 'ভাট্টাল']
['মিসরের', 'হাসিখুশি', 'কোনোভাবে', 'এতোটা', 'ভীষণভাবে', 'নাশ', 'আন্তরিকতার', 'অনতি', 'কনসার্ট', 'যেগুলোর']
['দুর্নাম', 'সেলাম', 'ব্যয়াম', 'ফেলতাম', 'শবনাম', 'ঝিলাম', 'বয়াম', 'মোকাম', 'যাইতাম', 'নিচ্ছিলাম']
['অমৃতা', 'ক্ষম', 'দুর্ভাগ্য', 'পিডিএফ', 'গেট', 'ছেলেটি', 'ফ্রী', 'মোশারফ', 'অস', '১১৬']
['উপরেই', 'কতটা', 'শরীফের', 'গ্রো', 'ভবিষ্যতে', 'দামী', 'সিয়াম', 'নগরীর', 'ডালে', 'অঞ্চলে']
['লিক', 'ওনার', 'ইকবালের', 'নেতাদের', 'চিরকালই', 'আকারের', 'ধূর্ত', 'অপরের', 'জোটের', 'উচ্চশিক্ষার']
['অনতি', 'মিসরের', 'হাসিখুশি', 'যেমনটা', 'এতদূর', 'ভীষণভাবে', 'কোনোভাবে', 'নির্দ্বিধায়', 'এতোটা', 'মরিয়ম']
['আয়োজিত', 'মিষ্ট', 'জোসেফ', 'সে', 'আল', 'আজম', 'ভগবান', 'দোষী', 'প্রার্থীদের', 'সারাজ']
['ধনাত্মক', 'স্টাইলিস্টিক', 'সময়োচিত', 'ফিজিকাল', 'গর্ভমেন্ট', 'ভিজুয়াল', 'লজিকাল', 'সংগায়িত', 'ক্রিটিকাল', 'বারাকজাই']
['সুদের', 'আমি', 'জারি', 'কলমের', 'সঙ্গে', 'স\u200cঙ্গে', 'মাংস', 'তাঁহারা', 'প্রতি', 'নতুন']
['নশ্বর', 'মারহাব', 'তালেশ্বর', 'ফরস্টার', 'কপালেশ্বর', 'নিহন', 'কমলেশ্বর', 'ছত্রাক', 'শহরকেন্দ্র', 'উয়িক']
['দেওয়াস', 'নিরস', 'মনস', 'দুস', 'দরস', 'মার্কেস', 'সেস', 'সারস', 'কলেজেস', 'স্কুলস']
['মিথ্যা', 'এতোটাই', 'অনিন্দ', 'মিশ্র', 'তিনিও', 'গোপনে', 'প্রসিদ্ধ', 'দিয়া', 'বলিব', 'চেয়ারম্যানের']
['নিঃসন্দেহে', 'দীর্ঘদিন', 'পরোক্ষভাবে', 'বড়লোক', 'ড্রিংক', 'মিশরীয়', 'ঘের', 'মিশরের', 'নীচু', 'এলিট']
['যেমনটা', 'লাইভ', 'আমাদেরই', 'ধর্মনিরপেক্ষ', 'স্বত', 'অজু', 'নয়ই', 'ঘটনাস্থল', 'উইন্ড', 'নিচ']
['যেমনটা', 'অজু', 'লাইভ', 'নির্বিকার', 'অনতি', 'বসুন্ধরা', 'এটা', 'স্বত', 'ফুরফুরে', 'নিচ']
['যেমনটা', 'লাইভ', 'অজু', 'বসুন্ধরা', 'নিচ', 'নির্বিকার', 'স্বত', 'আমাদেরই', 'অ্য', 'উইন্ড']
['আমাদেরই', 'নয়ই', 'ধর্মনিরপেক্ষ', 'নিঃসন্দেহে', 'মিশরের', 'স্পিড', 'লাইভ', 'স্বত', 'নির্বিঘ্নে', 'ডুম']
['মিসরের', 'অনতি', 'হাসিখুশি', 'ভীষণভাবে', 'এতদূর', 'কোনোভাবে', 'যেমনটা', 'এতোটা', 'নির্দ্বিধায়', 'এরম']
['ধনী', 'সাজাপ্রাপ্ত', 'রক্ষায়', 'সিট', 'বৈধতা', 'অনুভূতিতে', 'বাড়ল', 'একদিন', 'ফরে', 'শুনেছিলাম']
['মিসরের', 'হাসিখুশি', 'কোনোভাবে', 'অনতি', 'ভীষণভাবে', 'এতোটা', 'এতদূর', 'ফলশ্রুতিতে', 'কনসার্ট', 'একান্ত']
['মিসরের', 'হাসিখুশি', 'অনতি', 'কোনোভাবে', 'ভীষণভাবে', 'এতদূর', 'এতোটা', 'ফলশ্রুতিতে', 'এরম', 'নির্দ্বিধায়']
['নিরাপদ', 'ঝুঁকিপূর্ণ', 'গোলাপি', 'পর্যবেক্ষণে', 'বীর', 'প্রতিনিয়ত', 'শেষমেষ', 'এবছর', 'টাঙানো', 'ঘাত']
['যেমনটা', 'অ্য', 'লাইভ', 'নিচ', 'ধর্মনিরপেক্ষ', 'ঘটনাস্থল', 'উত্তোলন', 'মেহেদী', 'স্বত', 'উইন্ড']
['অনতি', 'মিসরের', 'যেমনটা', 'হাসিখুশি', 'এতদূর', 'ভীষণভাবে', 'কোনোভাবে', 'এতোটা', 'নির্দ্বিধায়', 'এরম']
['বেটার', 'মিশরীয়', 'পরোক্ষভাবে', 'বড়লোক', 'জার', 'যেকোনো', 'প্রতিটা', 'ব্যালেন্স', 'নীচু', '২০টি']
['যেমনটা', 'লাইভ', 'অ্য', 'অজু', 'ভ্যাট', 'নিচ', 'শামীম', 'উত্তোলন', 'অনতি', 'বিস্তারিত']
['মরো', 'রাজ্জো', 'সোহানা', 'বানো', 'ভিজা', 'জুনো', 'শাসা', 'অর্থো', 'চুকা', 'বেলো']
['যেমনটা', 'অনতি', 'মরিয়ম', 'এতদূর', 'শামীম', 'অ্য', 'নির্দ্বিধায়', 'মিসরের', 'বিস্তারিত', 'ভ্যাট']
['যেগুলোর', 'নাশ', 'মিসরের', 'শীঘ্র', 'স্ট্রাইক', 'আন্তরিকতার', 'বেষ্ট', 'সালাত', 'কোনোভাবে', 'ভেতরটা']
['আঁটসাঁট', 'মচমচে', 'কালীপ্রসন্ন', 'পেন্ডুলাম', 'স্পোটিফাই', 'অনৈচ্ছিক', 'বিশৃংখলার', 'কষ্টিপাথরে', 'স¤্রাট', 'বার্বাডোজ']
['ভালো', 'ভা\u200cলো', 'পাবলিক', 'ডাক্তারদের', 'পরেছে', 'একদিন', 'প্রজন্ম', 'পরিবার', 'সিট', 'বাঁচান']
['নিঃসন্দেহে', 'আমাদেরই', 'নয়ই', 'নির্বিঘ্নে', 'ধর্মনিরপেক্ষ', 'লাইভ', 'স্বত', 'ডুম', 'নিরস্ত্র', 'মিশরের']
['যেমনটা', 'অজু', 'লাইভ', 'নির্বিকার', 'অনতি', 'বসুন্ধরা', 'এটা', 'স্বত', 'ফুরফুরে', 'নিচ']
['উপরেই', 'কতটা', 'ফলে', 'নামক', 'শরীফের', 'নগরীর', 'পাওয়ার', 'সযত্নে', 'কারখানার', 'অবধি']
['অকর্মক', 'আপতিত', 'ভূপতিত', 'পাব্লিক', 'কল্পনাতীত', 'সকর্মক', 'শ্লিক', 'কত্থক', 'বহির্গত', 'কুত্তক']
['অয়লার', 'গুডস', 'পাবনা', 'পাবনার', 'অইছে', 'নিয়ােগ', 'ফরিদপুরে', 'এগুলি', 'ভ্রমন', 'ব্যাপারটি']
['অয়লার', 'গুডস', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'এগুলি', 'পাবনার', 'বহিঃসংযোগ', 'কৃষ্ণনগর', 'ভ্রমন']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'পাবনার', 'কাপ্তাই']
['ডায়রি', 'ব্ল্যাক', 'স্কুলের', 'ঘুরিয়া', 'পঠিত', 'জঙ্গলের', 'নিতো', 'জাহির', 'আহত', 'প্রার্থী']
['লিখছেন', 'শ্রেষ্ঠ', 'আন', 'ব্যাড', 'পারো', 'উটের', 'বিজয়ী', 'ব্যাক্তি', 'অধিকার', 'বিলাসবহুল']
