['চাচা', '২০১২', 'তৃতীয়', 'পরিত্রাণ', 'মৃত্যুদন্ড', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাংলাদেশেও', 'বংশধর']
['মিজানুর', 'উইশ', 'অংশগ্রহণ', 'তুমিও', 'হ্যাটট্রিক', 'নামবে', 'মুরগির', 'অভিমানে', 'সুব্রত', 'ঘনিষ্ঠ']
['', '', '', '', '', '', '', '', '', '']
['মিজানুর', 'উইশ', 'নামবে', 'অংশগ্রহণ', 'হ্যাটট্রিক', 'তুমিও', 'মুরগির', 'পরিচালনা', 'প্লেয়ার', 'ঘনিষ্ঠ']
['সুখের', 'কইতে', 'গাল', 'পেছন', 'কেলেঙ্কারি', 'জেলে', 'বিশ্ববিদ্যালয়', 'বাস্তবিক', '১৯৭৩', 'ধরেছে']
['ওয়ারলক', 'চিসিম', 'তাকসিম', 'সেচখাল', 'মুশরিক', 'সদাচার', 'নামডাক', 'নাতসাই', 'লোপ্পা', 'আরকান']
['নাফে', 'লালমনিরহাটে', 'আচরনে', 'বান্দরবানে', 'প্রহসনে', 'নকলে', 'লাঘবে', 'কান্দে', 'দুর্ভোগে', 'হ্রদে']
['মা', 'দলের', 'দ\u200cলের', 'আমাকেও', 'বামে', 'অভিমানে', 'লেটার', 'বৈঠক', 'নিলেই', 'বলেন']
['ছেলে', 'ছে\u200cলে', 'আশিক', 'সাপোর্ট', 'সা\u200cপোর্ট', 'হলফ', 'পরিত্রাণ', 'ডিসেম্বর', 'খাঁচায়', 'নির্মল']
['1', '38', 'রাখলাম', 'কুখ্যাত', 'ভট্ট', 'লোডশেডিং', 'মনুষ্যত্ব', '63', 'ইঞ্জিনিয়ার', 'পারছ']
['মিজানুর', 'উইশ', 'প্লেয়ার', 'নামবে', 'সাস', 'পরিচালনা', 'অফিসারদের', 'গল্পে', 'হ্যাটট্রিক', 'ঘনিষ্ঠ']
