['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'ইনস্টিটিউট', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'আঠারো', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'বাঙালী', 'তনিমা', 'ইনস্টিটিউট', 'এসেছিলো']
['টে', 'দক্ষিণা', '১টা', '২০১২', 'রাখায়', 'গায়', 'উদ্যোগ', 'ফেলতে', 'এমনটা', 'ভুগছিলেন']
['পহেলা', 'স্বার্থে', 'কার্যালয়ে', 'জিতেছে', 'বাঙালী', 'সম্মান', 'তনিমা', 'সবাইকেই', 'ডিআইজি', 'থাকবি']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'আঠারো', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'হয়েছি', 'সম্মান', 'ইনস্টিটিউট', 'করেছে', 'ক\u200cরে\u200cছে', 'লাগলেও']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'লাগলেও', 'আঠারো']
['পহেলা', 'জিতেছে', 'কার্যালয়ে', 'স্বার্থে', 'সম্মান', 'হয়েছি', 'ইনস্টিটিউট', 'এসেছিলো', 'আঠারো', 'লাগলেও']
