['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'অধিকার']
['ধর্ম', 'দিতেও', 'মুহাম্মদ', 'সালে', 'সা\u200cলে', '\u200eসালে', 'বাঁচতে', 'একমাত্র', 'বংশধর', 'ঈসা']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'করিলেন']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'অধিকার']
['মুহাম্মদ', 'ধর্ম', 'বরং', 'দিতেও', 'ঈসা', 'ঘটবে', 'বিবেচনা', 'বি\u200cবেচনা', 'একমাত্র', 'দাবিতে']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'করিলেন']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'সিটের']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'সিটের']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'হাসপাতাল', 'টাঙ্গ', 'হতেও', 'এবং', '\u200b\u200bএবং', 'সিটের', 'কাটাই']
['মুহাম্মদ', 'শান্তি', 'দাবিতে', 'বরং', 'অহিংস', 'বিবেচনা', 'বি\u200cবেচনা', 'ঘটবে', 'কাজে', 'ঈসা']
['', '', '', '', '', '', '', '', '', '']
['আগে', 'আ\u200cগে', 'উপত্যকায়', 'টাঙ্গ', 'হাসপাতাল', 'হতেও', 'এবং', '\u200b\u200bএবং', 'কাটাই', 'করিলেন']
