['স্টিয়ারিং', 'আঙুলের', 'আসছে', 'সত্তার', 'সুরেশ', 'অনুবাদ', 'চটে', 'আসাদের', 'অর্থনীতিবিদ', 'বিউ']
['ওঠা', 'গবেষণার', 'ইমি', 'র', 'বাণিজ্যের', 'আঁকার', 'সক্রিয়ভাবে', 'চৌধুরীর', 'গলিয়ে', 'জেলার']
['কিডনি', 'ডিগ্রী', 'কংগ্রেস', 'নেবো', 'কাঠাম', 'আসবো', 'গিয়াছে', 'উঠলাম', 'বুলাতে', 'রয়েছে']
['আপেল', 'ভিডিওর', 'ভি\u200cডিওর', 'শেরপুর', 'লিবার', 'ঝোপের', 'পড়াশোনায়', 'তাড়নায়', 'শর', 'পলিসি']
['ব্যক্তিত্বের', 'অর্থনীতিবিদ', 'হরেক', 'গাদ', 'মেরু', 'বোতল', 'মাথাব্যথা', 'ট্রান্সপোর্ট', 'সিন্দুক', 'সত্তার']
['অঙ্কুর', 'নীলের', 'সুসজ্জিত', 'নিরীহ', 'প্রোটিন', 'শহরকে', 'শুক', 'দেখল', 'নায়কের', 'চালা']
['স্তন্য', 'আবিষ্কৃত', 'সময়কার', 'সমেত', 'শৈবাল', 'গজিয়ে', 'সংখ্যার', 'গবেষক', 'চাকার', 'মাথাব্যথা']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'নালিকা', 'বটিকা', 'সহায়িকা', 'মদনিকা', 'কুমারিকা', 'পরিচালিকা', 'প্রবেশিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'জোত']
['ব্যাঘ্র', 'নজল', 'হ্যালোউইন', 'সমরাস্ত্র', 'শ্যামানন্দ', 'সিওয়ার্ড', 'মালগাড়ি', 'দেবমূর্তি', 'রুশদী', 'পদ্মফুল']
['শৃগাল', 'পুরন্দর', 'বুঝিয়েছেন', 'ডেভস', 'হেইন', 'মাধ্যেমে', 'চিলেকোঠা', 'কিনেছিলেন', 'চাঁইয়ের', 'টেরিজার']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'আনন্দী', 'উদয়ী', 'গৃহী', 'বৈরাগী', 'একটী', 'মহিষী']
['পক্ষী', 'চক্রী', 'বিষয়ী', 'কৌশলী', 'কেন্দ্রী', 'মেরী', 'ভাগী', 'নবমী', 'পূর্বী', 'পঞ্চমী']
['সংখ্যায়', 'বুঝি', 'অনুবাদ', 'ফেরেশতা', 'খাদ্যশস্য', 'আসছে', 'ইংরেজ', 'মেরিল', 'চটে', 'মার্চ']
['মাথাব্যথা', 'আবিষ্কৃত', 'অর্থনীতিবিদ', 'সত্তার', 'ব্যক্তিত্বের', 'ডিক', 'ক্যানসার', 'বাঁদর', 'ফ্রান', 'সিন্দুক']
['সমেত', 'আশার', 'বুদ্ধির', 'স্বভাবের', 'যমজ', 'সরু', 'স্বৈরাচারী', 'ফিঙ্গার', 'নোটের', 'গজিয়ে']
['আঙুলের', 'সত্তার', 'অর্থনীতিবিদ', 'আসছে', 'স্টিয়ারিং', 'সুরেশ', 'আসাদের', 'অনুবাদ', 'বিউ', 'চটে']
['ব্রাহ্মণের', '৩৮', 'বোম', 'শাসকদের', 'শেখের', 'টেবিলের', 'হুজুরের', 'হুর', 'সঞ্চিত', 'স্থানের']
['তুলো', 'ফেলতো', 'পড়ছিলো', 'কাসো', 'পোলো', 'নেমো', 'অর্থো', 'ওয়াকো', 'চারো', 'মালো']
['তুলো', 'পড়ছিলো', 'ফেলতো', 'কাসো', 'নেমো', 'অর্থো', 'পোলো', 'চারো', 'মালো', 'আমিনো']
['ফেলতো', 'তুলো', 'পড়ছিলো', 'ওয়াকো', 'কাসো', 'জর্জো', 'পোলো', 'মোবো', 'জারো', 'গ্রুপো']
['ফেলতো', 'তুলো', 'ওয়াকো', 'পড়ছিলো', 'জর্জো', 'কাসো', 'পোলো', 'বেনো', 'জারো', 'মোবো']
['তুলো', 'পড়ছিলো', 'কাসো', 'অর্থো', 'নেমো', 'পোলো', 'ফেলতো', 'চারো', 'মালো', 'আমিনো']
['তুলো', 'ফেলতো', 'পড়ছিলো', 'কাসো', 'ওয়াকো', 'জর্জো', 'পোলো', 'মোবো', 'অর্থো', 'জারো']
['তুলো', 'পড়ছিলো', 'কাসো', 'অর্থো', 'নেমো', 'ফেলতো', 'পোলো', 'চারো', 'মালো', 'আমিনো']
['ধোনির', 'খোদিত', 'বাসেলের', 'কাপলের', 'ভোগ', 'দ্যুমা', 'ডোমিনি', 'ওরেলের', 'মিলনারের', 'গামিনি']
['গর্জনে', 'বিক্রয়ে', 'চিরকুটে', 'হ্যামে', 'নক্ষত্রে', 'বিছে', 'সত্তরে', 'শ্রাবণে', 'গদ্যে', 'কেয়ারে']
['মাঝারিপাল্লার', 'ধোনির', 'জলগাঁও', 'সমঝোতার', 'পুরোহিত', 'চেন্নাইয়ের', 'শোধ', 'ভোগ', 'তাওরাতের', 'পরশুরামের']
['সাহো', 'ওলো', 'তুলো', 'জুনো', 'লিনো', 'ওয়াকো', 'ক্যারো', 'স্পো', 'ডিনো', 'লেনো']
['ধোনির', 'বাসেলের', 'কাপলের', 'ক্যাবলের', 'চেন্নাইয়ের', 'ওরেলের', 'দহনে', 'সমঝোতার', 'খোদিত', 'ভোগ']
['ধোনির', 'দহনে', 'সমঝোতার', 'কেয়ারে', 'বাসেলের', 'চেন্নাইয়ের', 'রৌদ্রে', 'ক্যাবলের', 'মোহনবাগানে', 'মাখোঁর']
['তুলো', 'পড়ছিলো', 'কাসো', 'অর্থো', 'পোলো', 'ফেলতো', 'নেমো', 'চারো', 'রাজ্জো', 'মালো']
['তুলো', 'পড়ছিলো', 'কাসো', 'অর্থো', 'নেমো', 'ফেলতো', 'পোলো', 'চারো', 'মালো', 'রাজ্জো']
['তুলো', 'পড়ছিলো', 'কাসো', 'নেমো', 'ফেলতো', 'অর্থো', 'পোলো', 'চারো', 'মালো', 'আমিনো']
['তুলো', 'পড়ছিলো', 'কাসো', 'অর্থো', 'পোলো', 'নেমো', 'ফেলতো', 'চারো', 'রাজ্জো', 'মালো']
['তুলো', 'ফেলতো', 'পড়ছিলো', 'কাসো', 'পোলো', 'নেমো', 'অর্থো', 'চারো', 'ওয়াকো', 'মালো']
['মেমোরি', 'সূত্রের', 'যানবাহন', 'গোলাম', 'কতক', 'দত্তের', 'কারাগার', 'হঠাত্', 'রিয়াদ', 'অন্যটি']
['পাবনার', 'অইছে', 'নিয়ােগ', 'তেমনি', 'ব্যাপারটি', 'নড়াইল', 'দ্যাটস', 'এমনকী', 'মিল্ক', 'টানাটানি']
['সংহতি', 'অন্তর্বর্তী', 'শেখা', 'জ্যোৎস্না', 'সাপ্তাহিক', 'জামাতে', 'ছেলেবেলা', 'ফতোয়া', 'পাচ', '১৯৭৯']
['হারিকেন', 'দেবতা', 'আইআই', 'তালিকায়', 'তা\u200cলিকায়', 'অনিয়মিত', 'রিভিউ', 'সমন্বয়ে', 'রোগীরা', 'হুসেইন']
['এগুলি', 'কৃষ্ণনগর', 'ভ্রমন', 'চর', 'কুমিল্লায়', 'বগুড়ার', 'শ্যাল', 'ইত্তেফাক', 'সয়', 'কাপ্তাই']
['ছড়ি', 'অধ্যায়ে', 'নামী', 'দৃষ্টিপাত', 'উপস্থাপিত', 'পিপলস', 'আইসি', 'মনোনীত', 'অ্যাডমিন', '১২৮']
['সেটি', 'সে\u200cটি', 'বহিঃসংযোগ', 'কুমিল্লায়', 'কাপ্তাই', 'হুঁ', 'ব্যবহূত', 'আমাদিগকে', 'টাকাপয়সা', 'মানছে']
['নাসিকা', 'কমলিকা', 'ঝটিকা', 'নালিকা', 'সহায়িকা', 'বটিকা', 'কুমারিকা', 'মদনিকা', 'প্রশিকা', 'পরিচালিকা']
['ঘৃত', 'ফিরত', 'বারাত', 'প্রস্তত', 'মঙ্গত', 'পাতিত', 'ভাবিত', 'বাজত', 'আনিত', 'কাটত']
['ব্যাঘ্র', 'নজল', 'হ্যালোউইন', 'সমরাস্ত্র', 'শ্যামানন্দ', 'মালগাড়ি', 'সিওয়ার্ড', 'দেবমূর্তি', 'রায়চাঁদ', 'রাওলাট']
['শৃগাল', 'সীতারমণ', 'হেইন', 'পুরন্দর', 'ডেভস', 'চাঁইয়ের', 'বুঝিয়েছেন', 'টার্মস', 'বুনেছে', 'ফ্যাক্টস']
['হস্তী', 'শংকরী', 'সাধনী', 'বল্লী', 'গৃহী', 'উদয়ী', 'করালী', 'আনন্দী', 'একটী', 'মুখী']
['পক্ষী', 'পূর্বী', 'কৌশলী', 'মেরী', 'চক্রী', 'কেন্দ্রী', 'ভাগী', 'সেনাবাহী', 'য়ী', 'পঞ্চমী']
['পাবনা', 'ব্যাপারটি', 'অইছে', 'সিরাজগঞ্জের', 'নোটিস', 'বৈদ্যুতিক', 'আফ্রিক', 'পরিদর্শক', 'খ্রীষ্ট', 'টানাটানি']
['ভ্রমন', 'এগুলি', 'কৃষ্ণনগর', 'চর', 'বগুড়ার', 'ইত্তেফাক', 'শ্যাল', 'মােট', 'সয়', 'তোমাদেরকে']
['ডেস', 'এসকল', 'সংগ্রহ', 'বৈকি', 'রেই', 'মীন', 'এটাতো', 'চাচ্ছি', 'বহিঃসংযোগ', 'রাণী']
['পাবনার', 'অইছে', 'নিয়ােগ', 'তেমনি', 'দ্যাটস', 'সম্বন্ধে', 'তোমাদেরকে', 'ব্যাপারটি', 'নড়াইল', 'মিল্ক']
['পাইন', 'অবহেলা', 'অনাকাঙ্ক্ষিত', 'অনুলিপি', 'কাগজের', 'উভয়', 'অন্যটি', 'কাঠের', 'ডেল', 'টিনের']
['হাসিখুশি', 'কোনোভাবে', 'স্ট্রাইক', 'স্পীড', 'মিসরের', 'দমবন্ধ', 'বেষ্ট', 'মাখামাখি', 'যেগুলোর', 'কনসার্ট']
['অয়লার', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'মীন', 'বহিঃসংযোগ', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম']
['অয়লার', 'ক্যাসিনো', 'হাসিখুশি', 'যেগুলোর', 'স্ট্রাইক', 'যেগুলো', 'যেগু\u200cলো', 'সমীহ', 'হুট', 'দর্শনীয়']
['বাসার', 'ডেন', 'জানানো', 'কিলোমিটার', 'জুতার', 'রোপণ', 'নিম্নে', 'সর্বনিম্ন', 'অ্যালবামের', 'তলে']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'হুট', 'এটাতো', 'যেটার', 'সেটি']
['অজু', 'টেকে', 'স্বস্তি', 'নির্বিকার', 'নির্বিঘ্নে', 'বসুন্ধরা', 'ন্যায্য', 'স্বত', 'ডেঙ্গু', 'লাগিয়েছে']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'অসাধারন', 'যেটার']
['নাসিকা', 'কমলিকা', 'ঝটিকা', 'সহায়িকা', 'বটিকা', 'কুমারিকা', 'নালিকা', 'পালিকা', 'মদনিকা', 'প্রশিকা']
['ঘৃত', 'ফিরত', 'বাজত', 'বারাত', 'কাটত', 'আনিত', 'প্রস্তত', 'মঙ্গত', 'পাতিত', 'বেইত']
['ব্যাঘ্র', 'সমরাস্ত্র', 'রামহরি', 'নজল', 'পয়লাহারা', 'সারদানন্দ', 'দেবমূর্তি', 'শ্রীহরি', 'মালগাড়ি', 'শ্যামানন্দ']
['বুনেছে', 'হোমগ্রাউন্ড', 'সীতারমণ', 'অযথার্থ', 'ফ্যাক্টস', 'উইলস', 'ব্রুকস', 'টার্মস', 'চাঁইয়ের', 'হাঁকডাক']
['হস্তী', 'মেমী', 'বল্লী', 'গৃহী', 'বসন্তী', 'পত্রী', 'করালী', 'বংশী', 'সাধনী', 'মুখী']
['পক্ষী', 'পূর্বী', 'বেজী', 'কৌশলী', 'গণী', 'সেনাবাহী', 'য়ী', 'গামী', 'পঞ্চমী', 'ব্যাটারী']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'এগুলি', 'বহিঃসংযোগ', 'মীন', 'কাপ্তাই', 'যেটাকে', 'কৃষ্ণনগর']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'শীঘ্র', 'হুট', 'এটাতো', 'যেটার', 'সেটি']
['অয়লার', 'ক্যাসিনো', 'যেগুলো', 'যেগু\u200cলো', 'এইরকম', 'হুট', 'শীঘ্র', 'সমীহ', 'অসাধারন', 'রোমা']
['অয়লার', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'মীন', 'বহিঃসংযোগ', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো', 'এইরকম']
['হাসিখুশি', 'স্ট্রাইক', 'যেগুলোর', 'স্পীড', 'বেষ্ট', 'কোনোভাবে', 'মাখামাখি', 'ক্যাসিনো', 'দর্শনীয়', 'সালাত']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['পেলি', 'তথ্যের', 'ত\u200cথ্যের', 'ফরম', 'মানুষরা', 'অমুক', 'সাজগোজ', 'অঙ্কিত', 'মাখন', 'ইহাই']
['লিল', 'মশাই', 'কারিগর', 'পরিমাপ', 'চূড়ান্ত', 'অভিধান', 'স্বত্বাধিকার', 'প্রবিধান', 'রাবার', 'ব্যথা']
['জমতে', '12', 'গর্ভবতী', 'ঠাকুরের', 'ওষুধ', 'কবিতায়', 'ঠাকুর', 'শিব', 'অপরূপ', 'আধ্যাত্ম']
['জ্যোৎস্না', 'উপহাস', 'রোগীরা', 'থাকিতে', 'বনের', 'আব্দ', 'ক্ষুধা', 'ঝরে', 'জরিপের', 'মীমাংসা']
['পুরোহিত', 'পরিষদে', 'বাদ্যযন্ত্র', 'দেখবেন', 'ওভারের', 'গিয়াছে', 'অমূল্য', 'আদালত', 'কবর', 'জাস']
['পিছনে', 'লাল', 'বন্য', 'বুদ্ধিমানের', 'মোটরবাইক', 'বলত', 'তারপরে', 'সূর্য', 'অনির্বান', 'বাদেই']
['বেলার', 'যুগের', 'পদের', 'আঙ্গুলের', 'আখের', 'হিসেব', 'কোম', 'সংক্রান্ত', 'জোজো', 'করাকে']
['নাসিকা', 'ঝটিকা', 'কমলিকা', 'নালিকা', 'বটিকা', 'সহায়িকা', 'মদনিকা', 'কুমারিকা', 'পরিচালিকা', 'প্রশিকা']
['ঘৃত', 'ফিরত', 'প্রস্তত', 'বারাত', 'পাতিত', 'ভাবিত', 'মঙ্গত', 'বাজত', 'মার্ত', 'আনিত']
['ব্যাঘ্র', 'নজল', 'হ্যালোউইন', 'সমরাস্ত্র', 'শ্যামানন্দ', 'সিওয়ার্ড', 'মালগাড়ি', 'দেবমূর্তি', 'রায়চাঁদ', 'রুশদী']
['শৃগাল', 'পুরন্দর', 'বুঝিয়েছেন', 'হেইন', 'ডেভস', 'সীতারমণ', 'চাঁইয়ের', 'চিলেকোঠা', 'মাধ্যেমে', 'টার্মস']
['হস্তী', 'সাধনী', 'শংকরী', 'বল্লী', 'গৃহী', 'আনন্দী', 'উদয়ী', 'মহিষী', 'একটী', 'বৈরাগী']
['পক্ষী', 'চক্রী', 'কৌশলী', 'কেন্দ্রী', 'মেরী', 'পূর্বী', 'বিষয়ী', 'ভাগী', 'ঠিকাদারী', 'পঞ্চমী']
['রবীন্দ্রনাথের', 'দার্শনিক', 'ফসকে', 'প্রেত', 'এশীয়', 'গজ', 'দরদ', 'ডুবো', 'অমিতাভ', 'প্রায়ই']
['অশ্বিন', 'মনযোগ', 'বিচ্ছেদের', 'জালিয়াতি', 'বিছানো', 'উইল', 'জিনিসপত্র', 'স্বাস্থ্যকর', 'নাসের', 'নয়া']
['প্রজাতি', 'মৌলিক', 'উপহার', 'গাছগুলো', 'অনন্তকাল', 'অবস্থানরত', 'রেহান', 'খ্যাত', 'টিকটিক', 'নিয়ন']
['মশাই', 'পরিমাপ', 'কারিগর', 'নিক্সন', 'চূড়ান্ত', 'রাবার', 'সাল্লাল্লাহু', 'লিল', 'পরামর্শ', 'অবলম্বনে']
['নাসা', 'আরা', 'দাশগুপ্ত', 'পিছু', 'আচার', 'আশিস', 'কোমরের', 'বকা', 'ইয়াহু', 'সৌভাগ্য']
['এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'শীঘ্র', 'ক্যাসিনো', 'হুট', 'অয়লার', 'এইরকম', 'ডেস', 'যেটার']
['অয়লার', 'পাবনা', 'গুডস', 'পাবনার', 'অইছে', 'ফরিদপুর', 'নিয়ােগ', 'ফরিদপুরে', 'দ্যাটস', 'ব্যাপারটি']
['অয়লার', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'মীন', 'এটাতো', 'বহিঃসংযোগ', 'ডেস', 'সংগ্রহ', 'কাপ্তাই']
['সাময়িকী', 'বাণী', 'কিসিঞ্জার', 'প্রসব', 'মালামাল', 'আলেক্সান্দার', 'ফেরেশতা', 'বাতি', 'সও', 'ইংরেজ']
['শ্রদ্ধেয়', 'প্রসব', 'বাহক', 'নির্দেশনা', 'পলিথিন', 'ভয়াবহ', 'সনদ', 'অপ্রত্যাশিত', 'পাসপোর্ট', 'দ্রব্যের']
['অয়লার', 'পাবনার', 'অইছে', 'নিয়ােগ', 'পাবনা', 'দ্যাটস', 'ভ্রমন', 'তোমাদেরকে', 'এগুলি', 'ব্যাপারটি']
['অয়লার', 'পাবনার', 'এগুলি', 'ভ্রমন', 'নিয়ােগ', 'কুমিল্লায়', 'কৃষ্ণনগর', 'অইছে', 'তোমাদেরকে', 'দ্যাটস']
['নাসিকা', 'কমলিকা', 'ঝটিকা', 'সহায়িকা', 'নালিকা', 'বটিকা', 'কুমারিকা', 'প্রশিকা', 'মদনিকা', 'পালিকা']
['ঘৃত', 'ফিরত', 'বারাত', 'আনিত', 'বাজত', 'মঙ্গত', 'প্রস্তত', 'কাটত', 'পাতিত', 'ভাবিত']
['ব্যাঘ্র', 'নজল', 'সমরাস্ত্র', 'রামহরি', 'মালগাড়ি', 'হ্যালোউইন', 'শ্রীহরি', 'শ্যামানন্দ', 'দেবমূর্তি', 'রায়চাঁদ']
['সীতারমণ', 'ফ্যাক্টস', 'বুনেছে', 'টার্মস', 'উইলস', 'হোমগ্রাউন্ড', 'অযথার্থ', 'হাঁকডাক', 'চাঁইয়ের', 'হেইন']
['হস্তী', 'গৃহী', 'বল্লী', 'মেমী', 'বসন্তী', 'শংকরী', 'সাধনী', 'করালী', 'পত্রী', 'মুখী']
['পক্ষী', 'পূর্বী', 'বেজী', 'কৌশলী', 'মেরী', 'সেনাবাহী', 'গণী', 'য়ী', 'কেন্দ্রী', 'গামী']
['অয়লার', 'গুডস', 'পাবনা', 'ফরিদপুরে', 'ফরিদপুর', 'বললেনঃ', 'অইছে', 'বৈদ্যুতিক', 'সখী', 'পাবনার']
['অয়লার', 'পাবনার', 'পাবনা', 'অইছে', 'নিয়ােগ', 'দ্যাটস', 'ভ্রমন', 'তোমাদেরকে', 'ব্যাপারটি', 'এগুলি']
