['বড়ো', 'একাগ্র', 'নায়কের', 'মিশতে', 'ভেবেই', 'ঘটাতে', 'ফিগার', 'অ্যালাইস', 'পরিণাম', 'কৌতূহলী']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'ক্যাসিনো', 'মীন', 'যেগুলো', 'যেগু\u200cলো', 'এটাতো']
['', '', '', '', '', '', '', '', '', '']
['বিক্রির', 'উপরেই', 'আচরণের', 'তাঁদের', 'উৎপাদনের', 'একাধারে', 'কুর', 'আদায়ের', 'ফেলার', 'পাড়ার']
['অয়লার', 'গুডস', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'মীন', 'এটাতো', 'ক্যাসিনো', 'বহিঃসংযোগ', 'যেগুলো']
['অয়লার', 'গুডস', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'এগুলি', 'মীন', 'বহিঃসংযোগ', 'কাপ্তাই', 'এটাতো']
['অয়লার', 'গুডস', 'কুমিল্লায়', 'পাবনার', 'এগুলি', 'সেটি', 'সে\u200cটি', 'ভ্রমন', 'কৃষ্ণনগর', 'অইছে']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'কুমিল্লায়', 'পাবনার', 'সেটি', 'সে\u200cটি', 'এগুলি', 'ভ্রমন', 'কৃষ্ণনগর', 'অইছে']
['২১টি', 'ডিরেক্টর', 'হেরা', 'প্রতিনিধিরা', 'রণদীপ', '২০০', 'দালান', 'চন্দ্রিকা', 'ইসলাম', 'ফেসবুকের']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'মীন', 'সেটি', 'সে\u200cটি', 'কুমিল্লায়', 'শীঘ্র', 'এটাতো', 'যেগুলো', 'যেগু\u200cলো', 'ডেস']
['', '', '', '', '', '', '', '', '', '']
['সাইকেলের', 'আয়োজিত', 'ডিপো', 'খাতার', 'জামাতের', 'আম', '১০০', 'ছবিতে', 'ইসলাম', 'সে']
['অয়লার', 'সেটি', 'সে\u200cটি', 'মীন', 'কুমিল্লায়', 'শীঘ্র', 'এটাতো', 'ডেস', 'সংগ্রহ', 'বহিঃসংযোগ']
['অয়লার', 'কুমিল্লায়', 'সেটি', 'সে\u200cটি', 'মীন', 'চর', 'এগুলি', 'পাবনার', 'কাপ্তাই', 'ভ্রমন']
['অয়লার', 'গুডস', 'পাবনা', 'পাবনার', 'অইছে', 'নিয়ােগ', 'ব্যাপারটি', 'ফরিদপুরে', 'চর', 'ভ্রমন']
['', '', '', '', '', '', '', '', '', '']
['অয়লার', 'গুডস', 'পাবনার', 'পাবনা', 'নিয়ােগ', 'অইছে', 'ব্যাপারটি', 'চর', 'ভ্রমন', 'কুমিল্লায়']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['কলটা', 'মাহবুবুল', 'কনভেনশন', 'ফাঁসির', 'ছদ্মবেশে', 'চ্যাটার্জী', 'ভিত্তিক', 'সংখ্যাটা', 'কিন', 'অপরাধী']
