['চা', 'চি', 'মা', 'চং', 'মাচ', 'ওচ', 'ওচা', 'চাম', 'আচা', 'ঘা']
['দা', 'দং', 'দম', 'মাদ', 'মদ', 'দি', 'দাম', 'ওদা', 'আদা', 'দাদ']
['', '', '', '', '', '', '', '', '', '']
['না', 'মা', 'মনা', 'নম', 'মন', 'নি', 'নং', 'নও', 'মান', 'নন']
['মে', 'জে', 'ঘে', 'ঝে', 'লে', 'মী', 'মেল', 'মু', 'জেম', 'মো']
['মো', 'মোং', 'মী', 'মোঃ', 'মোড', 'মৃ', 'মোম', 'মোন', 'মোজ', 'পোম']
['মে', 'মেধ', 'মেদ', 'দে', 'মদে', 'মেই', 'মধে', 'মেড', 'মেঃ', 'মেঘ']
['মু', 'রু', 'গু', 'মী', 'মৃ', 'ঝু', 'মণু', 'মধু', 'মুং', 'মুড']
['মে', 'লে', 'মেল', 'মেধ', 'মেঘ', 'ছে', 'মণে', 'মেং', 'মেড', 'মধে']
['মর', 'রম', 'মড', 'মঁ', 'মং', 'মণ', 'মধ', 'মি', 'ম', 'মঘ']
['মাদ', 'মশা', 'মা', 'মাশ', 'মদ', 'মদও', 'দশা', 'শাদ', 'দাম', 'শাম']
['মূল', 'মূঘল', 'ম্রা', 'ম্থা', 'মুঘল', 'মঙ্গা', 'ম্যা', 'মুগা', 'মেঘা', 'মোগা']
['মঘ', 'মা', 'মি', 'মং', 'মণ', 'মধ', 'ঘা', 'মর', 'মড', 'মম']
['মো', 'মী', 'মু', 'মৃ', 'মোং', 'যো', 'মোঃ', 'মোঁ', 'যু', 'মে']
['মী', 'সুমী', 'মেসো', 'মীড', 'মুজে', 'মেস', 'মুসী', 'মেমী', 'মেঘ', 'মেড']
['মোর', 'মোং', 'মূর', 'মরো', 'মোড', 'মোক', 'মুর', 'মোস', 'মকো', 'মোম']
['নর', 'নম', 'নঃ', 'মর', 'মন', 'নং', 'রম', 'রন', 'নি', 'নচ']
['মুড', 'মুন', 'মুস', 'মদু', 'মীড', 'স্য', 'মোড', 'মোস', 'মুর', 'মুং']
['মণু', 'মুন', 'মুগ', 'মণে', 'মুড', 'মুং', 'মুল', 'মুণি', 'মনু', 'মৈন']
['মণ্ড', 'ম্যি', 'মুন', 'মণু', 'ম্যা', 'মুড', 'মুং', 'মোড', 'মীড', 'ম্যু']
['মোড', 'মুন', 'মুনি', 'মীড', 'মিমু', 'ম্যি', 'মুড', 'ধম্ম', 'মোন', 'মোং']
['মীম', 'মীন', 'মীড', 'মীর', 'নীম', 'মী', 'মোং', 'মোম', 'মঘী', 'মূর']
['মী', 'জয়', 'মজু', 'মৃ', 'মজে', 'মু', 'মজো', 'টী', 'মি', 'অজয়']
['মঠ', 'মা', 'মক', 'মাঠ', 'মণ', 'মট', 'মং', 'মাক', 'কঠ', 'মল']
['মেক', 'মেল', 'মেও', 'মেঘ', 'মেচ', 'মূখ', 'লেখ', 'মুখ', 'মেঁ', 'খেম']
['কয়া', 'গয়া', 'মুট', 'ওয়া', 'মূক', 'আয়া', 'মেট', 'রয়ও', 'আয়ও', 'মোট']
['মোক', 'মো', 'মকো', 'মোং', 'কোম', 'খোম', 'মী', 'মোঁ', 'মোঃ', 'কোও']
['ত্র', 'মূর', 'আর্', 'মেঘ', 'মীত', 'মৃত', 'মী', 'ছত্র', 'মীর', 'মীড']
['মূক', 'মীড', 'কম৷', 'ক্ষ', 'মুক', 'ক্ষম', 'শমী', 'শমু', 'মিকু', 'মুড']
['মো', 'মতে', 'মেন', 'মেঘ', 'মেং', 'নেত', 'নেম', 'তেন', 'মেও', 'তো']
['মল', 'মগ', 'মা', 'মণ', 'মট', 'মং', 'মি', 'মড', 'ওম', 'মঘ']
['মী', 'মীড', 'টী', 'মৃ', 'মু', 'প্র', 'টু', 'মুট', 'মূর', 'ড্র']
['মীড', 'মীন', 'মুন', 'মনু', 'নিমু', 'মোষ', 'কম৷', 'নি৷', 'মীম', 'মুড']
['মো', 'লী', 'মু', 'মী', 'লু', 'লো', 'মোল', 'মৃ', 'মোক', 'মোঁ']
['মীম', 'মীর', 'মূর', 'মীড', 'শমী', 'মর্ম', 'মূক', 'মরু', 'মুর', 'মিমু']
['বাবু', 'বাবে', 'বাবরী', 'বাসবী', 'নবাবী', 'রাবী', 'নাবী', 'শাবী', 'বারবে', 'ভাবী']
['দাদী', 'দাদু', 'দাদীর', 'দরদী', 'বাদী', 'মাদী', 'দানী', 'দারী', 'সাদী', 'হাদী']
['', '', '', '', '', '', '', '', '', '']
['নানী', 'নানু', 'নীনা', 'বনানী', 'নানে', 'রানী', 'ইনানী', 'নানো', 'পানী', 'বানী']
['জেলী', 'জেলে', 'মুড়ে', 'ফেলে৷', 'কেড়ে', 'মোড়ে', 'লড়েছে', 'বেড়ে', 'পেড়ে', 'পুড়ে']
['ধোপে', 'ধোনী', 'রোধী', 'লোধী', 'গোপী', 'ঝোপে', 'তোপে', 'কোপে', 'রুপো', 'পেরো']
['বেদী', 'বেদে', 'দেবী', 'দুধে', 'দেবে৷', 'দেবে', 'ভেদী', 'ভেদে', 'দেবু', 'দেকে']
['গুরু', 'রুগী', 'গুণী', 'গ্রু', 'সুধী', 'মুরু', 'গুঁড়ো', 'কুরু', 'গুরো', 'কুরী']
['ছেলে', 'ফেলে৷', 'লড়েছে', 'ছেয়ে', 'ডেলে', 'ধুলে', 'লেডী', 'চেলে', 'ফেলে', 'কেলী']
['বর', 'বী', 'রবী', 'ববী', 'বীর', 'বরে', 'বরো', 'বধ', 'বড', 'বুর']
['বাদী', 'শাদী', 'বারদী', 'আবাদী', 'একাদশী', 'বাদেশি', 'বাঁদী', 'বাদীর', 'বিশদে', 'নাশীদ']
['গাঙ্গুলী', 'কোরাঙ্গী', 'রঙ্গালী', 'ডাঙ্গী', 'বঙ্গালী', 'এলাঙ্গী', 'লিঙ্গকে', 'সারেঙ্গী', 'কুর্মালী', 'বেঙ্গলী']
['বাঘী', 'বণী', 'বীম', 'বীর', 'বগী', 'বলী', 'বীজ', 'মঘী', 'বীণ', 'রবী']
