['প্রুদোম', 'পেদ্রু', 'পেদ্রোর', 'পুত্রদের', 'পেদ্রো', 'মেরুদন্ডে', 'বেন্দ্রে', 'মেরুদন্ড', 'দুরত্বে', 'মুন্দ্রা']
['প্রতিমান', 'পন্ডিতরা', 'প্রতিমা', 'রপ্তানি', 'নিম্নতর', 'নিতান্ত', 'নিরপত্তা', 'প্রতিজন', 'প্লাতিনি', 'প্রমানিত']
['চারগ্রাম', 'প্রচারনার', 'প্রচারনা', 'চারিগ্রাম', 'প্রচার', 'প্রচারণার', 'প্রাচারিত', 'পার্মার', 'প্রচারও', 'চার্জার']
['চাম্পারান', 'প্রস্থানাম', 'পানিপ্রবাহ', 'প্রপাগান্ডা', 'পুনঃপ্রচার', 'প্রপানাচার্য', 'ভান্ডারপুর', 'প্রতাপপুর', 'পাঁচগ্রাম', 'পার্থপ্রতিম']
['প্রথায়', 'প্রিয়নাথ', 'প্রয়াত', 'প্রয়াগ', 'পর্যায়', 'ব্যয়াম', 'প্রায়র', 'প্রায়', 'প্রায়া', 'প্রায়সময়']
['সত্তারা', 'সাত্তার', 'নাস্তার', 'সারবত্তা', 'সাতরাস্তা', 'সামন্তরা', 'সাতগ্রাম', 'সাত্তারসহ', 'প্রসারতা', 'রাস্তার']
['আটগ্রাম', 'প্রথমটা', 'আয়মনা', 'আলট্রা', 'আওয়ামি', 'আন্টাঘর', 'আত্মাটি', 'আল্টা', 'আল্টার', 'আনওয়ার']
['২৬২টি', '২২৪টি', '৬২২টি', '২৪২টি', '২২৬টি', '২২৮টি', '৬২৪টি', '৪২৮টি', '৮২২টি', '২৮২টি']
['দ্বাদশ', 'দর্শনা', 'নর্দমা', 'দর্শন', 'নর্মদা', 'প্রদা', 'প্রদান', 'দর্শনও', 'সপ্তদশ', 'বন্দরও']
['প্রোগ্রামার', 'প্রোগ্রামাররা', 'প্রোগ্রামও', 'প্রোপাগান্ডার', 'প্রোগ্রামটি', 'প্রোগ্রামারের', 'প্রোগ্রাম', 'প্রোগ্রামস', 'নোয়াগ্রাম', 'প্রোগ্রাম']
['বার্নার্ডো', 'বার্নার্দো', 'রোবার্তো', 'প্রোগ্রামার', 'প্যারোরে', 'রবার্তো', 'বার্নার্ড', 'পোয়াবারো', 'হামবার্তো', 'প্রোগ্রামাররা']
['পোর্তোতে', 'স্তোত্রে', 'প্রোমোতে', 'স্তোত্রের', 'পুয়ের্তো', 'রোবের্তো', 'পেত্রো', 'নের্তৃত্বে', 'স্পোর্তে', 'প্রশ্নোত্তরে']
['সৌন্দর্য্য', 'চন্দ্রপৃষ্ঠে', 'বৌদ্ধগ্রন্থ', 'চন্দ্রগুপ্ত', 'চন্দ্রবোড়া', 'দন্তৌষ্ঠ্য', 'চন্দ্রদ্বীপ', 'চন্দ্রপৃষ্ঠের', 'ধর্মেন্দ্র', 'দুর্দান্ত']
['ফোর্পোমের্নের', 'পার্ফর্মেন্স', 'প্রোগ্রামে', 'ফোর্পোমের্ন', 'পূর্বপ্রান্তে', 'বের্নার্দো', 'প্রশ্নোত্তরে', 'পর্নোগ্রাফিতে', 'প্রোগ্রামের', 'পূর্বপ্রান্তের']
['প্রেমতোষ', 'রোনাল্ডো', 'পোর্তোয়', 'প্রয়োজন৷', 'প্ৰয়োগ', 'অর্লান্ডো', 'মন্ত্রগুলো', 'ড্রোনগুলো', 'হিপোড্রোম', 'পোর্তোর']
['স্তোত্রের', 'স্তোত্রে', 'স্ত্রাতোনের', 'প্রশ্নোত্তরে', 'প্রশ্নোত্তরের', 'স্পোর্তের', 'স্পোর্তে', 'স্ত্রাতোন', 'পোর্তোতে', 'সেন্ত্রো']
['প্রোগ্রামার', 'বার্নার্ডো', 'বার্নার্দো', 'প্রোগ্রামাররা', 'প্যান্ডোরার', 'আর্দ্রিয়ানো', 'পুরোমাত্রায়', 'জেরোডার্মা', 'গ্রামান্তরে', 'প্রোগ্রামারের']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক্সে', 'একুশে', 'এক্সো', 'এথেকে', 'ম্থু', 'একীভুত', 'এলেক্স', 'মুক্ত', 'এক্ষণে', 'এথেন্স']
['অদ্ভুতুড়ে', 'সুধেন্দু', 'যুদ্ধে', 'ভুতুড়ে', 'মুৎসুদ্দী', 'ফুলেন্দু', 'তেড়েফুঁড়ে', 'সুখেন্দু', 'যু্দ্ধ', 'দুরুত্বে']
