['মুরতা', 'মুরাত', 'মুতার', 'তোমরা', 'বুমরা', 'তুরান', 'মুরাতা', 'তুবার', 'হুমরা', 'তুরার']
['সে', 'সরে', 'রসে', 'সের', 'রে', 'সারে', 'সেরে', 'রাসে', 'রেস', 'রেসে']
['তিনার', 'তিরান', 'তানির', 'তিরানা', 'তারিন', 'রিনাত', 'নাতনির', 'নাতির', 'তিনবার', 'নাতিরা']
['শিক্ষকরা', 'ক্ষারক', 'শিক্ষারও', 'রক্ষার', 'রাক্ষসরা', 'প্রকাশক', 'শর্করা', 'শর্করার', 'ধর্ষকরা', 'শিক্ষার']
['মাঝারি', 'মারাজ', 'মাঝরাত', 'রামার', 'মাজার', 'মানার', 'মাজরা', 'মারার', 'মারাল', 'নামার']
['ছাত্ররা', 'ছাত্ররাও', 'ছাত্ররাই', 'বাত্রার', 'ছাত্রও', 'যাত্রার', 'মাত্রার', 'ছাত্তার', 'কর্তারা', 'হাত্রার']
['ধরনী', 'ধানী', 'ধনীরা', 'ধরনে', 'ধনীর', 'ধারী', 'ধরানো', 'ধারনে', 'ধনী', 'ধর্না']
['ভাইরা', 'ভারা', 'ভাইর', 'ইভার', 'ভাই', 'রাভা', 'ভাবাই', 'যারাই', 'ভাইও', 'ভারও']
['শিক্ষকরা', 'ক্ষারক', 'শিক্ষারও', 'রক্ষার', 'রাক্ষসরা', 'প্রকাশক', 'শর্করা', 'শর্করার', 'ধর্ষকরা', 'শিক্ষার']
['গরুর', 'গুরা', 'গরু', 'বুগরা', 'রাগী', 'গারো', 'বগুরা', 'কররে', 'গরুও', 'গুজরা']
['ছেলেরা', 'ছেলের', 'ছেলেরও', 'ছেলেরে', 'জেলেরা', 'ছেলেরাই', 'ফেরালে', 'পেছালে', 'গোলের', 'ছেলেধরা']
['মেয়েরে', 'মেয়ের', 'মেয়েরা', 'যেয়ো', 'মেয়ে', 'দায়েরে', 'মেয়রের', 'যেয়ে', 'কেয়ারে', 'মেয়েও']
['ভাইরা', 'ভারা', 'ভাইর', 'ইভার', 'ভাই', 'রাভা', 'ভাবাই', 'যারাই', 'ভাইও', 'ভারও']
['পাখার', 'খারাপ', 'পাখনার', 'খারাপই', 'বারখা', 'পাখিরা', 'রাখার', 'খারাপও', 'রাপার', 'কাপরা']
['সদস্যরা', 'সদস্যর', 'সদস্যা', 'সদস্যদরা', 'সদস্যরাও', 'সদস্যারা', 'সর্দার', 'সদস্যও', 'সদস্যরাই', 'সর্বদা']
['বচসার', 'সচারচর', 'সচরাচর', 'চারসহ', 'রচনাসহ', 'সরারচর', 'চসার', 'সাবরি', 'বসরার', 'সাবরির']
['দর্শকরা', 'দর্শকরাও', 'শর্করা', 'দর্শনার', 'শর্করার', 'দর্শক', 'দ্রাবক', 'দর্শাও', 'দর্শকখরা', 'বর্শার']
['শিক্ষকরা', 'ক্ষারক', 'শিক্ষারও', 'রক্ষার', 'রাক্ষসরা', 'প্রকাশক', 'শর্করা', 'শর্করার', 'ধর্ষকরা', 'শিক্ষার']
['সুধীরা', 'সুধীর', 'মাধুরী', 'সুধীরের', 'ধুবরী', 'সুধী', 'সুধীরকে', 'সুধীন', 'ধীপুর', 'চৌধুরী']
['সম্পাদকরা', 'সম্পাদনার', 'রমাপ্রসাদ', 'রামপ্রসাদ', 'করপ্রদান', 'দ্বারপাল', 'ড্রামবাদক', 'ব্রাদারস', 'সম্পাদনাও', 'আদরাস্কান']
['পণ্ডিতরা', 'পাণ্ডবরা', 'কর্ণপাত', 'পাণ্ডার', 'পরিত্রাণ', 'পাণ্ডারা', 'প্রাণিত', 'প্রতারণা', 'খণ্ডতার', 'প্রধাণত']
['মন্ত্রীরা', 'মন্ত্রীরাও', 'মন্ত্রীর', 'প্রান্তরে', 'স্ত্রীরা', 'প্রান্তরের', 'সার্ত্রে', 'রাজমন্ত্রী', 'পৌরমন্ত্রী', 'সান্ত্রী']
['আমরা', 'আরমা', 'আমার', 'আমরি', 'আমর', 'আরাম', 'আরমি', 'আমা', 'আরমর', 'আমারই']
['সে', 'রে', 'সরে', 'রসে', 'সোই', 'সের', 'বরে', 'রকে', 'হরে', 'সেই']
['তিনার', 'তিরান', 'তানির', 'তারিন', 'রিনাত', 'তিরানা', 'নাতনির', 'নাতনি', 'নাতির', 'তিনাপ']
['শিক্ষকরা', 'শিক্ষারও', 'ক্ষারক', 'শর্করা', 'রক্ষার', 'শর্করার', 'শিক্ষার', 'রিকার্শন', 'ধর্ষকরা', 'প্রকাশক']
['মাঝারি', 'মাঝরাত', 'রামার', 'মারাজ', 'মারমা', 'নামার', 'মানার', 'মাঝিরা', 'লারমা', 'মারা']
['ছাত্ররা', 'ছাত্ররাও', 'ছাত্ররাই', 'ছাত্রও', 'যাত্রার', 'ছাতারে', 'বাত্রার', 'মাত্রার', 'ছাত্রই', 'হাত্রার']
['ধরনী', 'ধরনে', 'ধরানো', 'ধানী', 'ধনীর', 'ধনীরা', 'ধনী', 'ধারনে', 'ধারী', 'ধোনা']
['ভাই', 'ভাইরা', 'ভাইর', 'ভারা', 'ইভার', 'রাই', 'ভাইও', 'যারই', 'ভাবাই', 'ভাইন']
['শিক্ষকরা', 'শিক্ষারও', 'ক্ষারক', 'শর্করা', 'রক্ষার', 'শর্করার', 'শিক্ষার', 'রিকার্শন', 'ধর্ষকরা', 'প্রকাশক']
['গারো', 'গোরা', 'রোগা', 'গোরার', 'গরু', 'গরে', 'নগরে', 'কররে', 'গরুর', 'কারগো']
['ছেলেরা', 'ছেলের', 'ছেলেরও', 'ফেরালে', 'ছেলেরাই', 'জেলেরা', 'গেলোরা', 'ছেলেরে', 'গোলে', 'পেছালে']
['মেয়ের', 'মেয়েরে', 'মেয়েরা', 'যেয়ো', 'লোয়ের', 'মেয়ে', 'পেরোয়', 'শোয়ের', 'যেয়ে', 'মেয়েই']
['ভাই', 'ভাইরা', 'ভাইর', 'ভারা', 'ইভার', 'রাই', 'ভাইও', 'যারই', 'ভাবাই', 'ভাইন']
['পাখার', 'খারাপ', 'পাখনার', 'খারাপই', 'রাখার', 'পাখিরা', 'বারখা', 'খারাপও', 'পাখা', 'রাখা']
['সদস্যরা', 'সদস্যর', 'সদস্যা', 'সদস্যদরা', 'সদস্যরাও', 'সদস্যারা', 'সদস্যরাই', 'সদস্যও', 'সর্দার', 'সদস্যতা']
['বচসার', 'সচরাচর', 'সচারচর', 'বিচরন', 'চারসহ', 'রচনাসহ', 'সাবরি', 'চসার', 'সচিবও', 'বিচার']
['দর্শকরা', 'দর্শকরাও', 'দর্শনার', 'শর্করা', 'দর্শাও', 'দোররা', 'শর্করার', 'দর্শক', 'দর্শান', 'দর্শনা']
['শিক্ষকরা', 'শিক্ষারও', 'ক্ষারক', 'শর্করা', 'রক্ষার', 'শর্করার', 'শিক্ষার', 'রিকার্শন', 'ধর্ষকরা', 'প্রকাশক']
['রোধী', 'সুধীরা', 'সুধীর', 'গোরী', 'ধীরে', 'সৌধের', 'সেরো', 'মাধুরী', 'রোগী', 'জলরোধী']
['সম্পাদকরা', 'সম্পাদনার', 'রমাপ্রসাদ', 'রামপ্রসাদ', 'পদমর্যাদা', 'সম্পাদনাও', 'করপ্রদান', 'মর্যাদাকর', 'ব্রাদারস', 'প্রদায়ক']
['পণ্ডিতরা', 'পরিত্রাণ', 'প্রাণিত', 'খণ্ডতার', 'পন্ডিতরা', 'দণ্ডিতরা', 'প্রধাণত', 'প্রতারণা', 'বিতণ্ডার', 'কর্ণপাত']
['মন্ত্রীরা', 'মন্ত্রীরাও', 'রোবার্তো', 'প্রান্তরে', 'মন্ত্রীর', 'রাজমন্ত্রী', 'প্রান্তরের', 'ধর্মান্তরে', 'নেত্রীরা', 'বার্নার্ডো']
['তারিম', 'মাতরম', 'মারতা', 'তামার', 'আমারা', 'মিতরা', 'তামির', 'আমারি', 'তারি', 'লারমা']
['তাতাররা', 'তারাতলা', 'পতিতারা', 'তামারা', 'নাতিরা', 'মাতারা', 'তারামন', 'তাতার', 'তারিম', 'কাতারি']
['তিরানা', 'নাতিরা', 'নারিতা', 'তিরান', 'তারিন', 'তানির', 'তিনার', 'নাতনিরা', 'পতিতারা', 'তিতান']
['তরিতরকারি', 'তারকারাও', 'তালিকারও', 'তারাশংকর', 'শাকিরার', 'তারকারও', 'রিকশাকারান', 'তারকারা', 'তারকারাজি', 'একাতারিনা']
['তামারা', 'পাতাঝরা', 'মাতারা', 'মাঝারি', 'তারানা', 'মাঝরাত', 'তারার', 'তারাতলা', 'তারামন', 'মাঝিরা']
['তাতাররা', 'তারাতারি', 'রাতারাতি', 'তাছারা', 'কাতারার', 'তারাতলা', 'চাতারার', 'তারকারাও', 'তারাছা', 'তাওরাত']
['তারান', 'ধারনা', 'তারানা', 'ধানতারা', 'ধরানার', 'তিরানা', 'ধারনার', 'ধরনার', 'তারন', 'তারা']
['রাভার', 'রাভারা', 'ভারা', 'ভাতার', 'তারার', 'ভাঙার', 'ভারান', 'ভাররা', 'তারাও', 'লাভার']
['তরিতরকারি', 'তারকারাও', 'তালিকারও', 'তারাশংকর', 'শাকিরার', 'তারকারও', 'রিকশাকারান', 'তারকারা', 'তারকারাজি', 'একাতারিনা']
['তারর', 'তারার', 'নাগরার', 'তারপর', 'তারা', 'নাগরা', 'গারা', 'বাররা', 'মারতা', 'তারাও']
['তাছারা', 'তারাতলা', 'তারাছা', 'ছাতার', 'তারলাই', 'দাতারা', 'ছাতনার', 'তালার', 'মাতারা', 'তালডাংরা']
['মাতোয়ারা', 'পাতায়ার', 'ওয়াতারা', 'আততায়ীরা', 'তানিয়ার', 'মতুয়ারা', 'রাওয়াতের', 'জাতীয়তার', 'মাত্রাটা', 'তামাংয়ের']
['রাভার', 'রাভারা', 'ভারা', 'ভাতার', 'তারার', 'ভাঙার', 'ভারান', 'ভাররা', 'তারাও', 'লাভার']
['খারাপটা', 'পাখিরা', 'পাখার', 'খারাপ', 'তারপান', 'রাপার', 'তারাপদ', 'পাখিরাও', 'খাতরা', 'পাতাঝরা']
['তারাদাস', 'মাদরাসার', 'মাদরাসা', 'তারাপদ', 'দাতারা', 'সাদারা', 'মাদারস', 'করদাতার', 'নাদিরার', 'সারদার']
['রাতচরা', 'পাতারচর', 'তরবারি', 'চাতরা', 'চারতলা', 'চরপাতা', 'চিরতা', 'তাবারি', 'বিতারা', 'রিতার']
