['হইয়াছি', 'হইয়াও', 'হইয়াছিল', 'লইলাম', 'হইয়াছে', 'অতছ', 'আসিয়াছিল', 'আছিলাম', 'খসিয়া', 'হইয়া']
['করিয়া', 'হইয়াছে', 'করিয়াছে', 'হইয়াছিল', 'করিয়াছি', 'যেইরূপ', 'করিবেন', 'করিয়াছিল', 'লইয়াছে', 'করিয়াছিলেন']
['করিয়া', 'হইয়াছে', 'করিয়াছে', 'হইয়াছিল', 'করিয়াছি', 'যেইরূপ', 'করিবেন', 'করিয়াছিল', 'লইয়াছে', 'করিয়াছিলেন']
['পাইয়াছিল', 'দিয়াছিলেন', 'হইয়াছিল', 'পাইয়াছে', 'লইয়াছিল', 'লইয়াছিলেন', 'আসিয়াছিলেন', 'পাইয়াছি', 'করিয়াছিলেন', 'বলিয়াছিলেন']
['গিয়াছিল', 'আসিয়াছিলেন', 'আসিয়াছিল', 'বলিয়াছিলেন', 'রাখিয়াছিলেন', 'দিয়াছিলেন', 'গিয়াছি', 'পড়িয়াছিলেন', 'আনিয়াছিল', 'চাহিয়াছিলেন']
['আসিয়াছিলেন', 'লইয়াছিলেন', 'হইয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'বলিয়াছিলেন', 'পাইয়াছিলেন', 'চাহিয়াছিলেন', 'দিয়াছিলেন']
['হইয়াছে', 'আনিয়াছে', 'রহিয়াছি', 'গিয়াছে', 'উঠিয়াছে', 'হইয়াছিল', 'করিয়াছে', 'দিয়াছে', 'আসিয়াছে', 'রাখিয়াছে']
['হইয়াও', 'হইয়াছিল', 'হইয়াছি', 'হইয়াছে', 'হইয়াছেন', 'হইয়াছিলেন', 'হইয়াছ', 'লইলেন', 'থাকিত', 'গিয়াছিল']
['হইয়াও', 'হইয়াছিল', 'হইয়াছে', 'হইয়াছি', 'করিয়া', 'আসিয়াছিল', 'দিয়াছিল', 'করিয়াছি', 'হইতেছে', 'হইলেই']
['হইয়াও', 'হইয়াছে', 'হইয়াছি', 'হইয়াছিল', 'হইয়াছ', 'করিয়া', 'খসিয়া', 'হইয়াছেন', 'ধরিয়া', 'দাইয়া']
['করিয়া', 'আসিয়াছিল', 'আসিয়াছে', 'রাখিয়া', 'ধরিয়া', 'খসিয়া', 'লইয়াই', 'হইয়াছিল', 'দেখিয়াই', 'দেখিয়াছি']
['করিলম', 'ধরিলেন', 'হইয়াছিল', 'করিয়াছিলেন', 'করিলেই', 'করিয়াছে', 'করিয়াছি', 'হইয়াছে', 'করিয়া', 'করিয়াছিল']
['খসিয়া', 'লইত', 'বসিয়া', 'নাঢ়া', 'পড়িত', 'উঠিব', 'উঠিবে', 'শিমশোন', 'পড়িয়াছে', 'ঘসিয়া']
['খসিয়া', 'লইত', 'বসিয়া', 'নাঢ়া', 'পড়িত', 'উঠিব', 'উঠিবে', 'শিমশোন', 'পড়িয়াছে', 'ঘসিয়া']
['লাগিলো', 'খসিয়া', 'আসিয়াছে', 'উঠিয়াছিল', 'উঠিয়াছে', 'লাগিলেন', 'উঠিল', 'আসিয়াছিল', 'উঠিলে', 'চলিলে']
['তুলিয়া', 'ধরিয়া', 'খসিয়া', 'আনিয়া', 'পরিয়া', 'ঘসিয়া', 'ছিড়িয়া', 'লবটুলিয়া', 'বসিয়া', 'ঠেলিয়া']
['বলিয়াই', 'করিয়া', 'বলিয়অ', 'বলিয়াছিল', 'হইয়াছে', 'বলিয়াছি', 'হইয়াও', 'হইয়াছিল', 'বলিয়াছে', 'আসিয়াই']
['ধরিয়া', 'উঠিবে', 'লইত', 'নাঢ়া', 'উঠিব', 'বসিয়া', 'খসিয়া', 'উঠিলে', 'পড়িল', 'আনিয়া']
['শুকাইতে', 'পাডাইতে', 'বসাইতে', 'দিয়াছি', 'লইয়াই', 'উড়াইয়া', 'পুড়াইতে', 'দেখাইতে', 'পিডাইতে', 'বসাইয়া']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'কাটিয়া', 'খসিয়া', 'ফুটিল', 'আনিয়া', 'ধরিয়া', 'ফুটিলে', 'আনিয়াছি', 'ফুটিবে']
['ছুটিতেছে', 'আসিয়াই', 'ছুটিয়া', 'আসিয়াছি', 'ছুটিতেই', 'আসিয়াছিল', 'বসিয়া', 'ছুটিই', 'ছুটিসহ', 'ছুটিল']
['খসিয়া', 'বসিয়া', 'আসিয়াই', 'ঘসিয়া', 'যাইয়া', 'আনিয়া', 'পলাইয়া', 'উঠাইয়া', 'আসিয়াছে', 'আগাইয়া']
['করিয়া', 'হইবার', 'করিবারে', 'হইবেক', 'লইবেন', 'করিবেন', 'করিতে', 'ধরিবার', 'দেখিবার', 'যেইরূপ']
['করিয়া', 'হইবার', 'করিবারে', 'হইবেক', 'লইবেন', 'করিবেন', 'করিতে', 'ধরিবার', 'দেখিবার', 'যেইরূপ']
['পাইয়াছিল', 'পাইয়াছে', 'দিয়াছিলেন', 'লইয়াছিলেন', 'পড়িয়াছিলেন', 'পাইয়াছেন', 'চাহিয়াছিলেন', 'পাইয়াছি', 'লইয়াছিল', 'পাইয়াছিলাম']
['পড়িয়াছিলেন', 'গিয়াছিল', 'চাহিয়াছিলেন', 'দিয়াছিলেন', 'রাখিয়াছিলেন', 'গিয়াছেন', 'বলিয়াছিলেন', 'নিয়াছিলেন', 'আসিয়াছিলেন', 'লইয়াছিলেন']
['পাইয়াছিলেন', 'লইয়াছিলেন', 'পড়িয়াছিলেন', 'চাহিয়াছিলেন', 'নিয়াছিলেন', 'হইয়াছিলেন', 'রাখিয়াছিলেন', 'দিয়াছিলেন', 'গিয়াছিলেন', 'দেখাইয়াছিলেন']
['রহিয়াছেন', 'পড়িয়াছে', 'দিয়াছে', 'ঘটিয়াছে', 'রাখিয়াছে', 'চাহিয়াছে', 'উঠিয়াছে', 'লইয়াছে', 'আনিয়াছে', 'রহিয়াছি']
['হইয়াও', 'হইলেও', 'হইছেন', 'লইলাম', 'হইল', 'হইয়া', 'লইলেন', 'হইয়াছি', 'হইব', 'হইলেই']
['হইয়াও', 'হইব', 'যাইত', 'হইলো', 'হইলেও', 'হইলেই', 'লইলাম', 'যাইব', 'হইতেছে', 'চাইয়া']
['হইয়াও', 'এড়াইয়া', 'চাইয়া', 'পলাইয়া', 'পাইয়া', 'যাইয়া', 'তলাইয়া', 'যাইত', 'ঘনাইয়া', 'উড়াইয়া']
['দেখিয়াই', 'বুঝিল', 'বুঝিয়া', 'দেখিয়াছ', 'চাখিয়া', 'লইয়াই', 'দেখিলে', 'দেখিয়াছে', 'পলাইয়া', 'পুড়াইয়া']
['করিলেও', 'করিলেই', 'করিলো', 'করিলম', 'ধরিলেন', 'করিলেক', 'করিয়াছেন', 'লইবেন', 'করিতো', 'করিল']
['উঠিল', 'পড়িয়াছে', 'উঠিবে', 'পড়িয়া', 'পড়িত', 'পড়িলে', 'বহিয়া', 'লইল', 'খসিয়া', 'উঠিলে']
['উঠিল', 'পড়িয়াছে', 'উঠিবে', 'পড়িয়া', 'পড়িত', 'পড়িলে', 'বহিয়া', 'লইল', 'খসিয়া', 'উঠিলে']
['লাগিলো', 'লাগিলেন', 'লাগিত', 'উঠিল', 'লাগিছে', 'বুঝিল', 'দেখিল', 'লাগিলাম', 'দেখিয়া', 'লইবে']
['তুলিয়া', 'পলাইয়া', 'এড়াইয়া', 'তলাইয়া', 'ছাইয়া', 'উড়াইয়া', 'ঘনাইয়া', 'ঠেলিয়া', 'উঠাইয়া', 'আনিয়া']
['বলিয়াই', 'বলিয়অ', 'পলাইয়া', 'এড়াইয়া', 'পাইয়া', 'উড়াইয়া', 'যাইয়া', 'হইয়াও', 'ঘটাইয়া', 'করিয়া']
['ভাঙিলে', 'ভাঙিল', 'উঠিবে', 'পুড়াইয়া', 'ভাঙিবে', 'তলাইয়া', 'বহিয়া', 'উড়াইয়া', 'রহিছে', 'পড়িয়া']
['পাডাইতে', 'দেহাইতে', 'ধরাইতে', 'বসাইতে', 'ফিরাইতে', 'পরাইতে', 'পিডাইতে', 'শুকাইতে', 'ফুটাইতে', 'ঝিমাইতে']
['ফুটিয়াছে', 'ফুটিবে', 'ফুটিয়াছিল', 'ফুটিল', 'কাটিয়া', 'ফুটিলে', 'ছাইয়া', 'ঘনাইয়া', 'ফুটিছে', 'গজাইয়া']
['ছুটিতেও', 'ছুটিতেই', 'ছুটিতেছে', 'ছুটিবে', 'ছুটিই', 'ছুটিসহ', 'ছুটিব', 'ছুটিল', 'ছুটি', 'ছুটিও']
['আসিয়াই', 'বসিয়া', 'খসিয়া', 'আসিয়াছে', 'আসিয়াছ', 'আসিয়াছিল', 'পড়িল', 'ঘসিয়া', 'আসিয়াছি', 'যাইয়া']
['লইলাম', 'হইলে', 'হইয়াছি', 'হইবেক', 'হইলেও', 'হইবে', 'আছিলাম', 'হইতেছি', 'যাইতেছে', 'কইলাম']
['করিবারে', 'করিবেন', 'করিবই', 'করিবারও', 'করিবে', 'করিয়া', 'হইবে', 'হইবেঃ', 'করিতে', 'থাকিবে']
['লইয়াছিলেন', 'চাহিয়াছিলেন', 'পাইয়াছিল', 'দিয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'পাইয়াছেন', 'পাইয়াছিলাম', 'হইয়াছিলেন', 'করাইয়াছিলেন']
['চাহিয়াছিলেন', 'গিয়াছেন', 'রাখিয়াছিলেন', 'আসিয়াছিলেন', 'বলিয়াছিলেন', 'পড়িয়াছিলেন', 'লইয়াছিলেন', 'গিয়াছিল', 'নিয়াছিলেন', 'দিয়াছিলেন']
['লইয়াছিলেন', 'পাইয়াছিলেন', 'চাহিয়াছিলেন', 'গিয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'হইয়াছিলেন', 'পারিয়াছিলেন', 'করাইয়াছিলেন', 'আসিয়াছিলেন']
['রহিয়াছেন', 'গিয়াছে', 'রাখিয়াছে', 'রহিয়াছি', 'লইয়াছে', 'চাহিয়াছে', 'ঘটিয়াছে', 'পলাইয়াছে', 'উঠিয়াছে', 'বলিয়াছে']
['হইলে', 'হইবেই', 'হইয়াছেন', 'হইয়াছিলেন', 'হইয়াছি', 'হইবে', 'পড়িলেন', 'হইবেন', 'থাকিত', 'লাগিলেন']
['হইলে', 'হইবে', 'হইতেছে', 'হইবেক', 'হইবেই', 'হইলেও', 'হইয়াও', 'হইলেই', 'যাইতেছে', 'থাকিবে']
['হইয়াও', 'হইয়াছে', 'হইয়াছি', 'করিয়া', 'হইলে', 'হইয়াছিল', 'হইয়াছেন', 'যাইয়া', 'হইয়াছ', 'বলিয়া']
['দেখিয়াই', 'দেখিয়াছ', 'দেখিয়াছে', 'করিয়া', 'থাকিত', 'রাখিয়া', 'দেখিলে', 'দেখিয়াছি', 'লইবেন', 'বুঝিল']
['করিলম', 'করিলেক', 'পড়িলেন', 'করিলেও', 'ধরিলেন', 'করিবেন', 'করিলো', 'করিলে', 'করিয়াছিলেন', 'করিতেছেন']
['পড়িলে', 'উঠিল', 'পড়িয়াছে', 'উঠিবে', 'কেহবা', 'উঠিলে', 'লইল', 'পড়িলেন', 'পড়িত', 'নাঢ়া']
['পড়িলে', 'উঠিল', 'পড়িয়াছে', 'উঠিবে', 'কেহবা', 'উঠিলে', 'লইল', 'পড়িলেন', 'পড়িত', 'নাঢ়া']
['লাগিলো', 'লাগিলেন', 'লাগিলাম', 'লাগিত', 'থাকিত', 'লাগিবে', 'উঠিল', 'উঠিলেন', 'লাগিলা', 'পড়িলেন']
['তুলিয়া', 'খুলিয়াছে', 'লবটুলিয়া', 'ছিড়িয়া', 'খুলিল', 'রাখিয়া', 'ঢুলিয়া', 'করিয়া', 'ফেলিয়া', 'টলিয়া']
['বলিয়াই', 'বলিয়অ', 'করিয়া', 'বলিয়াÂ', 'বলিয়াছি', 'বলিয়াছে', 'বলিয়াছিল', 'হইবে', 'থাকিলে', 'বলিয়াছেন']
['উঠিবে', 'কেহবা', 'উঠিলে', 'পড়িলে', 'আজিও', 'লইল', 'পড়িল', 'পড়িয়াছে', 'চলিল', 'পড়িয়া']
['পাডাইতে', 'শুকাইতে', 'জাইতে', 'ঠকাইতে', 'ফিরাইতে', 'পরাইতে', 'বসাইতে', 'দমাইতে', 'কাইতে', 'ফুটাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'ফুটিবে', 'ফুটিল', 'ফুটিছে', 'ফুটিলে', 'অাঁটিয়া', 'চটিয়া', 'তুলিয়া', 'কাটিয়া']
['ছুটিতেছে', 'ছুটিতেও', 'ছুটিতেই', 'ছুটিকালীন', 'ছুটিসহ', 'ছুটি', 'চরণস্খলনে', 'ছুটিকে', 'ছুটিই', 'ছুটিব']
['খসিয়া', 'আসিয়াই', 'আসিয়াছিল', 'আসিয়াছি', 'আসিয়াছে', 'বসিয়া', 'পড়িল', 'ঘসিয়া', 'আসিয়াছ', 'চলিয়া']
['হইয়াছি', 'লইলাম', 'হইয়াও', 'হইলে', 'হইয়াছিল', 'আছিলাম', 'হইবেক', 'থাকিত', 'হইয়াছে', 'রহিয়াছি']
['করিবেন', 'করিবারে', 'করিয়া', 'করিবে', 'করিবই', 'হইবেই', 'হইবে', 'করিবারও', 'হইয়াছে', 'লইয়াছে']
['লইয়াছিলেন', 'বলিয়াছিলেন', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'পাইয়াছে', 'পাইয়াছিলাম', 'রাখিয়াছিলেন', 'পাইয়াছিল', 'দিয়াছিলেন', 'গিয়াছিলেন']
['আসিয়াছিলেন', 'গিয়াছিল', 'বলিয়াছিলেন', 'গিয়াছেন', 'রাখিয়াছিলেন', 'গিয়াছিলাম', 'চাহিয়াছিলেন', 'পড়িয়াছিলেন', 'গিয়াছে', 'গিয়াছি']
['লইয়াছিলেন', 'গিয়াছিলেন', 'আসিয়াছিলেন', 'পড়িয়াছিলেন', 'রাখিয়াছিলেন', 'চাহিয়াছিলেন', 'বলিয়াছিলেন', 'পাইয়াছিলেন', 'হইয়াছিলেন', 'ভাবিয়াছিলেন']
['রহিয়াছি', 'গিয়াছে', 'রহিয়াছেন', 'লইয়াছে', 'আনিয়াছে', 'রাখিয়াছে', 'উঠিয়াছে', 'ঘটিয়াছে', 'পলাইয়াছে', 'হইয়াছে']
['হইবেই', 'হইয়াছেন', 'হইয়াছি', 'হইয়াও', 'থাকিত', 'লইলেন', 'হইয়াছিলেন', 'হইলে', 'হইয়াছিল', 'পড়িলেন']
['হইয়াও', 'হইলে', 'হইবেই', 'হইবে', 'বলিবে', 'হইবেক', 'হইয়াছিল', 'হইতেছে', 'হইয়াছে', 'হইলেই']
['হইয়াও', 'হইয়াছে', 'হইয়াছি', 'হইয়াছিল', 'হইয়াছ', 'হইয়াছেন', 'করিয়া', 'রহিয়া', 'পড়িয়া', 'বলিয়া']
['দেখিয়াছি', 'দেখিয়াছে', 'থাকিত', 'দেখিয়াই', 'দেখিয়াছ', 'করিয়া', 'দেখিল', 'পড়িলে', 'বলিবে', 'পড়িল']
['করিলম', 'ধরিলেন', 'পড়িলেন', 'করিলেক', 'উঠিলেন', 'করিলো', 'করিলেও', 'বসিলেন', 'রহিলেন', 'করিতেছেন']
['পড়িলে', 'উঠিবে', 'উঠিল', 'উঠিলে', 'পড়িত', 'নাঢ়া', 'পড়িয়াছে', 'বহিয়া', 'খসিয়া', 'লইল']
['পড়িলে', 'উঠিবে', 'উঠিল', 'উঠিলে', 'পড়িত', 'নাঢ়া', 'পড়িয়াছে', 'বহিয়া', 'খসিয়া', 'লইল']
['লাগিলো', 'লাগিলেন', 'উঠিল', 'উঠিলে', 'থাকিত', 'লাগিত', 'দেখিল', 'উঠিলেন', 'লাগিলাম', 'পড়িল']
['তুলিয়া', 'লবটুলিয়া', 'খুলিয়াছে', 'ছিড়িয়া', 'ঠেলিয়া', 'ফেলিয়া', 'চলিয়া', 'পড়িয়া', 'আনিয়া', 'টলিয়া']
['বলিয়াই', 'বলিয়াছি', 'বলিয়অ', 'বলিয়াছিল', 'করিয়া', 'বলিয়াছে', 'বলিবে', 'বলিয়াছিলেন', 'বলিবেন', 'বলিয়াÂ']
['উঠিবে', 'উঠিলে', 'পড়িল', 'নাঢ়া', 'বহিয়া', 'পড়িলে', 'উঠিল', 'ভাঙিল', 'কেহবা', 'আজিও']
['বসাইতে', 'শুকাইতে', 'পাডাইতে', 'পলাইতে', 'গড়াইতে', 'জাইতে', 'ফিরাইতে', 'শুধাইতে', 'চরাইতে', 'ভাসাইতে']
['ফুটিয়াছে', 'ফুটিয়াছিল', 'ফুটিবে', 'টুটিয়া', 'চটিয়া', 'আঁটিয়া', 'কাটিয়া', 'আনিয়াছি', 'ফুটিল', 'উঠিলে']
['ছুটিতেছে', 'আসিয়াছি', 'ছুটিয়া', 'ছুটিল', 'ছুটিতেই', 'ছুটিকালীন', 'ছুটিব', 'ছুটি', 'ছুটিছে', 'আসিয়াছিল']
['আসিয়াছিল', 'আসিয়াই', 'আসিয়াছ', 'আসিয়াছিলাম', 'আসিয়াছিলেন', 'আসিয়াছি', 'আসিয়াছে', 'বসিয়া', 'আসিয়াছেন', 'আসিয়াছো']
['হইয়াছিলাম', 'হইয়াছি', 'লইলাম', 'পাইয়াছিলাম', 'হইতেছি', 'লইতেছে', 'অইলাম', 'বইলাম', 'যাইতেছি', 'ছুইলাম']
['করিতেছে', 'করিবারে', 'করিবা', 'করিবই', 'করিবেন', 'করিবারও', 'করিতেছি', 'হইবেই', 'লইতেছে', 'করিতেছেন']
['করিতেছে', 'করিবারে', 'করিবা', 'করিবই', 'করিবেন', 'করিবারও', 'করিতেছি', 'হইবেই', 'লইতেছে', 'করিতেছেন']
