['পহেলা', 'পয়লা', 'বৈশাখে', 'অগাষ্ট', 'শুক্লপক্ষে', '১৩৫৪', '১৪০৮', 'পঁচিশে', '২৫ই', '২004']
['পহেলা', 'পয়লা', 'বৈশাখকে', '১৩৯০', 'পঁচিশে', 'বৈশাখে', '১৪০৮', 'শুক্লপক্ষে', 'বৈশাখ', 'জামাদিউল']
['পহেলা', 'পয়লা', 'পঁচিশে', 'জামাদিউল', 'মৃত্যুবার্ষিকীর', 'মুহররম', '১৩৯০', '১৪০৮', 'বৈশাখকে', 'পোঙ্গল']
['পহেলা', 'পয়লা', 'পঁচিশে', '১৩৯০', 'মুহররম', 'মৃত্যুবার্ষিকীর', '১৪০৮', 'পোঙ্গল', 'বৈশাখকে', 'জামাদিউল']
['পহেলা', '১৩৯০', 'পয়লা', 'মৃত্যুবার্ষিকীর', 'বৈশাখকে', '১২৭৮', '১৩০৬', '1863', '১৩৩১', '1964']
['পহেলা', 'পয়লা', 'পঁচিশে', 'বৈশাখকে', '১৩৯০', 'বৈশাখে', '১৪০৮', '২5', '১৩৫৪', '1964']
['পহেলা', 'পয়লা', 'পঁচিশে', '১৩৯০', 'বৈশাখে', '১৪০৮', 'মৃত্যুবার্ষিকীর', 'বৈশাখকে', '২5', 'জামাদিউল']
['পহেলা', 'অসম্ভবও', 'বৈশাখে', 'পোঙ্গল', 'সম্ভবও', 'এমবাপ্পেই', 'পয়লা', 'ডারনা', 'নভেম্বরকে', 'পঁচিশে']
['পহেলা', '১৩৯০', 'পয়লা', '১৩০১', '১২৭৮', 'পঁচিশে', 'মৃত্যুবার্ষিকীর', 'বৈশাখকে', 'আশ্বিনে', '১৪৫১']
['পহেলা', 'পয়লা', '১৩৯০', 'বৈশাখকে', 'পঁচিশে', 'মৃত্যুবার্ষিকীর', 'Tuesday', 'May', '১২৭৮', 'আশ্বিনে']
['পহেলা', '১৩৯০', 'Tuesday', 'পয়লা', '১২৭৮', 'May', 'পঁচিশে', 'Alo', 'আশ্বিনে', '333']
['পহেলা', '১৩৯০', 'বৈশাখকে', '333', '১২৭৮', 'পয়লা', 'Tuesday', 'পঁচিশে', 'আক্টোবর', 'জল্লাদখানা']
['পহেলা', '১৩৯০', 'বৈশাখকে', '১৩০১', 'আশ্বিনে', 'Tuesday', '১২৭৮', 'আক্টোবর', 'মৃত্যুবার্ষিকীর', 'Alo']
['পহেলা', '১৩৯০', 'বৈশাখকে', 'Tuesday', 'মৃত্যুবার্ষিকীর', 'পঁচিশে', 'পয়লা', '১২৭৮', 'May', 'Alo']
['পহেলা', '১৩৯০', 'বৈশাখকে', 'Tuesday', '333', '১২৭৮', 'May', 'মৃত্যুবার্ষিকীর', '১৪১৪', 'Alo']
['সতেরো', 'পহেলা', 'জল্লাদখানা', '১৩৯০', 'বৈশাখকে', 'প্রথমার্ধ্বে', 'পটিয়োমকিন', '১২৭৮', '১৩০১', 'আক্টোবর']
['১৩৯০', 'প্রথমার্ধ্বে', 'পহেলা', '1940', 'বৈশাখকে', '১২৭৮', '৩০ই', 'আক্টোবর', '1945', 'পয়লা']
['পহেলা', 'প্রথমার্ধ্বে', 'বৈশাখকে', '1960', '১৩৯০', 'শতকেই', 'পয়লা', 'শেষার্ধে', 'পূর্ণোদ্যমে', '1940']
['পহেলা', 'প্রথমার্ধ্বে', '১৩৯০', 'বৈশাখকে', '1960', 'পয়লা', 'Tuesday', '১২৭৮', '1940', 'শতকেই']
['পহেলা', 'বৈশাখকে', '১৩৯০', 'Tuesday', 'বৈশাখে', 'আশ্বিনে', 'পঁচিশে', 'জল্লাদখানা', 'May', '১৪১৪']
['পহেলা', 'পঁচিশে', '১৩৯০', 'বৈশাখে', 'পয়লা', '১৩৩১', 'Tuesday', '১৩০১', 'Alo', '1945']
['পহেলা', '১৩৯০', 'Tuesday', 'Alo', '১৩৭৭', 'পঁচিশে', 'আশ্বিনে', 'বৈশাখকে', 'মৃত্যুবার্ষিকীর', 'May']
['বৈশাখকে', 'পহেলা', 'শেওড়াফুলী', 'পরগণা', 'চব্বিশ', 'কাছার', 'পরগণার', 'পয়লা', 'পরগনায়', 'হাবড়া']
['পহেলা', '১৩৯০', 'বৈশাখকে', 'পয়লা', '১৩০১', '১৩৩১', '১২৭৮', '১৪০৮', 'আশ্বিনে', 'পঁচিশে']
['পহেলা', 'Alo', '৩০ই', 'Tuesday', '১৩৯০', '1945', 'Prothom', 'পঁচিশে', 'আশ্বিনে', 'পয়লা']
['পহেলা', '1914', 'বৈশাখে', 'পঁচিশে', 'Alo', '1946', 'বৈশাখকে', 'Tuesday', '১৩৯০', '৩০ই']
['পহেলা', 'Alo', 'Tuesday', '৩০ই', '1936', '1914', 'পঁচিশে', '1946', 'Prothom', 'মৃত্যুবার্ষিকীর']
['Alo', 'Prothom', 'Tuesday', 'on', 'by', 'ইভেতা', 'মুকুচিয়ান', 'পটিয়োমকিন', 'পিণ্ডি', '৩০ই']
['পহেলা', '১৩০১', 'বৈশাখকে', '1900', '১৩৯০', '১৪৫১', '১৩৫২', '1945', 'Tuesday', 'আক্টোবর']
['Alo', 'Tuesday', 'পহেলা', 'Prothom', '৩০ই', 'on', 'May', 'পটিয়োমকিন', 'মৃত্যুবার্ষিকীর', '১৩৯০']
['দোসরা', 'প্রলয়ংকারী', 'কোমানাড', 'কুইন্সটাউন', '২০০৯সালের', 'তিউনিসের', '1908', 'জেনেভাভিত্তিক', 'হুরিয়েত', 'হুন্তসে']
['দোসরা', 'পেলকে', 'নভেম্বরেও', '১১৯৯', '1881', '২018', 'সায়ান', 'কোয়ালিয়ারেল্লা', '১৯৭১সালে', 'চিটাগাইঙ্গা']
['দোসরা', 'খৃস্টাব্দে', 'কোয়ালিয়ারেল্লা', '২৬টা', '1881', 'সায়ান', 'চিটাগাইঙ্গা', 'নভেম্বরেও', '৩১৫০', 'নভেম্বের']
