['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'মহিউদ্দিন', 'বিচিত্রবীর্যের', 'প্রকাশনের', 'একাত্তরের', 'চুরাশিতেই', 'গবেষকmohi2005', 'আঠারো']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'একাত্তরের', 'মহিউদ্দিন', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'বিচিত্রবীর্যের', 'আব্বাসউদ্দীন', 'পেরোয়নি']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'কবিতাসংগ্রহ', 'প্রকাশনের', 'বিচিত্রবীর্যের', 'লেশ', 'মহিউদ্দিন', 'ছাপ্পান্ন', 'একাত্তরের']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'একাত্তরের', 'মহিউদ্দিন', 'ছাপ্পান্ন', 'শয়ের', 'বিচিত্রবীর্যের']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'কবিতাসংগ্রহ', 'ফররুখ', 'প্রকাশনের', 'বিচিত্রবীর্যের', 'আব্বাসউদ্দীন', 'নাজীর', 'মুজফ্\u200cফর']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'প্রকাশনের', 'একাত্তরের', 'আঠারো', 'বিচিত্রবীর্যের', 'কবিতাসংগ্রহ', 'গোড়ায়', 'মহিউদ্দিন']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'প্রকাশনের', 'রজ', 'কবিতাসংগ্রহ', 'লেশ', 'পেরোয়নি', 'ছাপ্পান্ন', 'আগোত']
['প্রথমা', 'প্রকাশন', 'শ্রেণিকক্ষেই', 'একাত্তরের', 'ফ্লুক', 'অসম্ভবও', 'গবেষকmohi2005', 'যেটিই', 'ইন্টারভ্যাল', 'ছিলোনা']
['প্রথমা', 'প্রকাশন', 'পঞ্চাশ', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'রজ', '83', '700', 'পেরোয়নি', 'ছাপ্পান্ন']
['প্রথমা', 'প্রকাশন', 'কবিতাসংগ্রহ', 'প্রকাশনের', 'গবেষকmohi2005', 'ফররুখ', 'পঞ্চাশ', 'E0', 'আব্বাসউদ্দীন', 'কামরুদ্দীন']
['প্রথমা', 'প্রকাশন', 'কবিতাসংগ্রহ', 'প্রকাশনের', 'E0', 'ফররুখ', 'বিচিত্রবীর্যের', '1914', 'পঞ্চাশ', 'নাজীর']
['প্রথমা', 'প্রকাশন', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'ফররুখ', 'E0', 'নাজীর', 'পেরোয়নি', 'আব্বাসউদ্দীন', 'লেশ']
['প্রথমা', 'প্রকাশন', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'ফররুখ', 'গবেষকmohi2005', 'নাজীর', 'মুজফ্\u200cফর', 'আব্বাসউদ্দীন', 'E0']
['প্রথমা', 'প্রকাশন', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'রজ', 'E0', 'গবেষকmohi2005', 'ফররুখ', '1900', 'পঞ্চাশ']
['প্রথমা', 'প্রকাশন', 'প্রকাশনের', 'কবিতাসংগ্রহ', 'ফররুখ', 'E0', 'চমস্কি', 'পেরোয়নি', 'রজ', '700']
['প্রথমা', 'প্রকাশন', 'সতেরো', 'প্রকাশনের', 'ফররুখ', 'কবিতাসংগ্রহ', 'গবেষকmohi2005', 'মুজফ্\u200cফর', 'আব্বাসউদ্দীন', 'আঠারো']
['প্রথমা', 'প্রকাশন', 'আঠারো', 'প্রকাশনের', 'গবেষকmohi2005', 'চমস্কি', 'কবিতাসংগ্রহ', 'স্বপ্নগুলো', 'প্রথমার্ধ্বে', 'নোয়াম']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['চতুর্থী', 'সাধারণীকৃত', 'আগম', 'পঞ্চমী', 'হালুই', 'ফরমানে', 'ভোজসভায়', 'মহাপ্লাবনের', 'প্রতিক্রিয়াকে', 'পুজার']
['চতুর্থী', 'পঞ্চমী', 'নবমী', 'মহালয়া', 'চতুর্দশী', 'সপ্তমী', 'গণপতি', 'গণেশ', 'প্রতিপদ', 'সংকষ্টী']
['চতুর্থী', 'পঞ্চমী', 'হালুই', 'শুক্লাষষ্ঠী', 'সংকষ্টী', 'গণপতি', 'প্রতিপদ', 'শুক্লা', 'সপ্তমী', 'পূর্বপদে']
['চতুর্থী', 'সংকষ্টী', 'পঞ্চমী', 'পূর্বপদে', 'শুক্লাষষ্ঠী', 'সপ্তমী', 'হালুই', 'শুক্লপক্ষের', 'প্রতিপদ', 'ছাগবলি']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'পঞ্চমী', 'পূর্বপদে', 'হ্যালোইন', 'ভিভান্তা', 'ছাগবলি', 'বেনারসের', 'শুক্লপক্ষের']
['চতুর্থী', 'পঞ্চমী', 'সংকষ্টী', 'পূর্বপদে', 'শুক্লাষষ্ঠী', 'শুক্লপক্ষের', 'প্রতিপদ', 'পূর্নিমা', 'হালুই', 'হ্যালোইন']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'পূর্বপদে', 'হ্যালোইন', 'অবতারে', 'পার্বনে', 'শুক্লাষষ্ঠী', 'ভরণী', 'ছাগবলি']
['সম্ভবও', 'স্বাদযুক্ত', 'হউক', 'এসবে', 'অসঙ্গত', 'দোষের', 'চতুর্থী', 'সংকষ্টী', 'অমার্জিত', 'সমীচীন']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'পূর্বপদে', 'বেনারসের', 'হ্যালোইন', 'ছাগবলি', 'পঞ্চমী', 'উমাশঙ্কর', 'অবতারে']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'গোধুলী', 'পরমভট্টারক', 'পূর্বপদে', 'পূর্ণগ্রাস', 'ভিভান্তা', 'ক্যাজুয়াল', 'হরমন্দির']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'পূর্বপদে', 'ছাঃ', 'আয়াপ্পার', 'ভিভান্তা', 'পঞ্চমী', 'হরমন্দির', 'মোতওয়ানে']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'ভিভান্তা', 'পঞ্চমী', 'পরমভট্টারক', 'অবতারে', 'পিঠালি', 'আসওয়াদ', 'মৃগীরোগ']
['চতুর্থী', 'সংকষ্টী', 'হালুই', 'পূর্বপদে', 'হরমন্দির', 'পূর্ণগ্রাস', 'মহাভক্ত', 'মোতওয়ানে', 'আয়াপ্পার', 'তেতাল্লিশের']
['সংকষ্টী', 'চতুর্থী', 'পূর্ণগ্রাস', 'হালুই', 'পরমভট্টারক', 'ছাঃ', 'সৃষ্টিতত্ত্বে', 'Tuesday', 'বেনারসের', 'হাম্প']
['সংকষ্টী', 'হালুই', 'চতুর্থী', 'মোতওয়ানে', 'পরমভট্টারক', 'পিঠালি', 'ফাঁসিকাষ্ঠে', 'পটিয়োমকিন', 'অবতারে', 'বড়ু']
['সংকষ্টী', '১২দশ', 'প্রাণতোষিণী', 'সতেরো', 'জল্লাদখানা', 'পটিয়োমকিন', 'কেওড়াতলা', 'মহাশ্মশান', 'চাপরি', 'ব্রনিয়েনোসেৎস']
['সংকষ্টী', 'নোয়াম', 'লক্ষ্মীগঞ্জ', 'চতুর্থী', 'হালুই', 'হ্যালোইন', 'দারুচিনির', '১৬৮১', 'মহাবিদ্রোহ', 'চেমসফোর্ড']
['পঞ্চমী', 'আফসোসের', 'অবস্থাকে', 'তুড়িতে', 'দৈত্যাকার', 'বিবৃতে', 'ক্ষয়িষ্ণু', 'কন্যাশিশু', 'ভোজসভায়', 'ভ্রম']
['পঞ্চমী', 'চতুর্থী', 'চতুর্দশী', 'যুযুধান', 'প্রতিপদ', 'ত্রয়োদশী', 'বাঁধিয়ে', 'দ্বীপরাষ্ট্রসমূহের', 'নবমী', 'বর্গীয়']
['পঞ্চমী', 'চতুর্দশী', 'চতুর্থী', 'প্রতিপদ', 'শুক্লাষষ্ঠী', 'তৃতীয়া', 'ফিবি', 'ত্রয়োদশী', 'কৃষ্ণপক্ষের', 'চৈত্রের']
['পঞ্চমী', 'চতুর্থী', 'চতুর্দশী', 'পূর্বপদে', 'তীব্রতাকে', 'চৈত্রের', 'শুক্লাষষ্ঠী', 'ফিবি', 'তিথিটি', 'পূর্বপদের']
['পঞ্চমী', 'রাহু', 'ফিবি', 'পূর্বপদে', 'হালুই', 'রিসর্টে', 'বেলসের', 'মোতওয়ানে', 'ক্রেনিয়াল', 'আশ্বিনী']
['পঞ্চমী', 'চতুর্দশী', 'প্রতিপদ', 'রটন্তী', 'শুক্লাষষ্ঠী', 'ফিবি', 'পূর্বপদে', 'পূর্নিমা', 'চতুর্থী', 'শুক্লপক্ষের']
['পঞ্চমী', 'ভরণী', 'ফিবি', 'আশ্বিনী', 'ঝেঁপে', 'তিথিটি', 'পূর্বপদে', 'কার্তিকী', 'হ্যালোইন', 'ইলশেগুঁড়ি']
['সম্ভবও', 'অসম্ভবও', 'পঞ্চমী', 'বাগাড়ম্বর', 'আসামই', 'ক্রান্সটনের', 'বুঝলে', 'অপরাধই', 'ফ্রিডেল', 'যৌণ']
['পঞ্চমী', 'হালুই', 'সংকষ্টী', 'পূর্বপদে', 'সহে', 'হ্যালোইন', 'ভরণী', 'ফিবি', 'রটন্তী', 'ভোগালী']
