['আগেই', 'আগে', 'আগের', 'পরই', 'মধ্যেই', 'কিছুক্ষণ', 'লাঞ্চের', 'পরেও', 'পরপরই', 'বছরখানেক']
['শিয়ালডাঙা', 'দিনেও', 'এরপরই', 'শয্যারাশিতে', 'এরপরও', 'وَيْلٌ', 'ভাবছেনই', 'একটাও', 'রোগীরও', 'সেটিও']
['দুজনের', 'এরপরই', 'সঙ্গে', 'সহিত', 'একসঙ্গে', 'নাকি', 'হয়েছিল', 'প্রিয়জনের', 'সাক্ষাতের', 'গেলব্রেইথের']
['দিয়া', 'দেয়নি', 'কোনোভাবে', 'গায়ে', 'তো', 'পড়ুন', 'দিনেও', '•', 'সেদিন', 'জানালেন']
['শিয়ালডাঙা', 'শয্যারাশিতে', 'খোদ', 'লাইকাকে', 'মন্ত্রীগণের', 'ভাবছেনই', 'সেটিও', 'এরপরও', 'জেমিকে', '৯১নং']
['এরপরও', 'হয়নি', 'ভাবছেনই', 'বুঝি', 'হয়েছিল', 'দিনেও', 'তবু', 'তাও', 'একটাও', 'অবশ্য']
['নতুবা', 'কোনোভাবে', 'এরপরও', 'নয়তো', 'হয়েছিল', 'দিনেও', 'বুঝি', 'সময়মতো', 'এরপরই', 'তাড়াহুড়ো']
['নতুবা', 'কোনোভাবে', 'এরপরও', 'নয়তো', 'হয়েছিল', 'দিনেও', 'বুঝি', 'সময়মতো', 'এরপরই', 'তাড়াহুড়ো']
['ভাবছেনই', 'এরপরও', 'শিয়ালডাঙা', 'শয্যারাশিতে', 'কোনোভাবে', 'ভারতীয়রা', 'পৌরকর্মী', 'বুঝি', 'এরপরই', 'হরহামেশাই']
['বুঝি', 'শিয়ালডাঙা', 'জানালেন', 'নয়তো', 'মহামারিও', 'ছোটবেলায়', 'যদ্যপি', 'সেদিন', 'এরপরই', 'এরপরও']
['', '', '', '', '', '', '', '', '', '']
['শিয়ালডাঙা', 'ভাবছেনই', 'অমন', 'সময়ও', 'আছেই', 'সাঈদনগর', 'এরপরও', 'এরপরই', 'একটাও', 'হয়তো']
['শিয়ালডাঙা', 'ভাবছেনই', 'অমন', 'সময়ও', 'আছেই', 'সাঈদনগর', 'এরপরও', 'এরপরই', 'একটাও', 'হয়তো']
['আগে', 'পূর্বে', 'আগেই', 'উত্তর', 'আসার', 'পূর্ব', 'বর্তমান', 'মূলত', 'উত্তরে', 'কিছুদিন']
['শিয়ালডাঙা', 'রাজবংশরূপে', 'এরপরই', 'এমনই', 'নিম্নাঞ্চলগুলোতে', 'নাকি', 'মন্ত্রীগণের', 'আগেই', 'এসেছেন', 'কারণেই']
['সঙ্গে', 'সহিত', 'নাকি', 'সঙ্গেই', 'দুজনের', 'সেখানেই', 'এরপরই', 'যাচ্ছেন', 'সবার', 'এসেছেন']
['দিয়া', 'গিয়ে', 'দেয়নি', 'মেয়ে', '•', 'জানালেন', 'বড়', 'গেল', 'লেগেছে', 'এবার']
['নিম্নাঞ্চলগুলোতে', 'অদ্যাপি', 'এসেছেন', 'রাজবংশরূপে', 'সপ্তরী', 'শিয়ালডাঙা', 'বোকাই', 'পূর্বখাড়ি', 'মন্ত্রীগণের', 'নেনগাবতলীর']
['কারণেই', 'তাই', 'নাকি', 'এমনকি', 'হয়তো', 'তবুও', 'বরং', 'আসলে', 'যদিও', 'অবশ্য']
['চাইছে', 'নাকি', 'চাচ্ছেন', 'গিয়েছিলেন', 'এরপরই', 'পারছেন', 'চাচ্ছে', 'ওদিকে', 'গেলে', 'এরপরও']
['চাইছে', 'নাকি', 'চাচ্ছেন', 'গিয়েছিলেন', 'এরপরই', 'পারছেন', 'চাচ্ছে', 'ওদিকে', 'গেলে', 'এরপরও']
['কারণেই', 'মাঝেমধ্যে', 'নাকি', 'হয়তো', 'নেনগাবতলীর', 'প্রায়শ', 'এসেছেন', 'শিয়ালডাঙা', 'ভাবছেনই', 'এরপরই']
['যদ্যপি', 'জানালেন', 'নিয়েই', 'নাকি', 'হয়তো', 'এসেছেন', 'সবার', 'শাকল্য', 'শিয়ালডাঙা', 'এমনই']
['', '', '', '', '', '', '', '', '', '']
['কারণেই', 'শিয়ালডাঙা', 'নাকি', 'সময়ের', 'আগেই', 'কিঞ্চিৎ', 'স্বাভাবিকভাবেই', 'এমনিতে', 'নেনগাবতলীর', 'এরপরই']
['কারণেই', 'শিয়ালডাঙা', 'নাকি', 'সময়ের', 'আগেই', 'কিঞ্চিৎ', 'স্বাভাবিকভাবেই', 'এমনিতে', 'নেনগাবতলীর', 'এরপরই']
['আজ', 'পর', 'আগে', 'দক্ষিণ', 'পূর্বে', 'এ', 'পূর্ব', 'পরে', 'বৃহস্পতিবার', 'এরপর']
['আজ', 'পর', 'আগে', 'গতকাল', 'বৃহস্পতিবার', 'শুক্রবার', 'আগেই', 'বুধবার', 'পরে', 'শেষে']
['আজ', 'বৃহস্পতিবার', 'বুধবার', 'শুক্রবার', 'গতকাল', 'সঙ্গে', 'শনিবার', 'সোমবার', 'সকালে', 'বিকেলে']
['আজ', 'গতকাল', 'বৃহস্পতিবার', 'সকালে', 'শুক্রবার', 'রোববার', 'শনিবার', 'মঙ্গলবার', 'বুধবার', 'সোমবার']
['আজ', 'গতকাল', 'বৃহস্পতিবার', 'বুধবার', 'শুক্রবার', 'রোববার', 'সোমবার', 'শনিবার', 'সকালে', 'বিকেলে']
['আজ', 'গতকাল', 'বৃহস্পতিবার', 'বুধবার', 'শুক্রবার', 'তবে', 'সকালে', 'সোমবার', 'তাই', 'তা']
['আজ', 'বৃহস্পতিবার', 'শুক্রবার', 'সকালে', 'গতকাল', 'বুধবার', 'হয়েছে', 'রোববার', 'সোমবার', 'শনিবার']
['আজ', 'বৃহস্পতিবার', 'শুক্রবার', 'সকালে', 'গতকাল', 'বুধবার', 'হয়েছে', 'রোববার', 'সোমবার', 'শনিবার']
['আজ', 'গতকাল', 'বুধবার', 'বৃহস্পতিবার', 'শুক্রবার', 'সোমবার', 'মঙ্গলবার', 'রোববার', 'শনিবার', 'সকালে']
['আজ', 'সকালে', 'বৃহস্পতিবার', 'শুক্রবার', 'রোববার', 'বিকেলে', 'গতকাল', 'বুধবার', 'শনিবার', 'রাতে']
['', '', '', '', '', '', '', '', '', '']
['আজ', 'গতকাল', 'বৃহস্পতিবার', 'শুক্রবার', 'বুধবার', 'সকালে', 'শনিবার', 'কাল', 'সোমবার', 'রোববার']
['আজ', 'গতকাল', 'বৃহস্পতিবার', 'শুক্রবার', 'বুধবার', 'সকালে', 'শনিবার', 'কাল', 'সোমবার', 'রোববার']
['পূর্বে', 'সাথে', 'সময়', 'এটি', 'পরবর্তীতে', 'পূর্ব', 'যা', 'সময়ে', 'এর', 'নিয়ে']
['সময়', 'সাথে', 'দেয়', 'পরবর্তীতে', 'পূর্বেই', 'হবার', 'হওয়ার', 'সময়ে', 'পর', 'সময়ের']
['যাইহোক', 'দেয়', 'প্রায়ই', 'সাথে', 'তখনকার', 'উপরন্তু', 'যদিও', 'ফলস্বরূপ', 'কারন', 'পরবর্তীতে']
['দিয়া', 'রাজীব', 'এবং', 'আর', 'করিম', 'পক্ষান্তরে', 'অন্যদিকে', 'তাদের', 'চাচা', 'দেয়']
['তখনকার', 'যদিও', 'উপরন্তু', 'পূর্বের', 'যাইহোক', 'প্রায়ই', 'পরবর্তীতে', 'তবুও', 'প্রকৃতপক্ষে', 'বর্তমান']
['সাথে', 'যদিও', 'দেয়', 'পরবর্তীতে', 'তাদের', 'যাইহোক', 'যায়', 'প্রায়ই', 'শুধুমাত্র', 'আরো']
['সাথে', 'দেয়', 'তাদের', 'পরবর্তীতে', 'যদিও', 'যখন', 'শুধুমাত্র', 'যাইহোক', 'পরিবর্তে', 'উপরন্তু']
['সাথে', 'দেয়', 'তাদের', 'পরবর্তীতে', 'যদিও', 'যখন', 'শুধুমাত্র', 'যাইহোক', 'পরিবর্তে', 'উপরন্তু']
['সাথে', 'প্রায়ই', 'যদিও', 'একে', 'প্রায়শই', 'তাদের', 'পরবর্তীতে', 'দেয়', 'মাঝে', 'উপরন্তু']
['যখন', 'তবুও', 'দেয়', 'চায়', 'আসলে', 'কে', 'তখনকার', 'সাথে', 'সবসময়', 'যাকে']
['', '', '', '', '', '', '', '', '', '']
['সাথে', 'চেয়ে', 'যদিও', 'পরবর্তীতে', 'সামঞ্জস্যপূর্ণ', 'প্রায়ই', 'মাঝে', 'তবুও', 'যাইহোক', 'সময়ের']
['সাথে', 'চেয়ে', 'যদিও', 'পরবর্তীতে', 'সামঞ্জস্যপূর্ণ', 'প্রায়ই', 'মাঝে', 'তবুও', 'যাইহোক', 'সময়ের']
['পূর্বে', 'দিয়ে', 'দিয়ে', 'মধ্য', 'উত্তর', 'দক্ষিণ', 'আগে', 'মাধ্যমে', 'পূর্ব', 'যা']
['দিয়ে', 'আগে', 'আগেই', 'পর', 'মধ্যেই', 'মাধ্যমে', 'আসার', 'শুরুর', 'মধ্য', 'দিয়ে']
['দিয়ে', 'যাচ্ছেন', 'আসার', 'সরাসরি', 'দেওয়া', 'সেটি', 'মধ্য', 'এভাবেই', 'পুরোপুরি', 'এমন']
['দিয়ে', 'মাধ্যমে', 'মধ্য', 'দিয়ে', 'সরাসরি', 'পাশাপাশি', 'যাচ্ছেন', 'কাজ', 'মাঝে', 'সেই']
['দিয়ে', 'যাচ্ছেন', 'আসবেন', 'এসেছেন', 'ধরেছেন', 'রেখেছে', 'তুলে', 'বদলে', 'সেগুলো', 'আসার']
['দিয়ে', 'সম্ভব', 'এমন', 'তা', 'তবে', 'হলেও', 'দিয়ে', 'এটা', 'যেহেতু', 'সেগুলো']
['দিয়ে', 'দেওয়া', 'সরাসরি', 'যেতে', 'নামিয়ে', 'গেলে', 'দিয়ে', 'পুরোপুরি', 'যাচ্ছেন', 'সম্ভব']
['দিয়ে', 'দেওয়া', 'সরাসরি', 'যেতে', 'নামিয়ে', 'গেলে', 'দিয়ে', 'পুরোপুরি', 'যাচ্ছেন', 'সম্ভব']
['দিয়ে', 'দিয়ে', 'এসব', 'সরাসরি', 'মাধ্যমে', 'এমন', 'দেওয়া', 'যাচ্ছেন', 'মূলত', 'প্রস্তুত']
['দিয়ে', 'সবাইকে', 'দিলেন', 'যাচ্ছেন', 'তুলে', 'এভাবেই', 'দিয়েছেন', 'চমকে', 'আসার', 'নিজেকে']
['', '', '', '', '', '', '', '', '', '']
['দিয়ে', 'পুরোপুরি', 'দিয়ে', 'বদলে', 'মধ্য', 'দেওয়া', 'মাধ্যমে', 'সম্ভব', 'তুলে', 'আসার']
['দিয়ে', 'পুরোপুরি', 'দিয়ে', 'বদলে', 'মধ্য', 'দেওয়া', 'মাধ্যমে', 'সম্ভব', 'তুলে', 'আসার']
['পূর্বে', 'পূর্ব', 'সময়', 'সময়ে', 'এটি', 'যা', 'পরবর্তীতে', 'হয়েছিল', 'পরে', 'পর']
['পূর্বেই', 'পরেও', 'আজও', 'পর', 'হবার', 'পরের', 'মধ্যেই', 'পরই', 'আগ', 'মাত্র']
['আজও', 'তবুও', 'এভাবেই', 'তবু', 'পরেও', 'দিনেও', 'তাও', 'এরকম', 'সেভাবে', 'এজন্য']
['সহিত', 'আজও', 'মাঝে', 'বন্ধুত্ব', 'তারই', 'সাথেই', 'সাথেও', 'থাকায়', 'তবুও', 'এভাবেই']
['দিয়া', 'আজও', 'কষ্ট', 'রাজীব', 'দিনেও', 'তবুও', 'সুনির্দষ্ট', 'প্রার্থনা', 'যখনই', 'কান্না']
['আজও', 'তবুও', 'তথাপি', 'এখনও', 'যদিও', 'এরকম', 'মাঝে', 'বরং', 'এজন্য', 'তখনও']
['আজও', 'তবুও', 'সেটিকে', 'এভাবেই', 'যখনই', 'সেভাবে', 'তবু', 'তাও', 'পারতেন', 'এজন্য']
['আজও', 'তবুও', 'সেটিকে', 'এভাবেই', 'যখনই', 'সেভাবে', 'তবু', 'তাও', 'পারতেন', 'এজন্য']
