['এসে', 'গিয়ে', 'ছুটে', 'হঠাৎ', 'দেখে', 'এভাবেই', 'তখন', 'গিয়ে', 'যাই', 'করছিল']
['এসে', 'করছিল', 'করছিলেন', 'গিয়ে', 'অপেক্ষা', 'গিয়ে', 'বুঝতে', 'চলে', 'ছুটে', 'এভাবেই']
['এসে', 'করছিল', 'করছিলেন', 'গিয়ে', 'অপেক্ষা', 'গিয়ে', 'বুঝতে', 'চলে', 'ছুটে', 'এভাবেই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এসে', 'গিয়ে', 'হঠাৎ', 'গিয়ে', 'করছিল', 'ছুটে', 'আবার', 'চলে', 'এসেই', 'এভাবেই']
['এসে', 'তখন', 'দেখে', 'যখন', 'লাগল', 'তারপর', 'শুনে', 'গিয়ে', 'আবার', 'বুঝতে']
['এসে', 'গিয়ে', 'চলে', 'ছুটে', 'তখন', 'যাই', 'দেখে', 'করছিল', 'হঠাৎ', 'গিয়ে']
['', '', '', '', '', '', '', '', '', '']
['এসে', 'গিয়ে', 'করছিলেন', 'করছিল', 'ছুটে', 'গিয়ে', 'বুঝতে', 'তখন', 'এভাবেই', 'তারপর']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এসে', 'গিয়ে', 'বুঝতে', 'গিয়ে', 'করছিল', 'ছুটে', 'হঠাৎ', 'চলে', 'এভাবেই', 'লাগল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'এসে', 'ঈদের', 'দিনের', 'সবাই', 'চলে', 'আগেই', 'ডেঙ্গুর', 'গিয়ে', 'আবার']
['আসিয়া', 'হলাম', '১৮৩৪', '১৬০৬', '১৮৫৬', '১৮১৯', 'বিবিকে', '১৮৩৬', '১২৩৫', '১৫৮৫']
['হলাম', 'করিবার', 'অভিপ্রায়ে', 'করবার', 'প্রলুব্ধ', 'প্রয়াসী', 'বহরকে', 'নিমিত্তে', 'চেষ্ঠা', 'প্রাণান্ত']
['হলাম', 'করিবার', 'অভিপ্রায়ে', 'করবার', 'প্রলুব্ধ', 'প্রয়াসী', 'বহরকে', 'নিমিত্তে', 'চেষ্ঠা', 'প্রাণান্ত']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হইলেন', 'হই', 'ম্যাঙ্গানেট', 'দেবগণের', '১৬০৬', 'হন৷', 'অর্হত', 'দ্বিধাগ্রস্থ', 'ঘণীভূত']
['হইল', 'হলাম', 'অজনপ্রিয়', 'ভাবলাম', 'হয়েছি', 'হই', 'দৃষ্টিগোচর', 'হইয়াও', 'ভীত', 'হওয়াতে']
['হলাম', 'হইয়া', 'ভাবলাম', 'উঠলাম', 'মহাপ্রলয়ের', 'গোষ্ঠীবদ্ধ', 'এতদিন', 'যেই', 'সেইসময়', 'বুঝলাম']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'করিলেন', 'গর্ববোধ', 'উঠলাম', 'ভাবলাম', 'হই', 'ইতোপূর্বে', 'করবো', 'ব্যক্তিগতভাবে', 'পরিশেষে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'লাগিল', 'হই', 'পেরেই', 'পারতো', 'হচ্ছিলেন', 'প্রয়াসী', 'যাত্রীবেশে', 'ঘণীভূত', 'উঠলাম']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ঈদের', 'ছুটি', 'প্রকোপ', 'পিএইচডিবিহীন', 'মিলে', 'ঈদে', 'চলুন', 'সবাই', 'বাহক']
['আসিয়া', 'বিবিকে', 'এরপরে', 'করবার', '১৮৩৪', '১৭৩৬', 'গ্রীসে', 'মৃত্যুদণ্ডাদেশ', 'বিবির', '১৭০৮']
['হইলাম', 'করবার', 'এলকেনও', 'দেমিরাল', 'একরাতে', 'রিৎসু', 'এসিআইর', 'লড়ছি', 'শিউলিকে', 'পিকেটাররা']
['করবার', 'চেষ্ঠা', 'চাপাচাপি', 'এইভাবে', 'করারা', 'পর্যবেক্ষ্ণ', 'পীড়াপীড়ি', 'করিবার', 'ইচ্ছাপোষণ', 'পতিরূপে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'করবার', 'প্রোপিন', 'এইভাবে', 'কিয়াসের', 'অধিকন্তু', 'আল্ট্রাভায়োলেট', 'অষ্টাবক্র', 'হেপ্টিন', 'এলকেনও']
['হইল', 'হইয়াও', 'করবার', 'যাহোক', 'যেই', 'পাপ', 'তবুও', 'তাও', 'তখনও', 'সেগুলি']
['হইয়া', 'করবার', 'যেই', 'কিন্ত', 'যাই', 'এরপরে', 'তখনও', 'অদৃশ্য', 'তারপরেও', 'যাহোক']
['', '', '', '', '', '', '', '', '', '']
['করিলেন', 'করবার', 'করলো', 'যেই', 'করায়', 'পরিত্যাগ', 'তারপরে', 'পরিশেষে', 'করেছিলে', 'এইভাবে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['করবার', 'লাগিল', 'এলকেনও', 'যেই', 'মিসাইলটি', 'গফরগাঁওয়ে', 'এরপরে', 'গবেষণাকালে', 'রিৎসু', 'ধ্বংসও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ছুটি', 'ঈদের', 'প্রকোপ', 'মিলে', 'দিনের', 'চলুন', 'সবাই', 'করলে', 'দূর']
['করার', 'করা', 'করেছিলেন', 'পরে', 'গ্রহণ', 'পর', 'করেন', 'এবং', 'করে', 'তবে']
['করার', 'কিন্তু', 'যাতে', 'তখন', 'তাই', 'যখন', 'আবার', 'তা', 'এভাবে', 'কারণ']
['করার', 'করতে', 'চেষ্টা', 'করে', 'করা', 'জন্য', 'গ্রহণ', 'করেছিলেন', 'করেছিল', 'যাতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['করার', 'গ্রহণ', 'যে', 'করলেও', 'করে', 'করলে', 'করতে', 'করা', 'পরে', 'তবে']
['করার', 'কিন্তু', 'তা', 'যে', 'তখন', 'যখন', 'গ্রহণ', 'করতে', 'হলো', 'তাই']
['করার', 'তখন', 'তা', 'যখন', 'কিন্তু', 'যে', 'যাতে', 'পরে', 'যদিও', 'তবে']
['', '', '', '', '', '', '', '', '', '']
['করার', 'করে', 'করতে', 'করেছিলেন', 'গ্রহণ', 'করেন', 'করেছিল', 'করলেও', 'তা', 'চেষ্টা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['করার', 'করতে', 'যাতে', 'তা', 'গ্রহণ', 'করলেও', 'করলে', 'এভাবে', 'করেছিলেন', 'করা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'করার', 'আগে', 'করতে', 'ঈদের', 'দিনের', 'করলে', 'আরও', 'পর', 'পরে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলেন', 'যিনি', 'একজন', 'জন্মঃ', 'হচ্ছেন', 'অক্টোবর', 'ফুটবলার', 'সাংবাদিক', 'আসিয়া', '২৩']
['হলেন', 'হচ্ছেন', 'ফুটবলার', 'যিনি', 'একজন', 'আরেকজন', 'আরেক', 'সোহেল', 'তিনজন', '২৮']
['হলেন', 'যিনি', 'একজন', 'হচ্ছেন', 'ফুটবলার', 'তিনজন', 'প্রাক্তন', 'আরেকজন', 'সাংবাদিক', '২৩']
['হলেন', 'যিনি', 'একজন', 'হচ্ছেন', 'ফুটবলার', 'তিনজন', 'প্রাক্তন', 'আরেকজন', 'সাংবাদিক', '২৩']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলেন', 'একজন', 'যিনি', 'হচ্ছেন', 'ফুটবলার', 'প্রখ্যাত', 'মাতা', 'হলো', 'কে', 'বাকি']
['হলেন', 'একজন', 'যিনি', 'হচ্ছেন', 'ফুটবলার', '২৩', '১৯৯১', 'আরেকজন', 'প্রখ্যাত', 'আলী']
['', '', '', '', '', '', '', '', '', '']
['হলেন', 'যিনি', 'একজন', 'হচ্ছেন', 'ফুটবলার', '২৩', '১৯৭৫', 'আরেকজন', '২৬', '২৮']
