['আপু', 'খালা', 'মামাতো', 'ঠাকুমা', 'বোন', 'চাচা', 'আম্মু', 'শ্বাশুড়ি', 'বোনের', 'আম্মুর']
['আম্মু', 'মামা', 'আম্মুর', 'মাক', 'দাদীমা', 'মা', 'ঠাকুমা', 'মামাতো', 'মাও', 'দিদিমা']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'মামণি', 'নানাবতী', 'আমেনা', 'মনা', 'নানাকি', 'আমা', 'নানান', 'ননী', 'আম্মু']
['জেলে', 'জেলেই', 'জেলহাজতে', 'জেলেকে', 'জেলেও', 'জেলেনা', 'জেলের', 'জেলবন্দী', 'জেলখানায়', 'কারাগারে']
['ধোপা', 'ধমণী', 'ধামা', 'ধাবা', 'ধোওয়া', 'ধোপাঘাটা', 'ধোয়া', 'মোছা', 'গোছা', 'ধাগা']
['বেদে', 'সমুদ্রপৃষ্ঠে', 'বালুতে', 'সমুদ্রতলে', 'সমুদ্রতটে', 'সমুদ্রে', 'সমুদ্রেই', 'মৌজায়', 'মণে', 'মেরুতে']
['গুরু', 'গুরুই', 'গুরুর', 'গুরুজন', 'ਗੁਰੂ', 'গুরুকে', 'গুরুরা', 'গুরুজনের', 'গুরুজির', 'গুরুগণ']
['মেয়ে', 'মেয়ে', 'মেয়েই', 'মেয়েটা', 'কন্যা', 'মেয়ের', 'ছেলে', 'ছে\u200cলে', 'বালিকা', 'মেয়ের']
['বর', 'বণী', 'বৌমার', 'বরা', 'বুর', 'বরই', 'ম্রা', 'মূর', 'মের', 'বী']
['বাদশা', 'বাদশার', 'মৎসকন্যা', 'মৎসকন্যার', 'বাদশাকে', 'বাদুড়', 'মূর্খ', 'মীশা', 'মাশা', 'মহাকুমা']
['কাঙ্গাল', 'মংলা', 'কালেঙ্গা', 'কাংরা', 'মংগল', 'মাঙ্গা', 'কাঙ্গালিনী', 'ম্ঙ্গা', 'কঙ্গনা', 'মগনলাল']
['বাঘ', 'বাঘটি', 'বাঘও', 'বাঘই', 'বাঘের', 'বাঘী', 'বাঘি', 'মঘ', 'বাঘে', 'বাঘকে']
['যোগী', 'যোগি', 'যোগিনী', 'যোগীর', 'যোগিনীর', 'যোগীরা', 'যোগেশ্বরী', 'যোগীকে', 'যোগজ', 'যোগেশ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকা', 'তেজুকার', 'মোক্ষম', 'তেজদীপ্ত', 'মণীষী', 'ধূমাবতী']
['কিশোরী', 'কিশোরীর', 'যুবতী', 'কিশোরীটি', 'তরুনী', 'যুবতীর', 'কিশোর', 'তরুনীর', 'কিশোরীকে', 'চিরুনী']
['নর', 'নরা', 'নার', 'নর্ম', 'নরের', 'নল', 'নর্মা', 'নলা', 'নর্দমা', 'নরি']
['সুন্দর', 'সুন্দরী', 'সুন্দরীর', 'সুদৃশ্য', 'সুদর্শন', 'সৌন্দর্যময়', 'সুন্দরের', 'সুদর্শনের', 'মোছাম্মৎ', 'সৌন্দর্যমন্ডিত']
['গুণবান', 'গুণবতী', 'গুণকাম', 'গুণী', 'গুণসম্পন্ন', 'গুণীর', 'গুণগ্রাহী', 'গুণান্বিত', 'গুণমানসম্পন্ন', 'সুসম্পন্ন']
['পুণ্যবান', 'পুণ্যময়', 'গুণবতী', 'সুভাষিণী', 'সুভাষিণীর', 'গুরুত্তপূর্ণ', 'শ্রীমতী', 'গুণবান', 'কল্যাণময়', 'মহিষাবান']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিকা', 'বুদ্ধিমানের', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমতি', 'বুদ্ধির', 'বুদ্ধিদীপ্ত', 'বুদ্ধিগত']
['শ্রীমান', 'শ্রীমা', 'শ্রীশ্রীমা', 'শ্রীম', 'শ্রীমদ্', 'শ্রীমৎ', 'শ্রীমতি', 'শ্রীমন্ত', 'শ্রীরঙ্গমের', 'শ্রীরঙ্গম']
['বিজয়', 'বিজয়', 'বিজয়া', 'বিজয়পাত', 'জয়ের', 'জয়লাভ', 'বিজয়া', 'বিজয়ের', 'জয়', 'জয়']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকরা', 'পাঠকেরা', 'পাঠকে', 'পাঠকও', 'পাঠকক্ষ', 'পাঠককে']
['লেখক', 'লেখিকা', 'লেখকের', 'লেখকই', 'লেখিকার', 'লেখকও', 'রচনাকার', 'লেখিকাকে', 'লেখনীর', 'গ্রন্থকার']
['গায়িকা', 'গায়িকার', 'গায়িকা', 'গীতিকা', 'গায়ক', 'গায়িকার', 'গায়ক', 'গায়কী', 'গায়কীর', 'গীতকার']
['খোকা', 'শিশুকন্যা', 'খোকার', 'বাচ্চাকাচ্চা', 'শিশুকন্যার', 'বালিকা', 'খোকাকে', 'মেয়ে', 'কন্যাশিশুটি', 'মেয়েটা']
['ছাত্রী', 'শিক্ষার্থী', 'ছাত্রীর', 'ছাত্রছাত্রী', 'ছাত্র', 'ছাত্রীই', 'ছাত্রীটি', 'শিক্ষার্থীর', 'ছাত্রীকে', 'ছাত্রছাত্রীর']
['শিক্ষিকা', 'শিক্ষক', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষকনেতা', 'শিক্ষিকাকে', 'শিক্ষকই', 'শিক্ষিকারা', 'শিক্ষকও', 'শিক্ষকের']
['নেত্রী', 'নেতা', 'নেত্রীর', 'নেতাও', 'নারীনেত্রী', 'নেতাকে', 'নেতায়', 'নেত্রীকে', 'নেতাই', 'নেতৃত্বটা']
['পাগল', 'উন্মাদ', 'পাগলের', 'পাগলী', 'পাগলা', 'পাগলি', 'উন্মাদের', 'পাগলপ্রায়', 'পাগলামির', 'পাগলাটে']
['প্রিয়', 'প্রিয়', 'প্রিয়তমা', 'প্রিয়পাত্রী', 'প্রিয়পাত্র', 'প্রিয়ভাষিণী', 'প্রিয়তমা', 'প্রিয়তমার', 'প্রিয়তম', 'প্রিয়তম']
['কনিষ্ঠ', 'কমবয়সী', 'কনিষ্ঠতম', 'লঘিষ্ঠ', 'কমবয়সী', 'নাবালিকা', 'অরুন্ধতী', 'কিশোরীর', 'কিশোরী', 'ক্ষুদ্রতর']
['লোক', 'মানুহ', 'মানুষ', 'মানুষী', 'মানুষজন', 'লোকজন', 'নারী', 'মানুষের', 'মানু\u200cষের', 'মহিলার']
['শ্রমিক', 'শ্রমিকের', 'শ্রমিকই', 'শ্রমিকনেতা', 'কর্মী', 'চাকুরিজীবী', 'শ্রমিকও', 'শ্রমিকেরাও', 'শ্রমিককে', 'শ্রমিকগণ']
['বাবা', 'বাবামা', 'বাবাই', 'পিতা', 'বাবারা', 'বাবার', 'বাবাকে', 'পিতাই', 'পিতৃ', 'আব্বস']
['দাদা', 'দাদুর', 'দাদাভাই', 'দাদু', 'দাচী', 'চাচী', 'দাদাপীর', 'দাদাজী', 'দাদি', 'দাদার']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানাকি', 'নানার', 'নানাজনের', 'নানাবতী', 'নানান', 'নানাবাড়ি', 'নানাবাড়ি', 'নানাসে', 'দাচী']
['জেলে', 'জেলেই', 'জেলহাজতে', 'জেলেকে', 'জেলবন্দী', 'জেলের', 'জেলেও', 'কারাগারে', 'জেলখানায়', 'কারাবাসে']
['ধোপা', 'ধোপাঘাটা', 'ধোপাপাড়া', 'ধাবা', 'ধোওয়া', 'ধোবি', 'ধোপার', 'ধোয়া', 'ধামা', 'ধোয়ার']
['বেদে', 'বালুতে', 'সমুদ্রপৃষ্ঠে', 'বালুচরে', 'সমুদ্রতলে', 'সমুদ্রতটে', 'কূলে', 'মৃত্তিকায়', 'গলদেশে', 'পীরে']
['গুরু', 'গুরুর', 'গুরুই', 'গুরুজন', 'ਗੁਰੂ', 'গুরুজির', 'গুরুরা', 'গুরুকে', 'গুরুজি', 'গুরুজনের']
['ছেলে', 'ছে\u200cলে', 'ছেলের', 'ছেলেমেয়ে', 'বালক', 'ছেলেসন্তান', 'ছেলেকে', 'ছেলেমেয়ে', 'ছেলেটা', 'ছেলেই']
['বর', 'বী', 'বরই', 'বুর', 'বীণ', 'বণী', 'বয়', 'বয়', 'বঁটি', 'বকে']
['বাদশা', 'বাদশার', 'বাদশাকে', 'বাদঘিজ', 'বাদশাহরা', 'বাদশাহের', 'বাদুড়', 'বাদশাহি', 'বাদশাহর', 'বাদুড়']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাংজি', 'কানজি', 'গাঙচিল', 'কাংসি', 'গঙ্গাজলি', 'ক্যানাল', 'কালেঙ্গা', 'গালানগল']
['বাঘ', 'বাঘটি', 'বাঘই', 'বাঘও', 'বাঘী', 'বাঘি', 'বাঘের', 'বাঘেল', 'বাঘবেড়', 'বাঘে']
['যোগী', 'যোগি', 'যোগীর', 'যোগিনী', 'যোগেশ্বরী', 'যোগীরা', 'যোগীকে', 'যোগিনীর', 'জোজি', 'যোগজ']
['তেজস্বী', 'তেজস্বিনী', 'তেজস্বীর', 'তেজস্ক্রিয়', 'তেজুকার', 'তেজুকা', 'তেজস্ক্রিয়', 'তেজস', 'তেজদীপ্ত', 'তরতর']
['কিশোর', 'কিশোরী', 'কিশোরই', 'কিশোরের', 'কমবয়সী', 'কিশোরকালীন', 'কিশোরীর', 'অল্পবয়স্ক', 'কিশোরেরা', 'অল্পবয়সী']
['নর', 'নার', 'নরের', 'নল', 'নটীর', 'নরি', 'নটী', 'নীড়ের', 'নোর', 'নদ']
['সুন্দর', 'সুন্দরের', 'সুদর্শন', 'সুন্দরী', 'সুদৃশ্য', 'সৌন্দর্যময়', 'সুদর্শনের', 'সুন্দরীর', 'সৌন্দর্যমন্ডিত', 'সৌন্দর্যমণ্ডিত']
['গুণবান', 'গুণী', 'গুণকাম', 'গুণীর', 'গুণগ্রাহী', 'গুণসম্পন্ন', 'গুণনীয়ক', 'গুণবতী', 'গুণমানসম্পন্ন', 'গুণান্বিত']
['পুণ্যবান', 'পুণ্যময়', 'গুরুত্তপূর্ণ', 'গুণবান', 'সুভাষিণীর', 'আশীর্বাদপুষ্ট', 'কল্যাণময়', 'মহিষাবান', 'দয়াময়ীর', 'দয়াময়ী']
['বুদ্ধিমান', 'বুদ্ধিমতী', 'বুদ্ধিসম্পন্ন', 'বুদ্ধিদীপ্ত', 'বুদ্ধিমত্তাসম্পন্ন', 'বুদ্ধিমানের', 'বুদ্ধির', 'বুদ্ধিগত', 'বুদ্ধিমতি', 'বিজ্ঞ']
['শ্রীমান', 'শ্রীরঙ্গমের', 'শ্রীমৎ', 'শ্রীম', 'শ্রীমন্ত', 'শ্রীরঙ্গম', 'শ্রীমদ্', 'শ্রীমা', 'শ্রীশৈলমের', 'শ্রীরাম']
['বিজয়', 'বিজয়', 'বিজয়পাত', 'বিজয়ের', 'জয়লাভ', 'বিজয়ের', 'বিজয়ও', 'জয়ের', 'জয়', 'বিজয়া']
['পাঠক', 'পাঠকারী', 'পাঠকের', 'পাঠকই', 'পাঠকেরা', 'পাঠকরা', 'পাঠকে', 'পাঠকদের', 'পড়শী', 'পাঠককে']
['লেখক', 'লেখকের', 'রচনাকার', 'লেখকই', 'লেখিকার', 'রচনাকারী', 'লেখকও', 'লেখকেরা', 'লেখকঃ', 'লেখনীর']
['গায়ক', 'গায়কি', 'গায়ক', 'গায়কী', 'গায়কীর', 'গায়কোয়াড়', 'গীতকার', 'গায়কির', 'গায়কোয়াড়', 'গীতিকার']
['খোকা', 'খোকার', 'খোকাবাবু', 'বাচ্চাকাচ্চা', 'খোকাকে', 'খুদে', 'বাচ্চা', 'ছোটবগী', 'বালকি', 'শিশু']
['ছাত্র', 'শিক্ষার্থী', 'ছাত্রছাত্রী', 'ছাত্রী', 'স্টুডেন্ট', 'ছাত্রীর', 'শিক্ষার্থীর', 'ছাত্রের', 'ছাত্রছাত্রীর', 'ছাত্রই']
