['ব্র্গ্যাদ', 'গারুদা', 'বাগদাদ', 'বাগদা', 'ব্রিগ', 'গ্রিড', 'ব্রাগা', 'গড়াইয়া', 'গ্রিডের', 'গজরাজ']
['ব্রিস্কো', 'ব্যাংকক', 'ব্রিগ', 'ব্যাংককের', 'ব্যাংকককে', 'ব্রংকাই', 'ব্যাংককে', 'ব্রিক', 'গ্রীকো', 'ব্রিগসের']
['ব্রিগ', 'বেইজিং', 'বেইজিংয়ের', 'ব্রাজিলই', 'ব্রিগসের', 'বেইজিংয়ের', 'ব্রাজিলও', 'বেইজিংকে', 'বেইজিংয়ে', 'ব্রাজিল']
['বার্লির', 'বার্লিন', 'গ্রিলি', 'বার্লি', 'ব্রিগ', 'গ্রিলির', 'বার্লিনের', 'ব্রিল', 'বার্লিনে', 'বার্লিনকে']
['গ্রির', 'ব্রিগ', 'বরার', 'ব্যারির', 'গ্রের', 'ব্র্গ্যা', 'বরি', 'ব্রিউ', 'ব্রার', 'ব্রি']
['কায়রো', 'ক্রায়ো', 'কায়রোয়', 'ক্রিও', 'কায়রো', 'ক্যারো', 'কায়রোর', 'কায়রোর', 'কইরো', 'কায়রোয়']
['গ্রীবার', 'ক্যারিব', 'ক্যানবেরা', 'গ্রাবার', 'গ্রীবা', 'ক্রাজবি', 'ক্রিকবাজ', 'ক্যারিবিয়', 'ক্যারিবীয়রা', 'ক্র্যানবেরি']
['গ্রি', 'গ্রিলি', 'গ্রিস', 'গ্রহি', 'গ্রিলির', 'হ্রীঁ', 'গ্রির', 'গিরিয়া', 'গ্রিনিজ', 'গিরাই']
['গ্রীবা', 'গ্র্বা', 'গরিফা', 'গড়াইয়া', 'গ্র্যাভিওলা', 'গরিলা', 'গরিবি', 'গহিরা', 'গ্রীভ', 'গেরুয়া']
['গিলজি', 'গ্রেসিক্\u200c', 'গিলজাই', 'গিলাকি', 'গ্রিলি', 'গ্রিলির', 'গ্রেৎস্কি', 'গ্রেৎস্কির', 'হেলসিঙ্কি', 'গ্রিলিকে']
['ইসলামাবাদ', 'ইসলামাবাদের', 'ইসলামাবাদকে', 'ইসলামাবাদে', 'ইসলামবাগ', 'ইসলামপুর', 'ইসলামপুরের', 'গরীবপুর', 'গরিবপুর', 'ইসলামাবাদী']
['গলবিল', 'কাবুল', 'কুলুব', 'কুরলা', 'কিলাবের', 'কাবুলের', 'কুর্লা', 'কাবুলি', 'কুবলাই', 'গরিলা']
['লন্ডন', 'লন্ডনের', 'লন্ডনি', 'লন্ডনী', 'লন্ডনস্থ', 'লন্ডনে', 'লন্ডনকে', 'লন্ডনওয়ালে', 'গ্রিলি', 'লন্ডনেই']
['মাদ্রিদ', 'মাদ্রিদই', 'মাদ্রিদও', 'মাদ্রি', 'মাদ্রিদে', 'মাদ্রিদকে', 'মাদ্রিদের', 'মাদ্রী', 'মাদ্রিদেই', 'গ্রিডের']
['মস্কো', 'মস্কোয়', 'মরস্কো', 'মস্কোয়', 'মস্কোর', 'ব্রিস্কো', 'মস্কোতে', 'গ্রীকো', 'মস্কোকে', 'মস্ক']
['অসলো', 'গ্রিলি', 'গরিলা', 'গ্রীল', 'গ্রিস', 'গ্লু', 'গ্রোসো', 'গ্রিলির', 'গ্রো', 'গ্রিকো']
['গ্রো', 'গ্রোটো', 'গরিলা', 'গ্লোরিয়া', 'গোরাই', 'গোরিলা', 'গ্রোসো', 'গ্লোরিয়া', 'গোরিও', 'গ্রি']
['প্যারিস', 'প্যারিসের', 'প্যারিসকে', 'প্যারিসেই', 'প্যারিসে', 'প্যারিসেও', 'গ্রিস', 'গ্রিসের', 'গ্রিসকে', 'গ্রিসে']
['রোম', 'রোমের', 'গ্রিম', 'রোমকে', 'রোমে', 'গ্রিমের', 'রোমেরো', 'রোমা', 'রোমীয়', 'রোমায়']
['স্টকহোম', 'স্টকহোমের', 'স্টকহোমে', 'গ্রীকো', 'স্গোম', 'ব্রিগহাম', 'স্ক্রুগ', 'শিকাগোর', 'গ্রিম', 'শিকাগো']
['গ্রিগর', 'জিরাক', 'গ্রিগরি', 'গ্রিয়ার', 'গ্রিস', 'গ্রেগরী', 'গ্রির', 'তাজরীন', 'গ্রিসের', 'গরিলা']
['টোকিও', 'টোকিওর', 'গোকিও', 'গ্রীকো', 'গিকুয়ু', 'টোকিওতে', 'গ্রিকো', 'জিকো', 'তুর্কো', 'তোকিও']
['ইরাক', 'ইরাককে', 'ইরাকের', 'ইরাকি', 'ইরাকে', 'ইরাকেও', 'ইরাকসহ', 'ইরাকিরা', 'ইরাকী', 'ব্যাংকক']
['ইরেশ', 'ইরাক', 'ইয়র্কের', 'ইশরাক', 'ইউরেশিয়', 'ইরাকের', 'ইউরেশিয়ার', 'ইরেজ', 'ইরান', 'ইশরাকের']
['ইরাক', 'ইরাকি', 'ইরাকী', 'ইরাকের', 'বার্লিন', 'বার্লিনের', 'ইরাককে', 'ইউক্রেন', 'আর্লিন', 'ইরাকিরা']
['ইরাক', 'ইরাকি', 'ইরেনার', 'ইরাকী', 'ইরাকের', 'ইরার', 'ইউক্রেন', 'ইরিয়ান', 'ইরর', 'ইরাকিরা']
['কায়রো', 'ইরাক', 'ইরাকিরা', 'কায়রো', 'ইরাককে', 'ইরাকি', 'ইচিরো', 'ইরাকের', 'ক্রাকো', 'কায়রোয়']
['ইরাকিরা', 'ইরাক', 'ক্র্যানবেরি', 'ইরাকি', 'কর্নিয়া', 'ইরাকের', 'কেরাক', 'ক্যানবেরা', 'ক্রাকেন', 'কর্নিয়া']
