['দুটা', 'দুই', 'দু\u200cই', '\u200dদুই', 'দুইটি', 'ফার্স্ট', 'দ্বিতীয়া', 'দ্বিতীয়তম', 'প্রথমা', 'দুইটা']
['তিন', 'তিনা', 'তিনটা', 'তিনমাথা', 'তিনু', 'তৃতীয়তম', 'তিনার', 'তিনের', 'তিনটে', 'তিনটি']
['চতুর্থতম', 'চতুর্থী', 'চতুর্থত', 'চতুর্থ', 'চারের', 'চার', 'চারই', 'চতুর্থীর', 'চারটা', 'চতুৰ্থ']
['পাঁচটা', 'পঞ্চমী', 'পাঁচতারা', 'পাঁচ', 'পঞ্চম', 'পাঁচের', 'পঞ্চমীর', 'পঞ্চমত', 'পাঁচে', 'পাঁচটি']
['ছয়টা', 'ছয়টা', 'ছয়', 'ছয়ের', 'ছয়', 'ছয়ের', 'ছয়ে', 'ছয়টার', 'ছয়টি', 'ছয়টি']
['সাতান্নতম', 'সাতটা', 'সাতই', 'সাত', 'সাতাত্তর', 'সাতের', 'সাতোর', 'সাতমাথা', 'সাতো', 'সাতটার']
['আটটা', 'আটের', 'অষ্টম', 'আট', 'অষ্টমী', 'আটটার', 'অষ্টমীর', 'আটত্রিশতম', 'আটটি', 'আটটিই']
['নয়', 'নয়', 'নহে', 'নংথমবম', 'নহবত', 'নন', 'নহি', 'নয়ই', 'হয়না', 'হচ্ছেনা']
['দশরথ', 'দশ', 'দশটা', 'দশম', 'দশেরা', 'দশের', 'দশে', 'দশরথি', 'দশেক', 'দশমী']
['এগারতম', 'এগারোতম', 'এগারোটা', 'এগারোর', 'এগারো', 'এগারোটি', 'এগারোটার', 'এগার', 'এগারটি', 'আঠারোতম']
['বারো', 'বারোটি', 'বারোটা', 'বার্ব', 'বারও', 'বারোতম', 'বারোবার', 'বারোর', 'বারু', 'বারোতে']
['তেরোটা', 'তেরো', 'তেরোটি', 'তরো', 'ত্রিংশ', 'ত্রাবিংশ', 'ত্রিশতম', 'তেরোজন', 'পূরো', 'ত্রয়োবিংশ']
['চৌদ্দতম', 'চৌদ্দ', 'চৌদ্দবার', 'চতুর্দশপদী', 'চৌত্রিশতম', 'চতুর্দশ', 'চতুৰ্থ', 'চতুর্দ্দশ', 'চৌদ্দটি', 'চৌদ্দশ']
['পনেরতম', 'পনেরোর', 'পনেরোটি', 'পঞ্চরত্নের', 'পঞ্চান্নতম', 'পঞ্চরত্ন', 'পঞ্চরথ', 'পনেরো', 'পঞ্চনামা', 'পঞ্চবিংশতি']
['ষোলতম', 'ষষ্ঠীপদ', 'ষষ্ঠত', 'ষোলোর', 'ষোড়শী', 'ষোল', 'ষষ্ঠীতলা', 'ষষ্ঠতম', 'ষষ্ঠ', 'ষষ্ঠী']
['সতেরতম', 'সত্তরতম', 'সতেরোর', 'সতেরোটি', 'সাতান্নতম', 'সাতাশতম', 'সতেরো', 'তেইশতম', 'সপ্তাদশ', 'সতেরটি']
['আঠারোতম', 'আঠাশতম', 'আঠারোর', 'আঠারো', 'আঠারোটি', 'আঠারোশ', 'সত্তরতম', 'বত্রিশতম', 'আঠারোজন', 'আঠেরো']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['এক', 'একটা', 'একটার', 'একের', 'একজন', 'একটির', 'অন্যতম', 'অন\u200d্যতম', 'একেকটি', 'একন্']
['দ্বিতীয়', 'দ্বিতীয়', 'দ্বিতীয়া', 'দ্বিতীয়র', 'দ্বিতীয়তম', 'দুই', 'দু\u200cই', '\u200dদুই', 'দ্বিতীয়টা', 'দ্বিতীয়টি']
['তৃতীয়', 'তৃতীয়ত', 'তৃতীয়', 'তৃতীয়া', 'তৃতীয়ার', 'তৃতীয়টি', 'তৃতীয়তম', 'তৃতীয়টি', 'তৃতীয়জন', 'তৃতীয়ত']
['পঞ্চমী', 'পঞ্চম', 'পঞ্চমত', 'পঞ্চমীর', 'পঞ্চমটি', 'পঞ্চমাংশ', 'পাঁচ', 'পাঁচটা', 'পঞ্চমুখ', 'পঞ্চমে']
['ষষ্ঠী', 'ছয়', 'ছয়টা', 'ছয়টা', 'ছয়ের', 'ষষ্ঠ', 'ছয়', 'ষষ্ঠীপদ', 'ষষ্ঠীর', 'ষষ্ঠত']
['সপ্তমী', 'সপ্তম', 'সাতাত্তর', 'সাতই', 'সাত', 'সাতি', 'সাতের', 'সাতটা', 'সাতৈর', 'সপ্তমে']
['অষ্টম', 'আট', 'অষ্টমী', 'আটের', 'আটটা', 'অষ্টমীর', 'আটটি', 'আটত্রিশতম', 'অষ্টমাংশ', 'আটশ']
['নয়', 'নয়', 'নহে', 'নয়ই', 'নন', 'নয়ই', 'না', 'নাই', 'নয়তো', 'নহি']
['দশ', 'দশম', 'দশরথ', 'দশটা', 'দশমী', 'দশেক', 'দশের', 'দশটি', 'দশেরা', 'দশরথি']
['এগারতম', 'এগারোতম', 'এগারো', 'এগারোটি', 'সত্তরতম', 'এগারোর', 'এগার', 'এগারটি', 'আঠারোতম', 'সতেরতম']
['বারো', 'বারোতম', 'বার্ব', 'বারোটি', 'বারোটা', 'বারও', 'বারু', 'বারোটার', 'বারোর', 'বর্দো']
['তেত্রিশতম', 'ত্রাবিংশ', 'তেরো', 'তেরোটা', 'ত্রিংশ', 'ত্রয়োবিংশ', 'তেরোটি', 'তেত্রিশ', 'তেরোজন', 'তেইশতম']
['চৌদ্দতম', 'চৌদ্দ', 'চৌদ্দশ', 'দ্বাদশ', 'চৌত্রিশতম', 'চৌদ্দটি', 'ষোড়শী', 'বৌদ্ব', 'চতুর্দশপদী', 'ষষ্ঠদশ']
['পনেরতম', 'পনেরোটি', 'পঞ্চবিংশতি', 'পনেরো', 'পনেরোর', 'পঞ্চরত্ন', 'পঞ্চবিংশ', 'পঞ্চান্ন', 'পঞ্চান্নতম', 'পঞ্চরত্নের']
['ষোলতম', 'ষষ্ঠদশ', 'ষষ্ঠী', 'ষোড়শী', 'ষষ্ঠীতলা', 'ষষ্ঠ', 'ষোল', 'ষষ্ঠত', 'ষষ্ঠীপদ', 'ষোলোর']
['সতেরতম', 'সত্তরতম', 'সপ্তদশ', 'সতেরোটি', 'সপ্তাদশ', 'সতেরো', 'সতেরোর', 'সতেরটি', 'সতের', 'সপ্তশতী']
['আঠারোতম', 'সত্তরতম', 'আঠাশতম', 'আঠারো', 'আঠারোর', 'আটত্রিশতম', 'আঠারোশ', 'আঠারোটি', 'সপ্তদশ', 'আঠারোজন']
['এক', 'একের', 'একটার', 'একন্', 'একজন', 'একটা', 'একেক', 'এজন', 'একেকটি', 'একটির']
['দ্বিতীয়র', 'দ্বিতীয়', 'দ্বিতীয়', 'দ্বিতীয়া', 'দুই', 'দু\u200cই', '\u200dদুই', 'দ্বিতীয়তম', 'দুইটি', 'দুয়ের']
['তৃতীয়', 'তৃতীয়ার', 'তৃতীয়তম', 'তৃতীয়', 'তৃতীয়া', 'তৃতীয়ত', 'তৃতীয়টি', 'তৃতীয়জন', 'তৃতীয়টি', 'তৃতীয়জন']
['চতুর্থী', 'চতুর্থ', 'চতুর্থীর', 'চতুর্থত', 'চতুর্থতম', 'চতুৰ্থ', 'চারই', 'চতুর্থটি', 'চারের', 'চার']
['ছয়টা', 'ছয়ের', 'ছয়', 'ষষ্ঠী', 'ছয়টা', 'ষষ্ঠ', 'ষষ্ঠতম', 'ছয়', 'ছয়ের', 'ষষ্ঠীর']
['সপ্তমী', 'সাতাত্তর', 'সাতই', 'সপ্তম', 'সাতান্নতম', 'সাতি', 'সাতৈর', 'সপ্তমুখী', 'সাত', 'সাতান্ন']
['আট', 'অষ্টম', 'আটের', 'অষ্টমী', 'আটত্রিশতম', 'অষ্টমীর', 'আটটা', 'আটটি', 'আটটির', 'আটটিই']
['নয়', 'নয়', 'নন', 'নহে', 'নয়ই', 'নয়ই', 'নহি', 'না', 'নয়তো', 'নাই']
['দশমী', 'দশম', 'দশরথ', 'দশ', 'দশের', 'দশনামী', 'দশরথের', 'দশেক', 'দশটা', 'একাদশী']
['এগারোতম', 'এগারতম', 'এগারোটি', 'এগারো', 'এগারোর', 'এগারটি', 'আঠারোতম', 'এগার', 'এগারসিন্ধুর', 'আটত্রিশতম']
['বারো', 'বারোতম', 'বারোটি', 'বার্ব', 'বারোটা', 'বারও', 'বারোটার', 'বারোর', 'বারু', 'বার্টো']
['তেত্রিশতম', 'ত্রিংশ', 'তেরো', 'তেরোটা', 'ত্রাবিংশ', 'তেত্রিশ', 'ছত্রিশতম', 'তেরোটি', 'তের', 'ত্রয়োদশতম']
['চৌদ্দতম', 'চৌদ্দ', 'চৌত্রিশতম', 'চৌদ্দশ', 'ষোড়শী', 'চৌদ্দটি', 'দ্বাদশ', 'চতুর্দশ', 'চৌদ্দজন', 'চতুর্দ্দশ']
