['আপনারা', 'তোমরা', 'আপনি', 'তুমি', 'তোমরা', 'তোমাদের', 'তুই', 'তোমারা', 'আমরা', 'আপোন']
['সে', 'তিনি', 'তি\u200cনি', 'ő', 'উনি', 'তিনিই', 'তার', '\u200b\u200bতার', 'ওঁর', 'আমরা']
['তিনি', 'তি\u200cনি', 'সে', 'ő', 'উনি', 'আমরা', 'তিনিই', 'আমরার', 'ওঁর', 'তার']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষিকা', 'অশিক্ষক', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শিক্ষনুরাগী', 'শিক্ষকেরা']
['মাঝি', 'মাঝির', 'মাঝিকে', 'মাঝিরা', 'মাঝিদের', 'মঠাধিকারী', 'মেথর', 'আমরার', 'নৌপ্রধান', 'মাষ্টার']
['ছাত্র', 'ছাত্রছাত্রী', 'শিক্ষার্থী', 'স্টুডেন্ট', 'ছাত্রছাত্রীর', 'শিক্ষার্থীর', 'ছাত্রের', 'ছাত্রী', 'ছাত্রনেতা', 'ছাত্রীর']
['ধনী', 'ধনীর', 'ধনবান', 'সমৃদ্ধশালী', 'ধনশালী', 'ধনাঢ্য', 'ধনীক', 'বিত্তবান', 'সমৃদ্ধ', 'সম্পদশালী']
['ভাই', 'ভাইর', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইদ', 'ভাইবোন', 'ভাইটি', 'ভাইরে']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষিকা', 'অশিক্ষক', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শিক্ষনুরাগী', 'শিক্ষকেরা']
['গরু', 'গরুর', 'গাভী', 'গরুড়', 'গরুই', 'গাভীর', 'গরুড়ের', 'ঘো', 'গরুভর্তি', 'গরুবোঝাই']
['ছেলে', 'ছে\u200cলে', 'ছেলেমেয়ে', 'ছেলেবন্ধু', 'ছেলের', 'ছেলেমেয়ে', 'ছেলেসন্তান', 'বালক', 'ছেলেমানুষি', 'ছেলেমেয়েই']
['মেয়ে', 'মেয়ে', 'মেয়েলী', 'বালিকা', 'মেয়েলি', 'মেয়েপাখি', 'তরুনী', 'বালিকার', 'মেয়ের', 'মেয়েপাখির']
['ভাই', 'ভাইর', 'ভাইয়েরা', 'ভাইয়ের', 'ভাইয়ে', 'ভাইয়ে', 'ভাইদ', 'ভাইবোন', 'ভাইটি', 'ভাইরে']
['পাখি', 'পাখির', 'পাখিরাই', 'পাখিরা', 'পাখিমারা', 'পাখিগুলি', 'পাখিটা', 'পাখিই', 'পাখিসেবার', 'পাখিকে']
['সদস্য', 'সদস\u200d্য', 'সদস্যদরা', 'সদস্যর', 'সদস্যা', 'সদস্যভূক্ত', 'সদস্যই', 'সদস্যের', 'সদস্যেরা', 'সদস্যভুক্ত']
['সচিব', 'সচিবের', 'সচিবগণ', 'সচিবেরা', 'সচিবকে', 'সচিবদের', 'সচিবালয়', 'সচিবালয়', 'সেক্রেটারি', 'সচিবও']
['দর্শক', 'দর্শকখরা', 'দর্শকসারি', 'দর্শকগন', 'দর্শকবৃন্দ', 'দর্শকের', 'দর্শকগণ', 'দর্শকেরা', 'দর্শকপ্রিয়', 'দর্শকরা']
['শিক্ষক', 'শিক্ষকনেতা', 'শিক্ষয়িত্রী', 'শিক্ষিকার', 'শিক্ষিকা', 'অশিক্ষক', 'শিক্ষকমন্ডলী', 'স্কুলশিক্ষক', 'শিক্ষনুরাগী', 'শিক্ষকেরা']
