['পূর্বেই', 'আগেই', 'আগে', 'আ\u200cগে', 'আগেও', 'ইতোপূর্বে', 'পূর্বেও', 'এরপূর্বেই', 'ইতিপূর্বে', 'পূর্বে']
['অদ্য', 'আদ্য', 'আদ্যন্ত', 'অদ্যবধি', 'অদ্যাপি', 'আজন্ম', 'অদ্যপি', 'আদিত', 'প্রদ্যোৎ', 'আজমান']
['সহিত', 'সহ', 'সঙ্গের', 'সঙ্গেই', 'সৈতে', 'সঙ্গে', 'স\u200cঙ্গে', 'সাথে', 'সা\u200cথে', 'সাথেই']
['দিয়া', 'দিয়া', 'দেওয়াই', 'দিছে', 'দিল', 'দেয়ে', 'দেওয়াই', 'দেয়ঈ', 'দিযে', 'দেওয়া']
['অদ্যাপি', 'অদ্য', 'অদ্যবধি', 'সকালবেলা', 'ভোরবেলা', 'আজেবাজে', 'পরশুই', 'পরশু', 'পরশুও', 'সকালের']
['তথাপি', 'তথাপিও', 'তবুও', 'তবু', 'তারপরও', 'তারপরেও', 'তবেও', 'এসত্ত্বেও', 'তাস্বত্ত্বেও', 'যাইহোক']
['নতুবা', 'নাহলে', 'নইলে', 'অন্যথায়', 'অন্যথায়', 'অন্যথা', 'অন্যকথায়', 'নতুর', 'নয়তো', 'أَوْ']
['নতুবা', 'নাহলে', 'নইলে', 'অন্যথায়', 'অন্যথায়', 'অন্যথা', 'অন্যকথায়', 'নতুর', 'নয়তো', 'أَوْ']
['প্রায়শ', 'প্রায়শঃ', 'প্রায়', 'প্রায়শঃই', 'প্রায়ুথ', 'প্রায়', 'প্ৰায়', 'প্রায়র', 'প্রায়সই', 'প্রায়রি']
['যদ্যপি', 'অদ্যপি', 'যবিপ্রবি', 'জেপি', 'যকৃৎ', 'যব', 'যর', 'যৌগ', 'আদ্য', 'জেপির']
['', '', '', '', '', '', '', '', '', '']
['কিঞ্চিৎ', 'শখানেক', 'কঞ্চি', 'কিচ্চা', 'কিতেরেৎসু', 'খানেক', 'কিশো', 'কিস', 'বিশেক', 'কিনতু']
