['তুলা', 'তুলার', 'তুলাই', 'তুলাতুলি', 'তুলায়', 'তুলাধোনা', 'তুলাবরম', 'খুলা', 'কুলা', 'তুলাতুলী']
['পূজা', 'পূজাই', 'পূজার', 'পূজার্চনা', 'উপাসনা', 'পূজাকে', 'পূজার্চনার', 'পূজাও', 'পূজায়', 'পূজো']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যৈষ্ঠ', 'জ্যুড', 'জ্যৈষ্ঠের', 'জ্যোতিপ্রিয়', 'জ্যোতিভূষণ', 'জ্যোতির্লিঙ্গ']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'ধর্মপিতা', 'পুরোহিতরা', 'পুরোহিতেরা', 'সন্ন্যাসী', 'সন্ন্যাসীর', 'পুরোহিতদের', 'পুরোহিতগণের']
['শুষ্ক', 'শুকনো', 'শুকিয়ে', 'শুকিয়ে', 'শুকানো', 'শুকনা', 'শুকর', 'শুকলা', 'শুকরান', 'শুকনো']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্ৰাণী', 'বন্যপ্রাণী', 'বন্যপ্রাণীর', 'বন্যজীবনের', 'বন্যজীবন', 'বনজীবী']
['হস্ত', 'হাত', 'হস্তের', 'হস্তী', 'হাতটা', 'হাতলটি', 'হাতই', 'হাতেম', 'হাতের', 'হা\u200cতের']
['নাসিকা', 'নাৎসিরা', 'নাজকা', 'নকসা', 'নাইসিয়া', 'নক্শা', 'নক্\u200cশা', 'নকিয়া', 'নাজা', 'নাসিক']
['ঘৃত', 'আড়ত', 'ঘেরা', 'আবরিত', 'বেষ্টিত', 'মোড়া', 'বৃত', 'প্রতিষ্টিত', 'মোড়ানো', 'অলংকৃত']
['ব্যাঘ্র', 'দৈৰ্ঘ্য', 'ব্যাসার্ধ', 'অর্ঘ', 'ব্যাপী', 'দৈর্ঘ', 'দৈর্ঘের', 'ব্যাস্ত', 'প্রস্থ', 'দ্রাঘিমাংশ']
['শৃগাল', 'খড়গ', 'খড়গ', 'গড়াল', 'কৃষাঙ্গ', 'শৃঙ্গ', 'খরখগ', 'মীড়', 'কড়চা', 'সরাল']
['হস্তী', 'হস্ত', 'হস্তের', 'হাত্তি', 'হস্তীর', 'হাতলটি', 'হাত', 'হাতুড়', 'হাতেখড়ি', 'হাতার']
['পক্ষী', 'পক্ষীর', 'পাখীর', 'পাখী', 'পক্ষল', 'পক্ষিবিশেষ', 'উদগির', 'পোষার', 'পোষ্য', 'জন্তুর']
['মৎস্য', 'মৎস্যের', 'মৎস্যজাত', 'মৎস্যপুরাণ', 'মৎস্যসম্পদ', 'মৎস্যচাষ', 'মাছ', 'মাছুদ', 'মাছই', 'মাছেরা']
['অগ্নি', 'আগুন', 'অগ্নির', 'আগুনের', 'আগুনটা', 'আগুনই', 'অগ্নিগড়', 'অগ্নিকান্ড', 'অগ্নিবাণ', 'অগ্নিকুন্ড']
['বুড়া', 'বুড়া', 'বুড়ো', 'বুড়োর', 'বুড়ি', 'বুড়ো', 'বুড়ি', 'বুড়ো', 'বৃদ্ধ', 'বুড়োদের']
['সুতা', 'সুত', 'সুতি', 'সুতো', 'সুতির', 'সুট', 'সুতোর', 'সুতাকে', 'সুতোয়', 'সুতোয়']
['চন্দ্র', 'চন্দ্রের', 'চন্দ্রচূড়', 'চন্দ্রকে', 'চাঁদ', 'চাঁদের', 'চন্দ্রচূড়', 'চাঁদর', 'চন্দ্রও', 'চন্দ্রভাগা']
['জুতা', 'জুতাই', 'জুতো', 'জুতার', 'জুতায়', 'জুতাও', 'জুতাকে', 'জুতোর', 'জুতাপেটা', 'জুতাটি']
['পূজা', 'পূজাই', 'পূজার', 'পূজাও', 'পূজাকে', 'পূজো', 'উপাসনা', 'পূজার্চনা', 'পূজার্চনার', 'পূজায়']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যৈষ্ঠ', 'জ্যোতির', 'আলোনসো', 'জ্যৈষ্ঠের', 'জ্যোতিরাও', 'আলোন্\u200cজো', 'আলোঞ্জো']
['পুরোহিত', 'পুরোহিতের', 'পুরোহিতকে', 'ধর্মপিতা', 'পুরোহিতরা', 'পুরোহিতেরা', 'পুরোধা', 'পুরোহিতদের', 'পুরোহিতগণের', 'ধর্মপুত্র']
['শুকনো', 'শুষ্ক', 'শুকিয়ে', 'শুকিয়ে', 'শুকানো', 'শুকলা', 'শুক্ল', 'শুকনা', 'শুকর', 'শুকরান']
['বন্য', 'বন্যপ্রাণ', 'বন্যজীব', 'বন্যপ্রাণের', 'বন্যপ্রাণীর', 'বন্যপ্রাণী', 'বন্যপ্ৰাণী', 'বন্যজীবনের', 'বন্যপ্রাণীদের', 'বন্যজীবন']
['হস্ত', 'হাত', 'হস্তের', 'হাতই', 'হাতকে', 'হাতলটি', 'হস্তে', 'হাতটা', 'হাতটাই', 'হাতের']
['নাসিকা', 'নাকা', 'নক্সাই', 'নেসকো', 'নাৎসিরা', 'নক্শা', 'নক্\u200cশা', 'নাশিকে', 'নিকা', 'নাকো']
['ঘৃত', 'আবরিত', 'মোড়ানো', 'আড়ত', 'ঘেরা', 'অলংকৃত', 'পর্যস্ত', 'উদ্ধত', 'বৃত', 'উপলদ্ধ']
['ব্যাঘ্র', 'ব্যাপী', 'দৈৰ্ঘ্য', 'অর্ঘ', 'দৈর্ঘ', 'ব্যাপি', 'দৈর্ঘের', 'ব্যাসার্ধ', 'সূদীর্ঘ', 'প্রস্থ']
['শৃগাল', 'তুল', 'তুলোঁ', 'তুয়ল', 'তুলো', 'তরিকাগুলো', 'তিরল', 'ত্শুল', 'শৃঙ্গ', 'তুলট']
['হস্ত', 'হস্তী', 'হস্তের', 'হাতলটি', 'হস্তীর', 'হাত', 'হাতুড়', 'হাতল', 'হাতই', 'হস্তে']
['পক্ষী', 'পক্ষীর', 'পক্ষল', 'অন্তু', 'উদগির', 'পক্ষিবিশেষ', 'পাখীর', 'আর্তুর', 'পাখী', 'জন্তুর']
['মৎস্য', 'মৎস্যের', 'মৎস্যজাত', 'মাছ', 'মাছেরা', 'মাছের', 'মাছই', 'মাছুদ', 'মাছঘাটের', 'মাছেদের']
['অগ্নি', 'আগুন', 'অগ্নির', 'আগুনের', 'অগ্নিগড়', 'অগ্নিকে', 'আগুনটা', 'আগুনকে', 'আগুনই', 'অগ্নিকুন্ড']
['বুড়ো', 'বুড়া', 'বুড়োর', 'বুড়ো', 'বুড়া', 'বৃদ্ধ', 'বয়স্কা', 'বয়স্ক', 'বুড়োদের', 'বুড়োর']
['তুলোঁ', 'তুলো', 'তুল', 'তুলোট', 'সুট', 'সুতি', 'সুত', 'তুলট', 'তুলু', 'সুতা']
['চন্দ্র', 'চন্দ্রচূড়', 'চন্দ্রও', 'চন্দ্রের', 'চন্দ্রচূড়', 'চন্দ্রকে', 'চন্দ্রোদয়', 'চন্দ্রপ্রভ', 'চন্দ্রধর', 'চন্দ্রভাগা']
['জুতা', 'জুতো', 'জুতার', 'জুতাই', 'জুতাপেটা', 'জুতাও', 'জুতোর', 'জুতাকে', 'জুতায়', 'জুতাটি']
['তুলা', 'তুলাই', 'তুলার', 'তুলাধোনা', 'তুলাবরম', 'তুলাতুলি', 'কুলা', 'খুলা', 'তুলায়', 'তুলায়হার']
['জ্যোৎস্না', 'জ্যোৎস্নার', 'জ্যোতি', 'জ্যোতির', 'জ্যোতিরাও', 'জ্যুড', 'জ্যোতিভূষণ', 'জ্যোতির্লিঙ্গ', 'জ্যোতিষ্ক', 'জ্যোতিশ্চক্র']
