['তিনি', 'তি\u200cনি', 'সে', 'ő', 'তিনিই', 'উনি', 'তিনি৷', 'وَإِنَّهُ', 'তাঁর', 'ওঁর']
['', '', '', '', '', '', '', '', '', '']
['তাহাকে', 'তাকে', 'উনাকে', 'ওনাকে', 'তাঁকে', 'ওঁকে', 'তারই', 'তাহার', 'إِلَيْهِ', 'সেটিকে']
['', '', '', '', '', '', '', '', '', '']
['তাহার', 'ওঁর', 'তাঁর', 'তাঁহার', 'তার', '\u200b\u200bতার', 'উনার', 'তারই', 'এঁর', 'ওর']
['তাহার', 'তাঁর', 'ওঁর', 'ওর', 'উনার', 'তারই', 'তার', '\u200b\u200bতার', 'এঁর', 'তাঁদের']
['যাহা', 'যা', 'যা\u200c', 'যি', 'যাহার', 'যায', 'ইহা', 'ইবা', 'ইয়া', 'যেটা']
['তাহা', 'তা', 'তাহাই', 'সেই', 'সেটা', 'ওটা', 'ওই', 'সেইটি', 'ঐটি', 'সেটার']
['', '', '', '', '', '', '', '', '', '']
['কেহ', 'কেঊ', 'কে', 'مَنْ', 'কারো', 'কাওকে', 'কেউকেউ', 'কেউবা', 'কারও', 'مَن']
['তাঁহারা', 'তঁরা', 'ওহারা', 'তাহারা', 'তাহারাই', 'সেগুলো', 'ওনারা', 'সেসকল', 'সেগুলা', 'ওঁরা']
['', '', '', '', '', '', '', '', '', '']
['তাহাকে', 'তাঁহাকে', 'ওনাকে', 'তাকে', 'তাকেঁ', 'উনাকে', 'ওঁকে', 'সেটার', 'তাহা', 'সেটাকে']
['', '', '', '', '', '', '', '', '', '']
['তাঁহার', 'তাঁঁর', 'তাহার', 'তাঁহাকে', 'তার', '\u200b\u200bতার', 'তাহাকে', 'তারই', 'ওঁর', 'তাঁহাদের']
['তাহার', 'ওর', 'তার', '\u200b\u200bতার', 'তারই', 'ওঁর', 'তাঁর', 'তাহাকে', 'উনার', 'তাঁহার']
['যাহা', 'জহা', 'যায', 'যাহার', 'জাহা', 'সেইয়া', 'জোহা', 'যি', 'যা', 'যা\u200c']
['তাহা', 'তা', 'তাহাই', 'সেই', 'সেইয়া', 'ওই', 'ওটা', 'ঐটি', 'সেটা', 'সেইটা']
['', '', '', '', '', '', '', '', '', '']
['কেহ', 'কেঊ', 'কে', 'কেয়া', 'কেও', 'কেই', 'কোনি', 'কেউকেউ', 'مَنْ', 'কো']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['তাঁহারা', 'তাহারা', 'ওহারা', 'তঁরা', 'ওঁরা', 'তাহারাই', 'ওনারা', 'তারা', 'এঁরা', 'উনারা']
['তিনি', 'তি\u200cনি', 'সে', 'ő', 'উনি', 'তিনিই', 'তাঁকে', 'তাকে', 'তাঁর', 'ওঁকে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
