['হইলাম', 'হয়েছি', 'হলাম', 'হয়েছি', 'হইলেন', 'হইল', 'হইলো', 'হয়েছিলাম', 'হয়েছির', 'হয়েছিলাম']
['করিবার', 'করার', 'করেতে', 'করবার', 'করতে', 'কর\u200cতে', 'কর\u200dতে', 'করায়', 'করাকে', 'করা']
['করিবার', 'করার', 'করেতে', 'করবার', 'করতে', 'কর\u200cতে', 'কর\u200dতে', 'করায়', 'করাকে', 'করা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'হইল', 'হইলো', 'হয়েছিলেন', 'হয়েছিলেন', 'হয়েল', 'হয়েছিলন', 'হইয়াছিলেন', 'হয়েছেন', 'হইলাম']
['হইল', 'হইলো', 'হইলেন', 'হয়েল', 'হয়েছিলেন', 'হইয়াছিলেন', 'হয়েছিলেন', 'হয়েছিলন', 'হয়েছেল', 'হয়েছল']
['হইয়া', 'হইয়া', 'হয়েই', 'হয়ে', 'হ\u200cয়ে', 'হয়েই', 'হয়ে', 'হ\u200cয়ে', 'হওয়ায়', 'হই']
['', '', '', '', '', '', '', '', '', '']
['করিলেন', 'করালেন', 'করলেন', 'করলো', 'করল', 'করিলো', 'করেছিলন', 'করিয়াছিলেন', 'করিয়েছিলেন', 'করলেনই']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'লাগল', 'লাগলো', 'লাগলেন', 'লাগতো', 'লেগেছিল', 'লেগেছিলেন', 'লেগেছিলো', 'লাগছিল', 'লাগত']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ছুটিয়ে', 'ছুটিকালীন', 'ছুটির', 'ছুটিতেও', 'বিশ্রামে', 'অবকাশযাপনের', 'ছুটিই', 'ছুটি', 'অবসরেই']
['আসিয়া', 'আসিয়া', 'আসিয়াকে', 'এসো', 'আসাই', 'আসায়', 'আসাটা', 'আসায়', 'আসা', 'আসাকে']
['করিবার', 'করবার', 'করাবার', 'করায়', 'করেতে', 'করাকে', 'করা', 'ক\u200cরা', 'করিতে', 'করার']
['করিবার', 'করবার', 'করাবার', 'করায়', 'করেতে', 'করাকে', 'করা', 'ক\u200cরা', 'করিতে', 'করার']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'হলাম', 'হলেন', 'হয়েছিলেন', 'হইলাম', 'হয়েছিলেন', 'হইল', 'হয়েছিলন', 'হয়েছি', 'হয়েছির']
['হইল', 'হইলেন', 'হইলো', 'হয়েছিলেন', 'হয়েছিলেন', 'হইছিল', 'হইলাম', 'হয়েছিলন', 'হয়েল', 'হইত']
['হইয়া', 'হইয়া', 'হয়েই', 'হয়ে', 'হ\u200cয়ে', 'হয়ে', 'হ\u200cয়ে', 'হই', 'হয়েই', 'হওয়ায়']
['', '', '', '', '', '', '', '', '', '']
['করিলেন', 'করালেন', 'করিলো', 'করলেন', 'করেছিলন', 'করিয়াছিলেন', 'করল', 'করিয়েছিলেন', 'করলো', 'করেছন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'লাগল', 'লাগলো', 'লাগতো', 'লাগলেন', 'লাগছিল', 'লাগত', 'লাগলাম', 'লেগেছিল', 'লেগেছিলেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ছুটিয়ে', 'ছুটিকালীন', 'ছুটির', 'ছুটি', 'ছুটিতেও', 'বিশ্রামে', 'ছুটিই', 'অবকাশকালীন', 'অবকাশযাপনের']
['আসিয়া', 'আসিয়া', 'আসিয়াকে', 'এসো', 'আসায়', 'আসাই', 'আসাটা', 'আসাকে', 'আসায়', 'আসির']
['হইলাম', 'হলাম', 'হয়েছি', 'হয়েছিলাম', 'হইলেন', 'হয়েছি', 'হয়েছিলাম', 'হয়েছির', 'হইল', 'হইলো']
['করবার', 'করিবার', 'করাবার', 'করবা', 'করাকে', 'করায়', 'করেতে', 'করার', 'করা', 'ক\u200cরা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'হইল', 'হয়েছিলন', 'হয়েছিলেন', 'হইলো', 'হইয়াছিলেন', 'হয়েছিলেন', 'হয়েল', 'হইলাম', 'হয়ছিলেন']
['হইল', 'হইলো', 'হইলেন', 'হয়েল', 'হয়েছিলন', 'হইছিল', 'হয়েছিলেন', 'হইয়াছিলেন', 'হয়েছিলেন', 'হয়েছিল']
['হইয়া', 'হইয়া', 'হয়েই', 'হয়েই', 'হওয়ায়', 'হইয়ে', 'হয়ে', 'হ\u200cয়ে', 'হইয়াও', 'হয়ে']
['', '', '', '', '', '', '', '', '', '']
['করিলেন', 'করালেন', 'করলেন', 'করল', 'করেছিলন', 'করিলো', 'করলো', 'করিয়াছিলেন', 'করলেনই', 'করিয়েছিলেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'লাগল', 'লাগলো', 'লাগতো', 'লাগলেন', 'লাগত', 'লেগেছিলেন', 'লাগছিল', 'লেগেছিল', 'লেগেছিলো']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ছুটিয়ে', 'ছুটিকালীন', 'ছুটির', 'ছুটিই', 'ছুটি', 'ছুটিটা', 'বিশ্রামে', 'ছুটিতেও', 'অবকাশযাপনের']
['আসিয়া', 'আসিয়া', 'আসিয়াকে', 'আসায়', 'আসায়', 'আসাটা', 'আসাকে', 'এসো', 'আসাই', 'এসেই']
['হইলাম', 'হয়েছি', 'হলাম', 'হয়েছি', 'হইলেন', 'হইলো', 'হয়েছিলাম', 'হইল', 'হয়েছিলাম', 'হয়েছিলেন']
['করার', 'করতে', 'কর\u200cতে', 'কর\u200dতে', 'করেতে', 'করায়', 'করা', 'ক\u200cরা', 'করাকে', 'করিতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হইলেন', 'হইল', 'হইলো', 'হইয়াছিলেন', 'হয়েছিলন', 'হয়েছিলেন', 'হয়েছিলেন', 'হয়েল', 'হয়েছেন', 'হয়ছিলেন']
['হইল', 'হইলো', 'হয়েল', 'হইলেন', 'হয়েছে', 'হ\u200cয়ে\u200cছে', 'হইয়াছিলেন', 'হইছিল', 'হয়েছেল', 'হয়েছিল']
['হইয়া', 'হইয়া', 'হয়েই', 'হয়ে', 'হ\u200cয়ে', 'হয়েই', 'হওয়ায়', 'হয়ে', 'হ\u200cয়ে', 'হইয়ে']
['', '', '', '', '', '', '', '', '', '']
['করলেন', 'করালেন', 'করিলেন', 'করলো', 'করেছিলন', 'করিয়াছিলেন', 'করেছিলেন', 'করল', 'করলেনই', 'করিয়াছেন']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['লাগিল', 'লাগলো', 'লাগল', 'লাগলেন', 'লাগতো', 'লেগেছিল', 'লাগছিল', 'লাগত', 'লেগেছিলেন', 'লেগেছিলো']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'ছুটিয়ে', 'ছুটিকালীন', 'ছুটির', 'ছুটিটা', 'ছুটিতেও', 'বিশ্রামে', 'ছুটিই', 'ছুটি', 'অবকাশে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['আসিয়া', 'আসিয়া', 'আসিয়াকে', 'এসো', 'আসাটা', 'আসায়', 'আসায়', 'আসির', 'আসা', 'আসাকে']
['হলেন', 'হলাম', 'হয়েছি', 'হইলাম', 'হয়েছির', 'হয়েছি', 'হয়েছিলাম', 'ছিলাম', 'হয়েছিলাম', 'হইলেন']
['করিবার', 'করবার', 'করায়', 'করা', 'ক\u200cরা', 'করাকে', 'করেতে', 'করার', 'করিতে', 'করতে']
['করিবার', 'করবার', 'করায়', 'করা', 'ক\u200cরা', 'করাকে', 'করেতে', 'করার', 'করিতে', 'করতে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
