['সক্ষম', 'সকর্মক', 'সক্ষমতায়', 'সক্ষমতায়', 'সক্ষমতাও', 'সামর্থ্যই', 'অক্ষ', 'সামর্থ্যে', 'ক্ষমতাই', 'সক্ষমতার']
['সকর্মক', 'গুঠিয়া', 'বেষ্ট', 'প্রস্থ', 'ব্যবস্হা', 'উৎকণ্ঠা', 'করযোগ্য', 'বেঠিক', 'প্রশস্থ', 'সেবাদান']
['সকর্মক', 'বেষ্ট', 'শ্রেষ্ট', 'অক্ষ', 'সরহপাদ', 'প্রশস্থ', 'সূক্ষ্মতর', 'যথাসাধ্য', 'করযোগ্য', 'একাগ্র']
['প্রস্থ', 'সকর্মক', 'তাৎপর্য্য', 'সম্যক', 'সাম্যর', 'ব্যবস্হা', 'অনুকূল', 'তাৎপর্য', 'সূক্ষ্মতর', 'সূক্ষ্মতা']
['অনুরাগ', 'আজ্ঞা', 'অনুরাগী', 'অনুরাগের', 'সকর্মক', 'সক্ষম', 'অনুরাসিরি', 'সদিচ্ছার', 'সম্মতিদান', 'উতকৃষ্ট']
['অহিংস', 'সকর্মক', 'এযাবৎকালের', 'এযাবৎকাল', 'উৎকণ্ঠার', 'উৎকণ্ঠায়', 'গুণিতক', 'খুৎবা', 'অাধুনিক', 'গুড়ির']
['আলস্য', 'সাব্যস্ত', 'ব্যবস্হা', 'সাহল', 'সাজে', 'সাবস্থ', 'সাহাকে', 'সাজালে', 'স্তাদ', 'সোহেল']
['সকর্মক', 'আসক্ত', 'সক্ষম', 'উতকৃষ্ট', 'সূক্ষ্মতর', 'একাগ্র', 'বেষ্ট', 'কেষ্ট', 'শনাক্ত', 'সেবাকাজে']
['সকর্মক', 'আস্তিক', 'করযোগ্য', 'স্বাগতিক', 'একাগ্র', 'সাবস্থ', 'সেবাদান', 'জয়শূন্য', 'সাব্যস্ত', 'সজ্জন']
['ইতর', 'এগোবে', 'সম্বিত', 'গুণ', 'সম্বব', 'কেষ্ট', 'ইতে', 'ইতি', 'এছায়', 'বেষ্ট']
['উচ্চ', 'স্বার', 'স্তাদ', 'সর্বোচ্চ', 'সর্বোচ্চ', 'গুড়', 'উচ্চে', 'স্গ্যু', 'সর্বোচ', 'সাব্যস্ত']
