['অলীক', 'ভক্ষ্য', 'অলঙ্কৃতা', 'উল্লুক', 'ভবিষ্য', 'ভবিষ্যৎ', 'উল্লেখজনক', 'ভবপ্রীতানন্দ', 'অভেদ্য', 'ফলশ্রুতি']
['আকর্ষণের', 'আকর্ষণ', 'আকর্ষণকে', 'আকর্ষনের', 'আকর্ষণী', 'আকর্ষন', 'আকর্ষণে', 'আকর্ষণই', 'আকর্ষণস্থল', 'আকর্ষনে']
['আগমন', 'আগমণ', 'আগমণের', 'আগমনকে', 'আগমনের', 'আগোত', 'আগমনে', 'আগায়', 'আগমের', 'আগমনী']
['আজ', 'আজকে', 'আজকের', 'এদিন', 'আজকেও', 'আজকাল', 'আজই', 'আজকালের', 'ভবিষ্যৎ', 'আজকেরটি']
['আদি', 'আদা', 'আদব', 'আদৌ', 'আদী', 'আদির', 'অ্যাওয়ে', 'আদিতে', 'আদমি', 'আদাব']
['আবশ্যক', 'ভবিষ্যৎ', 'নিশ্চয়তার', 'ভব্যতা', 'ভবিষ্য', 'পন্থায়', 'আশেকের', 'উদেশ্য', 'নিশ্চিন্তপুর', 'নিশ্চয়তা']
['আরোহন', 'পন্থায়', 'ভবানন্দ', 'ভানুয়াটু', 'ভবিষ্যৎ', 'আরোহনের', 'ভবিষ্য', 'আনয়ণ', 'আশনা', 'আসন্নায়ন']
['আলো', 'আলোর', 'আকাবাদ', 'আলোচ্য', 'আলোটা', 'আলোয়', 'আলোয়াখোয়া', 'আলোচ্যসূচির', 'আলোও', 'আলোকের']
['আশীর্বাদ', 'আশীর্বাদের', 'আশীর্বাদধন্য', 'আশীর্বাদে', 'আশীর্বাদস্বরূপ', 'আশীর্বাদও', 'করুণাময়', 'করুণায়', 'প্রশংসায়', 'প্রশংসায়']
['ইচ্ছুক', 'ইচ্ছার', 'ইচ্ছাপত্র', 'তন্ময়ের', 'ভবিষ্য', 'ভবপ্রীতানন্দ', 'ভবিষ্যৎ', 'ইচ্ছের', 'ইচ্ছাশক্তির', 'ইচ্ছাশক্তি']
['ভবিষ্যৎ', 'পরকাল', 'ইহকাল', 'ভবিষ্য', 'ভবিষ্যৎকে', 'ভবিষ্যত', 'আখেরাত', 'পরকালীন', 'পরকালের', 'সপ্রাণ']
['উত্তরও', 'উত্তর', 'উত্তরখান', 'উত্তরই', 'উত্তরোত্তর', 'উত্তরটা', 'উত্তরেও', 'উত্তরকাণ্ড', 'উত্তরণ', 'উত্তরকে']
['', '', '', '', '', '', '', '', '', '']
['উত্থান', 'উত্থানের', 'উত্থানকে', 'উঠিয়া', 'উতপন্ন', 'উদ্বার', 'উত্তোলন', 'উত্সবে', 'উত্ত', 'উত্স']
['উদয়', 'উদয়ের', 'উদয়ন', 'ভবিষ্য', 'উদেশ্য', 'দাড়িয়া', 'ভেদে', 'الْأَرْضَ', 'দ্ধারা', 'দাওয়া']
['ভবপ্রীতানন্দ', 'প্রশান্তকে', 'অতিবৃষ্টি', 'প্রত্নবস্তু', 'প্রত্নবস্তুর', 'অভিপ্রায়', 'প্রশান্তি', 'অভিপ্রায়', 'প্রজ্বলন', 'প্রত্নপ্রস্তর']
['উজান', 'উজানের', 'উসমান', 'উজানে', 'উসাইন', 'উগয়েন', 'ওশেন', 'উসেইন', 'উসমানের', 'উজানির']
['উৎরাই', 'ভবিষ্যৎ', 'ভবিষ্য', 'অগ্র', 'উদেশ্য', 'আদায়', 'ভবিষ্যৎটা', 'উদ্দিপনা', 'দ্রব্যের', 'উপায়ের']
['উত্তীর্ণ', 'ভবিষ্য', 'ভবপ্রীতানন্দ', 'ভবিষ্যৎ', 'প্রত্নবস্তুর', 'উত্তীর্ন', 'প্রত্নপ্রস্তর', 'ভক্ষ্য', 'প্রত্নবস্তু', 'দ্যোতক']
['', '', '', '', '', '', '', '', '', '']
['ঊষা', 'ভানুয়াটু', 'আশনা', 'ভেদ্যতা', 'তুণ্ড', 'দ্যু', 'পাবনায়', 'উদেশ্য', 'খওয়া', 'মুত্যু']
['একাল', 'ভবিষ্যৎ', 'ভবিষ্য', 'ভবিষ্যৎটা', 'উদেশ্য', 'সপ্রাণ', 'ভবিষ্যৎকে', 'পন্থায়', 'একালের', 'ভব্যতা']
['', '', '', '', '', '', '', '', '', '']
