['চাচা', 'চাচাকে', 'আংকেল', 'আঙ্কল', 'নানু', 'আঙ্কর', 'আঙ্কেল', 'চাচাতো', 'মামা', 'মা']
['দাদা', 'দাদী', 'দাদীর', 'দাদি', 'দাদু', 'দাদার', 'দাদন', 'দাদির', 'মা', 'দাদাকে']
['', '', '', '', '', '', '', '', '', '']
['নানা', 'নানি', 'নাইনা', 'নিনা', 'নাজনা', 'য়ানা', 'নুনা', 'এনা', 'নানু', 'নিয়া']
['জেলে', 'জেলেই', 'কারাগারে', 'জেলখানায়', 'কারাদন্ডে', 'জেলখানায়', 'কারাদণ্ডে', 'জেলহাজতে', 'জেলের', 'কারাগারটিতে']
['ধোপা', 'মাতলা', 'মুকরী', 'মাখা', 'মাদারণ', 'মজ্জা', 'ধাঁচ', 'দৌল', 'ধুলিহর', 'মণিমালা']
['বেদে', 'ছেদে', 'মদে', 'মাইহারে', 'বেদই', 'মেয়াদে', 'মেয়াদেই', 'মিতেরাঁর', 'ওলামায়ে', 'সরণে']
['গুরু', 'মেঘলা', 'গুরা', 'ছহুল', 'গুনা', 'গোয়া', 'মাইহারে', 'গুরো', 'খানা', 'গয়া']
['ছেলে', 'ছেল', 'ছেলেরে', 'ছেলেমেয়ে', 'ছেলেই', 'ছেলেমেয়েকে', 'ছেলের', 'ছেলেমেয়ের', 'ছেলেকে', 'মেয়ে']
['বর', 'মাইহারে', 'মাতে', 'যমের', 'ভোলা', 'তরলা', 'ছিতা', 'মেদের', 'হটা', 'রণে']
['বাদশা', 'বাদশাকে', 'বাদশাহী', 'বাদশাহো', 'বাদীকে', 'বাদশাহকে', 'উপাসনা', 'উপাসনাকে', 'বাদশাহ', 'শৈবধর্ম']
['কাঙ্গাল', 'কাঙ্গালিনী', 'কাঞ্চনমালা', 'কোংকা', 'কাঞ্চী', 'কাঞ্চীর', 'কঙ্কালীতলা', 'করেঙ্গাতলী', 'কাঞ্চন', 'কুঞ্জলাল']
['বাঘ', 'বাঘে', 'বাঘের', 'তাঁতির', 'দুধঘাটা', 'বাঘায়', 'বাঘও', 'বাঘী', 'বাঘি', 'বাঘকে']
['যোগী', 'যোগিতা', 'যোগদা', 'যোগীর', 'যোগীকে', 'যোগিনী', 'যোগজ', 'সহযোগিতা', 'যোগি', 'যোগকে']
['তেজস্বী', 'মমতাই', 'তেজস্বীর', 'তেমুহনী', 'তিতুমীর', 'মণিমালা', 'সুগতাকুমারী', 'মান্যখেত', 'ধ্রুবমাতা', 'যশস্বী']
['কিশোর', 'কিশোরীর', 'কিশোরের', 'মায়িশা', 'কিশোরী', 'কিশোরীকে', 'কিশোরীটির', 'কিশোরী', 'মেচী', 'কিশোরকে']
['নর', 'নার', 'নির', 'নুর', 'নাইরে', 'নুরে', 'নাইর', 'নিরেন', 'নরা', 'নারি']
['সুন্দর', 'সুন্দরম', 'সুন্দরী', 'সুন্দরি', 'সুন্দরতম', 'সুন্দরীর', 'সুম্মা', 'সুদর্শন', 'সৌন্দর্যই', 'সুন্দরীতমা']
['মগনামা', 'গুণবান', 'মণিমালা', 'মধুরিমা', 'গুণতিলকা', 'গুরুমাতা', 'শালবনী', 'মেচতা', 'গুণবতী', 'ইমানুল']
