['গরিবি', 'গরীবুল্লাহ', 'গরিবপুরের', 'গরিবের', 'গ্রীব', 'গেরী', 'গরিবপুর', 'গরিবুল্লাহ', 'সবুজবাগের', 'বাগদাদীর']
['ব্যাংককের', 'ব্যাংকক', 'ব্যাংককে', 'ব্যাংকারকে', 'ব্যাংকককে', 'ব্যাংকেরই', 'ব্যাংকসের', 'ব্যাংকিংয়ের', 'ব্যাংকের', 'ব্যাঙ্গ']
['বেইজিং', 'বেইজিংয়ের', 'বেইজিংকে', 'বেইজিংয়ের', 'বেইজিংয়ে', 'বেইজিংয়ে', 'গ্রীব', 'গরিবি', 'গরীবুল্লাহ', 'গ্রিল']
['বার্লির', 'বার্লিন', 'গ্রীসকে', 'গ্রিলের', 'গ্রিল', 'গ্রীসের', 'গ্রীসে', 'বার্লিনের', 'গ্রীব', 'গ্রীস']
['গ্রীব', 'গ্রিল', 'বার্গের', 'গ্রীসের', 'গ্রিলের', 'বার্গ', 'বার্ন', 'বেরির', 'ব্রন', 'গ্রীস']
['কায়রো', 'গ্রিলের', 'কায়রো', 'কায়রোয়', 'গ্রিলে', 'গুরেইরো', 'গ্রিলির', 'গেরি', 'গেরী', 'গ্রীলে']
['ক্যানবেরা', 'গ্রীকদের', 'গ্রিকদের', 'গ্রিকরা', 'গ্রীব', 'গ্রীকের', 'গ্রীকরা', 'গ্রিগস', 'গরুমারা', 'গ্রিলের']
['গ্রিল', 'গেরী', 'হ্যানয়ে', 'হ্যানয়', 'হ্যানরি', 'গ্রিস', 'গ্রিসে', 'গেরি', 'হ্যানয়ের', 'গ্রহি']
['হাভানা', 'ঘাউরা', 'হাফেজা', 'গ্রিল', 'হুরাইয়া', 'গ্রিলের', 'হারদা', 'হাওলা', 'হাফিজা', 'হারলা']
['হেলসিঙ্কি', 'হেলসিঙ্কির', 'হেলসিঙ্কিতে', 'হেলসিংকি', 'হেলসিংকির', 'গ্রিলসের', 'গ্রিলসকে', 'গেরী', 'গ্রিলি', 'হেলসিংকিতে']
['ইসলামাবাদের', 'ইসলামাবাদ', 'ইসলামবাগের', 'ইসলামাবাদে', 'ইসলামবাদী', 'ইসলামাবাদী', 'ইসলামবাদের', 'ইসলামবাগ', 'ইসলামপুরে', 'ইসলামপুরের']
['কাবুল', 'কাবুলের', 'গরিবুল্লাহ', 'কাবিল', 'কাবিলের', 'কাবুলি', 'কাবুলী', 'কাবুলে', 'কাবিলা', 'গ্রীবা']
