['দুইবেলা', 'দুই', 'দুইশো', 'দুজন', 'দুইতলা', 'দুটার', 'দুইটা', 'দুটোরই', 'দুটিও', 'দুইট']
['তিন', 'তিনখানা', 'তিনতলা', 'তিনমাথা', 'পহেলা', 'সন্ধা', 'তিনে', 'ছয়তলা', 'তারবেলা', 'তিনখানি']
['চার', 'চারমাথা', 'চারমগজ', 'পাঁচতলা', 'চতুর্ভূজা', 'চতুর্দশ', 'চারী', 'চারগুন', 'আগারকারের', 'চতুর্ভুজা']
['পাঁচ', 'পাঁচগুণ', 'পাঁচবাগ', 'পাঁচরুখী', 'পাঁচের', 'পাঁজি', 'পাঁচবাড়িয়া', 'পাঁচশ', 'পাঁচকুলা', 'পাঁচগ্রাম']
['ছয়', 'ছলনায়', 'পহেলা', 'ছলে', 'ছাওয়া', 'শবলা', 'পাঁচলা', 'পাতলা', 'পরিখা', 'ছেয়ে']
['সাত', 'সাততলা', 'সাততলায়', 'পাচ্য', 'সাতনা', 'পাতিহাঁস', 'পাঁচলাইশ', 'সাতমাথা', 'সাহিবে', 'সাঁটা']
['আট', 'আটবছর', 'আটশ', 'আটখানা', 'পহেলা', 'আটবার', 'ছট', 'পাঁচলা', 'শাখা', 'পয়লা']
['নয়', 'না', 'নি', 'ননি', 'হয়নি', 'নও', 'হয়না', 'হননি', 'হইনি', 'হতোনা']
['দশ', 'দশমে', 'দশজনকে', 'দশজন', 'দশটায়', 'দশমী', 'দশমীর', 'দশটা', 'দশমিকের', 'দশগুন']
['এগারো', 'পহেলা', 'পহেলিগাঁও', 'পয়লা', 'উপজেলা', 'পরাগায়ন', 'পালশা', 'শবলা', 'পরিপালন', 'পীরগাছা']
['পহেলা', 'বারো', 'পয়লা', 'বারতা', 'বারও', 'বারখা', 'পাতলা', 'পেহলা', 'পূবালী', 'বারদা']
['তেরো', 'তেরচা', 'পহেলা', 'তরলা', 'তারাতলা', 'তারবেলা', 'ভোলা', 'তালুর', 'পয়লা', 'তালাবা']
['চৌদ্দ', 'চৌধুরীপাড়া', 'চৌরাস্তা', 'শবরপাদ', 'শবরীমালা', 'শিগেলা', 'চৌগাছা', 'চাডঢা', 'চণ্ডীগড়', 'পহেলা']
['পনেরো', 'পিনহোল', 'পেনাল', 'পনেরোর', 'পিনেরা', 'পিংলা', 'পনের', 'পনেরোটি', 'পনিরের', 'পিনোচে']
['ষোল', 'পহেলা', 'পালশা', 'ভোলা', 'হাবলা', 'পোষা', 'ষোলজন', 'পোঁতা', 'পয়লা', 'ফেলা']
['সতেরো', 'পহেলা', 'তমালতলা', 'পূজালী', 'শবলা', 'তালশহর', 'সাপখেলা', 'তালবাড়িয়া', 'সতের', 'তেবাড়িয়া']
['আঠারো', 'আঠারো', 'আঠারখাদা', 'ভাটিপাড়া', 'পহেলা', 'তৈরীতে', 'উপজেলাতে', 'আঠারোর', 'আঠেরো', 'পুঠিয়ার']
['উনিশ', 'পহেলা', 'উপনিবেশ', 'রূপেশ', 'উলবেড়িয়া', 'উমিচাঁদ', 'পূবালী', 'পাঁচলা', 'তিলিহাঁস', 'তেজগাঁও']
['বিশ', 'পহেলা', 'বিশদে', 'বিসদৃশ', 'পাঁচলাইশ', 'পাঁচলা', 'বিশে', 'পাতিহাঁস', 'বটতলা', 'ভাসা']
['পহেলা', 'পালশা', 'পরচা', 'শিগেলা', 'ভাসা', 'পাদুকা', 'পলাশ', 'শবলা', 'পরশু', 'শুকলা']
['বাইশ', 'পহেলা', 'বাঁশতলা', 'পিচঢালা', 'পালশা', 'পামেলা', 'বাবলাতলা', 'পিলাত', 'বাইশে', 'পাচঁবার']
['তেজগাঁও', 'তপেশ', 'পহেলা', 'তেইশ', 'তিলিহাঁস', 'রূপেশ', 'তেমাথা', 'শবলা', 'অধঃপতিত', 'অল্পেশ']
['দামুড়হুদা', 'দামুড়হুদায়', 'পিচঢালা', 'পল্লবিত', 'চৌচালা', 'গৎবাঁধা', 'চব্বিশ', 'সাপখেলা', 'বেচেয়া', 'পীড়া']
['পঁচিশ', 'পঁচিশের', 'পাঁজা', 'পাঁচগাঁও', 'পাঁচথুপি', 'পাঁচতলা', 'পীযুষ', 'পাঁচে', 'পাঁচপীর', 'পাঁচলাইশ']
['ছাব্বিশ', 'পহেলা', 'পালশা', 'ছাব্বিশে', 'পাশুপত', 'পাচঁবার', 'সাপখেলা', 'হাপিত্যেশ', 'পিলাত', 'বেখাপ্পা']
['সাতাশ', 'সাবেলা', 'শৈলজা', 'সাঁওতাল', 'সাদাত', 'সাঁওতালী', 'সাবিতা', 'সাবেত', 'সাজাতে', 'সাদাসিধে']
['আটাশ', 'তপেশ', 'পহেলা', 'পলাশ', 'পদচ্যূত', 'পরচা', 'শৈলজা', 'শবলা', 'তেঁতুলিয়া', 'আটিলা']
['ঊনত্রিশ', 'ঊনত্রিশটি', 'সপ্তসিন্ধু', 'তিনশোর্ধ্ব', 'সপ্তডিঙ্গা', 'সপ্তশৃঙ্গ', 'সপ্তমাতৃকা', 'সপ্তগ্রামের', 'চতুর্বিংশ', 'তিনশো']
['ত্রিশ', 'ত্রিশলা', 'ত্রিশে', 'ত্রিশের', 'ছত্রিশ', 'পঁয়ত্রিশ', 'ত্রিফলা', 'ত্রিশা', 'বত্রিশ', 'ত্রিশতম']
['একত্রিশ', 'চতুর্ভূজা', 'তিনতলা', 'তিনতলায়', 'রচনাকাল', 'শতরূপা', 'শতপদী', 'পহেলা', 'অর্ধশতকের', 'অনূর্ধ']
['এক', 'একবুক', 'অঙ্কের', 'একনেকের', 'অঙ্কটা', 'একককে', 'একের', 'যশোরী', 'যোহনের', 'একজ']
['ত্রেতারা', 'ত্রেতা', 'তিনখানা', 'স্বরা', 'দোসরা', 'শৈবরা', 'তিয়েরা', 'নিশিন্দারা', 'তিন', 'ত্রিবেণীর']
['চার', 'আগারকারের', 'আগারকার', 'চতুর্ভুজের', 'দোসরা', 'চতুর্ভুজা', 'ত্রেতা', 'গথরা', 'চরদের', 'চার্বাক']
['পাঁচেকের', 'পাঁচগ্রাম', 'পাঁচ', 'পাঁচরুখী', 'পাঁচদোনায়', 'পাঁচকুলা', 'পাঁজি', 'পাঁচতারা', 'পঞ্চনগরী', 'পাঁচতারকা']
['ছয়', 'যোদ', 'স্বরা', 'শুয়ন', 'সাড়ি', 'ত্রেতা', 'সাড়া', 'ত্রয়', 'শাড়ি', 'শুয়ে']
