['তুমি', 'আমরা', 'আপনা', 'আপনি', 'আমারা', 'আপনারই', 'তোমাদের', 'আমাদেরই', 'তোমরা', 'আমাদের']
['সে', 'উনা', 'উনাই', 'তাঁর', 'সই', 'তিনি', 'আমাদের', 'আমারা', 'উনিই', 'আমরা']
['তিনি', 'উনাই', 'আমরা', 'তিনিই', 'উনিই', 'আমারা', 'আমরাই', 'তাঁরা', 'আমাদেরই', 'তারাই']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষককে', 'শিক্ষিকার', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষাদর্শন']
['মাঝি', 'মাঝেই', 'মাখজুমি', 'মাঝামাঝি', 'ব্ঝি', 'মাগসি', 'মজলিশ', 'মণি', 'মাশি', 'মাউশি']
['ছাত্র', 'ছাত্রদের', 'ছাত্ররা', 'ছাত্রের', 'ছাত্রকে', 'ছাত্রীর', 'ছাত্রে', 'ছাত্রগণ', 'ছাত্রনেতাদের', 'ছাত্রছাত্রীর']
['ধনী', 'ধনীদের', 'ধনীরা', 'ধনীর', 'ধনদৌলত', 'সমৃদ্ধশালী', 'সমৃদ্ধ', 'ধনের', 'বড়লোক', 'ধনশালী']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইকে', 'ভাইয়া', 'ভাইয়ে', 'ভাইব', 'ভাইয়ের', 'ভাইপো', 'ভাইয়া']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষককে', 'শিক্ষিকার', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষাদর্শন']
['গরু', 'গরুর', 'গরুদের', 'গলদা', 'গজরা', 'গুরিরা', 'গরুকে', 'গহিরা', 'গুরু', 'গোরে']
['ছেলে', 'ছেল', 'ছেলেরে', 'ছেলের', 'ছেলেকে', 'ছেলেই', 'পুত্রা', 'পুত্রে', 'ছেলেমেয়েকে', 'ছেলেকেই']
['মেয়ে', 'মেয়ের', 'মেয়েকে', 'মেয়ে', 'মেয়েকে', 'স্ত্রী', 'মেয়েই', 'মেয়েও', 'পুত্রী', 'بنت']
['ভাই', 'ভাইও', 'ভাইবে', 'ভাইকে', 'ভাইয়া', 'ভাইয়ে', 'ভাইব', 'ভাইয়ের', 'ভাইপো', 'ভাইয়া']
['পাখি', 'পাখী', 'পাখতুন', 'পাখিতে', 'পাখিটি', 'পাখিকে', 'পাখা', 'পাখিও', 'পাখীদের', 'পাখিটা']
['সদস্য', 'সদস্যদের', 'সদস্যেদের', 'সদস্যগণ', 'সদস্যের', 'সদস্যদেশ', 'সদস্যে', 'সদস্যগন', 'সদস্যকে', 'সদস্যেরা']
['সচিব', 'সচিবের', 'শিবাজী', 'সভাকবি', 'উপসচিব', 'সচিবকে', 'বখশিশ', 'সিজদায়', 'শওকতের', 'শওকত']
['দর্শক', 'দর্শকের', 'দর্শকগন', 'দর্শকগণ', 'দর্শকদের', 'দর্শককে', 'পরিদর্শক', 'দর্শকরা', 'দর্শকেরা', 'দর্শকে']
['শিক্ষক', 'শিক্ষকগণের', 'শিক্ষকের', 'শিক্ষকদের', 'শিক্ষকগণ', 'শিক্ষককে', 'শিক্ষিকার', 'শিক্ষিকাদের', 'শিক্ষকরা', 'শিক্ষাদর্শন']
