['ঘরগুলির', 'ঘর', 'ঘরগুলি', 'বাড়িগুলো', 'বাড়িগুলি', 'বাড়িগুলো', 'ঘরগুলোর', 'বাড়িগুলোর', 'বাড়ীগুলো', 'বাড়িগুলির']
['ফুলগুলো', 'ফুলগুলি', 'ফুলেরা', 'ফুল', 'ফুলগুলোর', 'ফুলের', 'ফুলটি', 'ফুলকে', 'ফলগুলো', 'পদ্মফুল']
['গ্রন্থগুলি', 'গ্রন্থগুলিকে', 'গ্রন্থগুলির', 'গ্রন্থগুলো', 'গ্রন্থ', 'গ্রন্থের', 'গ্রন্থিগুলো', 'গ্রন্থগুলোর', 'গ্রন্থিগুলি', 'গ্রন্থখানি']
['বৃক্ষ', 'অনুকৃত', 'অপরাধীরা', 'পৃথক', 'কাফেরদেরকে', 'তারাসমূহ', 'অপরাধীরাই', 'কালীকৃষ্ণ', 'অণুজীব', 'অপসৃত']
['নিয়মগুলো', 'নিয়ম', 'নিয়মগুলো', 'নিয়মগুলোর', 'নিয়মের', 'বিধিগুলি', 'নিয়মই', 'নিয়মাবলি', 'নিয়মটির', 'নিয়মগুলি']
['রচনাগুলি', 'রচনাগুলো', 'রচনাগুলির', 'রচনাগুলোর', 'পরামিতিগুলো', 'পরামিতিগুলি', 'তরিকাগুলো', 'জলাধারগুলো', 'রোগগুলি', 'রণতরিগুলো']
['মেঘ', 'ছড়াগুলো', 'ধাতুগুলো', 'ধাতুগুলি', 'বাঁধগুলি', 'গুচ্ছগুলো', 'টুকরাগুলো', 'রংগুলো', 'ধাতুগুলোর', 'বিন্দুগুলো']
['পর্বতগুলি', 'পর্বতগুলো', 'পর্বতগুলির', 'পাহাড়গুলো', 'পর্বতসমূহ', 'পর্বত', 'পর্বতমালাগুলির', 'পর্বতগুলিতে', 'পর্বতচূড়া', 'পর্বতের']
['বইগুলি', 'বই', 'বইগুলোর', 'বইগুলোকে', 'বইসমূহ', 'বইগুলো', 'বইগুলির', 'বইগুলোতে', 'বইদের', 'বইগুলিতে']
['ফুলগুলি', 'ফুলগুলো', 'ফুলেরা', 'ফুল', 'ফুলের', 'ফুলগুলোর', 'ফুলকে', 'ফলগুলো', 'ফুলটি', 'ফলগুলোর']
['গ্রন্থগুলি', 'গ্রন্থ', 'গ্রন্থগুলিকে', 'গ্রন্থগুলো', 'গ্রন্থগুলির', 'গ্রন্থের', 'গ্রন্থগুলোর', 'গ্রন্থখানি', 'গ্রন্থগত', 'গ্রন্থকে']
