['আগে', 'আগেও', 'পূর্বেই', 'আগেরই', 'আগেই', 'আগের', 'আগলেই', 'পূর্বেও', 'পূর্বরূপ', 'পূর্বাভাসে']
['অদ্য', 'অভেদ', 'নদ্দা', 'অনুপ', 'পীড়া', 'শেকড়', 'সুতপা', 'বরকত', 'নৃত্য', 'ভাঁপা']
['সহিত', 'হিকমত', 'বখ্ত', 'সাহেবাবাদ', 'সততার', 'সারকথা', 'সতী', 'শরৎ', 'সততায়', 'সেঁত']
['দিয়া', 'ডাহা', 'দেলা', 'দোয়া', 'ডয়কা', 'দিদা', 'দেথা', 'দিয়', 'দেবলা', 'দিলা']
['অদ্যাপি', 'গহবর', 'শালদা', 'সুবাধে', 'নদ্দায়', 'আজন্ম', 'শালদিহা', 'মতুয়া', 'স্বারক', 'বহুধা']
['তথাপি', 'তাঁবু', 'তাপের', 'টিঁকে', 'তেমাথা', 'তুলোঁ', 'তাঁত', 'খুঁটি', 'তাকলা', 'তটরেখা']
['নতুবা', 'নতুর', 'নতুনের', 'নুহ', 'নগা', 'নহাটা', 'নত', 'নতুনকে', 'ইয়ুটা', 'নতুনতর']
['নতুবা', 'নতুর', 'নতুনের', 'নুহ', 'নগা', 'নহাটা', 'নত', 'নতুনকে', 'ইয়ুটা', 'নতুনতর']
['প্রায়শ', 'দেড়শ', 'প্রায়শই', 'আড়াইশ', 'শেভাগ', 'চিবিয়ে', 'শ্ৰেণীর', 'ঢেঁড়শ', 'শয়ে', 'চিদাম']
['যদ্যপি', 'গোর্খা', 'সরহপা', 'স্তুপটি', 'গুঁতো', 'যোধপুর', 'স্তবের', 'আপসালা', 'বস্ত', 'গুঁটি']
['', '', '', '', '', '', '', '', '', '']
['কিঞ্চিৎ', 'খানের', 'কুনহাল', 'কিংয়ের', 'খনিজের', 'খনিজে', 'চনক', 'কাইরাত', 'কেছিয়াং', 'খেয়াং']
['কিঞ্চিৎ', 'খানের', 'কুনহাল', 'কিংয়ের', 'খনিজের', 'খনিজে', 'চনক', 'কাইরাত', 'কেছিয়াং', 'খেয়াং']
['আগেই', 'আগে', 'আগেও', 'আগেরই', 'পূর্বে', 'পূর্বেই', 'পূর্বরূপ', 'পূর্বাভাসে', 'পূর্বেও', 'পূর্ববর্তি']
['অদ্য', 'অভেদ', 'নদ্দা', 'বরুড়া', 'বরইতলা', 'চৌকষ', 'বরাহী', 'বরকত', 'শালদা', 'পটকা']
['সহিত', 'বখ্ত', 'হিকমত', 'কথাসাহিত্যিক', 'সংবিৎ', 'শরৎ', 'সুচিত', 'সতত', 'সততার', 'সজনী']
['দিয়া', 'দামকে', 'দরিয়া', 'দিদা', 'দেলা', 'ডাহা', 'ডয়কা', 'দাশ', 'দায়া', 'দিলা']
['অদ্যাপি', 'নদ্দায়', 'বরুড়া', 'শালদা', 'শালদিহা', 'আরোপের', 'বরতমানে', 'বরইতলা', 'শালগম', 'বরুণ']
['তথাপি', 'তুতসি', 'খতরো', 'তটরেখা', 'হটাবে', 'হটবে', 'তাপের', 'তুলোঁ', 'চটে', 'আধেয়']
['নতুবা', 'নতুনের', 'নতুর', 'নতুনকে', 'নুহ', 'নত', 'নতি', 'নতুন', 'নহি', 'নতুনরা']
['নতুবা', 'নতুনের', 'নতুর', 'নতুনকে', 'নুহ', 'নত', 'নতি', 'নতুন', 'নহি', 'নতুনরা']
