['বাগদাদ', 'মিশর', 'সিরিয়া', 'আনাতোলিয়া', 'মেসোপটেমিয়া', 'পারস্য', 'বুখারা', 'খোরাসান', 'আলেপ্পো', 'বসরা']
['ব্যাংকক', 'তাইওয়ান', 'পেরু', 'গ্রিস', 'কম্বোডিয়া', 'মরিশাস', 'ইথিওপিয়া', 'ভেনেজুয়েলা', 'থাইল্যান্ড', 'মোজাম্বিক']
['বেইজিং', 'জিবুতি', 'গ্রিস', 'ইথিওপিয়া', 'তাইওয়ান', 'পেরু', 'সাইপ্রাস', 'কম্বোডিয়া', 'সিঙ্গাপুর', 'সাংহাই']
['বার্লিন', 'মস্কো', 'ব্রাসেলস', 'প্যারিস', 'সুইডেন', 'বার্লিনের', 'জার্মানি', 'ফ্রান্স', 'গ্রীস', 'জর্জিয়া']
['বার্ন', 'ফার্মাসিউটিক্যালস', 'টোবাকো', 'অয়েল', 'ফুডস', 'বেভারেজ', 'নাটকো', 'ফার্মাসিউটিক্যাল', 'রবার', 'ল্যাবরেটরিজ']
['কায়রো', 'গ্রিস', 'মেসোপটেমিয়া', 'লিবিয়া', 'রোম', 'আনাতোলিয়া', 'সিরিয়া', 'মিশর', 'ইথিওপিয়া', 'ইস্তানবুল']
['গ্রীস', 'ফিজি', 'মরিশাস', 'ইকুয়েডর', 'মোজাম্বিক', 'কোস্টারিকা', 'আইসল্যান্ড', 'কিরগিজস্তান', 'ভেনিজুয়েলা', 'ইরিত্রিয়া']
['গ্রিস', 'ইথিওপিয়া', 'ইরিত্রিয়া', 'আলজেরিয়া', 'কাজাখস্তান', 'ইকুয়েডর', 'মোজাম্বিক', 'ইউক্রেন', 'লিবিয়া', 'বুলগেরিয়া']
['গ্রিস', 'গ্রীস', 'আলজেরিয়া', 'লিবিয়া', 'সেনেগাল', 'ইরিত্রিয়া', 'ইথিওপিয়া', 'বুলগেরিয়া', 'ইকুয়েডর', 'অস্ট্রিয়া']
['গ্রিস', 'গ্রীস', 'বুলগেরিয়া', 'স্লোভাকিয়া', 'সার্বিয়া', 'আলজেরিয়া', 'বেলারুশ', 'ইউক্রেন', 'লিবিয়া', 'ইথিওপিয়া']
['ইসলামাবাদ', 'বাহরাইন', 'উজবেকিস্তান', 'ইরিত্রিয়া', 'আজারবাইজান', 'লিবিয়া', 'তাজিকিস্তান', 'সোমালিয়া', 'মালয়েশিয়া', 'সুদান']
['কাবুল', 'কান্দাহার', 'হেরাত', 'আলেপ্পো', 'বুখারা', 'আনাতোলিয়া', 'খোরাসান', 'আর্মেনিয়া', 'মিশর', 'গ্রিস']
['লন্ডন', 'প্যারিস', 'আমস্টারডাম', 'ব্রাসেলস', 'সুইডেন', 'কলম্বিয়া', 'জর্জিয়া', 'এডিনবার্গ', 'মস্কো', 'ইউরোপ']
['মাদ্রিদ', 'বার্সেলোনা', 'পর্তুগাল', 'স্পেন', 'রিয়াল', 'ব্রাজিল', 'নাপোলি', 'বেলজিয়াম', 'মাদ্রিদকে', 'আর্জেন্টিনা']
['মস্কো', 'গ্রিস', 'ব্রাসেলস', 'পোল্যান্ড', 'ইতালি', 'সুইডেন', 'ইউক্রেন', 'অস্ট্রিয়া', 'বেলজিয়াম', 'ফ্রান্স']
['গ্রিস', 'ইথিওপিয়া', 'গ্রীস', 'ইউক্রেন', 'বুলগেরিয়া', 'ইকুয়েডর', 'আলজেরিয়া', 'লিথুয়ানিয়া', 'সার্বিয়া', 'পর্তুগাল']
['গ্রীস', 'ইকুয়েডর', 'কিরগিজস্তান', 'টোগো', 'মোজাম্বিক', 'কিউবা', 'পেরু', 'ইরিত্রিয়া', 'চাদ', 'কাজাখস্তান']
['প্যারিস', 'ব্রাসেলস', 'ভিয়েনা', 'ফ্রান্স', 'ইতালি', 'মস্কো', 'গ্রিস', 'সুইডেন', 'বার্লিন', 'জর্জিয়া']
['গ্রিস', 'রোম', 'মেসোপটেমিয়া', 'গ্রীস', 'মিশর', 'ম্যাসিডোনিয়া', 'আলবেনিয়া', 'লিবিয়া', 'আনাতোলিয়া', 'আর্মেনিয়া']
['গ্রিস', 'গ্রীস', 'ইথিওপিয়া', 'সুইডেন', 'বেলারুশ', 'ডেনমার্ক', 'সেনেগাল', 'আলজেরিয়া', 'ইকুয়েডর', 'মোজাম্বিক']
['গ্রিস', 'গ্রীস', 'লিবিয়া', 'আলজেরিয়া', 'ইথিওপিয়া', 'বেলারুশ', 'ইরিত্রিয়া', 'বুলগেরিয়া', 'উজবেকিস্তান', 'কাজাখস্তান']
['টোকিও', 'ব্যাংকক', 'ওসাকা', 'তাইওয়ান', 'পেরু', 'সিঙ্গাপুর', 'ব্রাসেলস', 'ম্যানিলা', 'সাংহাই', 'জর্জিয়া']
['তাইওয়ান', 'ফিলিপাইন', 'ইরাক', 'মালয়েশিয়া', 'নাইজেরিয়া', 'কম্বোডিয়া', 'থাইল্যান্ড', 'তানজানিয়া', 'ইসরায়েল', 'ইরান']
['বেইজিং', 'ইরাক', 'আজারবাইজান', 'ইসরায়েল', 'জিবুতি', 'রাশিয়া', 'ইরান', 'ফিলিপাইন', 'তানজানিয়া', 'ভিয়েতনাম']
['বার্লিন', 'ইরাক', 'জার্মানি', 'ইসরায়েল', 'ফ্রান্স', 'রাশিয়া', 'ভিয়েতনাম', 'ইউক্রেন', 'জেনেভা', 'জার্মানির']
['ইসরায়েল', 'ন্যাটো', 'যুক্তরাষ্ট্র', 'ইরাক', 'যুক্তরাজ্য', 'কানাডা', 'সিআইএ', 'সিকিউরিটি', 'রাশান', 'ফিনল্যান্ড']
['ইরাক', 'ইসরায়েল', 'ইরান', 'লেবানন', 'ফিলিস্তিন', 'তুরস্ক', 'সিরিয়া', 'জর্দান', 'জর্ডান', 'মরক্কো']
['ইরাক', 'ইসরায়েল', 'নাইজেরিয়া', 'নামিবিয়া', 'ফিনল্যান্ড', 'যুক্তরাষ্ট্র', 'উগান্ডা', 'কানাডা', 'জাম্বিয়া', 'ফিলিপাইন']
['ইরাক', 'ইসরায়েল', 'ভিয়েতনাম', 'ন্যাটো', 'রাশিয়া', 'ইউক্রেন', 'নাইজেরিয়া', 'উগান্ডা', 'ইরান', 'ফিনল্যান্ড']
