['কনিষ্ঠ', 'তিনবার', 'জ্যেষ্ঠ', 'উভয়েই', 'দুইবার', '৫৪টি', 'যথাক্রমে', 'চারবার', '১৩টি', 'মাসতুতো']
['তিনবার', 'কনিষ্ঠ', 'চার', '৩৬', 'ছয়', 'দুইবার', 'ছয়জনকে', 'চারবার', 'জ্যেষ্ঠ', 'এক-দুই']
['তিনবার', '৩৬', 'যথাক্রমে', 'পরিচালকসহ', 'চারবার', 'ছয়জনকে', 'মেয়াদে', 'ছয়বার', '৪৫টি', '৫৫']
['৩৬', '৫৫', '৫২', '৮২', 'পনেরো', 'তিনবার', 'মেয়াদে', 'ছয়জনকে', '৭৯.৫', '৫৯']
['৩৬', 'তিনবার', 'মেয়াদে', 'ছয়জনকে', 'দ্বিতীয়ের', '৫৫', 'ছয়', '১০-১১', '৫৯', 'পনেরো']
['৩৬', 'সদস্যদেরই', 'তিনবার', '১৬১টি', 'দ্বিতীয়ের', '৭৯.৫', 'জারেভিচ', 'খ্রীস্টিয়', '৫৫', 'সপ্তাহান্তে']
['টেস্টসহ', 'মেয়াদে', 'তিনবার', '৩৬', 'সুপারটেস্টে', '১৬১টি', 'খেলাগুলোতেও', 'টেস্টেও', 'জেটল্যান্ড', 'সদস্যদেরই']
['', '', '', '', '', '', '', '', '', '']
['সপ্তাহান্তে', '৭৯.৫', '৩৬', '৫৫', 'পনেরো', 'ষোল', 'সপ্তাহেই', 'সপ্তাহে', '৩৮', '৯২']
['জেটল্যান্ড', 'ফ্রান্সিসকে', 'নরসিংহবর্মণ', 'নাসিমসহ', 'বিশ্বকাপজয়ী', '১৬১টি', 'পেদ্রোর', 'দিক-নির্দেশনায়', 'পরমুহুর্তেই', 'খ্রীস্টিয়']
['ম্খাস-গ্রুব-র্জে-দ্গে-লেগ্স-দ্পাল-ব্জাং', 'সঙ্গীতিতে', 'তীর্থংকর', 'পেদ্রোর', 'সদস্যদেরই', 'বর্ষে', 'সন্তকবি', 'ব্যারনেট', 'দ্বিতীয়ের', 'নাসিমসহ']
['পেদ্রোর', 'জেটল্যান্ড', 'নরসিংহবর্মণ', 'নাসিমসহ', 'দিক-নির্দেশনায়', 'শুরুটাও', 'কাপুতোভা', 'টেস্টটিতে', 'একজিকিউটিভ', 'বর্ষে']
['নরসিংহবর্মণ', 'দিক-নির্দেশনায়', 'নাসিমসহ', 'শুরুটাও', 'পেদ্রোর', 'জেটল্যান্ড', 'খ্রীস্টিয়', 'ককবরকে', 'জারেভিচ', 'কাপুতোভা']
['পেদ্রোর', 'নরসিংহবর্মণ', 'নাসিমসহ', 'দিক-নির্দেশনায়', 'মালয়েশিয়াসহ', 'বর্ষে', 'খ্রীস্টিয়', 'ফ্রান্সিসকে', 'দিনেই', 'ককবরকে']
['পেদ্রোর', 'নাসিমসহ', 'জেটল্যান্ড', 'নরসিংহবর্মণ', 'মালয়েশিয়াসহ', 'শুরুটাও', 'ফ্রান্সিসকে', 'পরমুহুর্তেই', 'বর্ষে', 'দিক-নির্দেশনায়']
['নরসিংহবর্মণ', 'পেদ্রোর', 'শুরুটাও', 'জেটল্যান্ড', 'নাসিমসহ', 'খ্রীস্টিয়', 'বর্ষে', 'কাপুতোভা', 'বিশেষজ্ঞই', 'দিক-নির্দেশনায়']
['খ্রীস্টিয়', 'নরসিংহবর্মণ', 'দ্বিতীয়ার্ধে', 'বিশেষজ্ঞই', 'পেদ্রোর', 'জেটল্যান্ড', 'শুরুটাও', 'কুলটির', 'ককবরকে', 'নাসিমসহ']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
