['প্রথম', 'দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', '২য়', 'পঞ্চম', '১ম', 'ষষ্ঠ', 'সপ্তম', 'সর্বশেষ']
['প্রথম', 'দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', 'পঞ্চম', '২য়', 'ষষ্ঠ', '১ম', 'সপ্তম', 'সর্বশেষ']
['প্রথম', 'দ্বিতীয়', 'চতুর্থ', 'তৃতীয়', 'পঞ্চম', '২য়', 'ষষ্ঠ', '১ম', '৩য়', 'সপ্তম']
['প্রথম', 'চতুর্থ', 'দ্বিতীয়', 'তৃতীয়', 'পঞ্চম', 'ষষ্ঠ', '২য়', 'সপ্তম', '১ম', 'সর্বশেষ']
['প্রথম', 'চতুর্থ', 'দ্বিতীয়', 'পঞ্চম', 'ষষ্ঠ', 'তৃতীয়', '২য়', 'সপ্তম', '১ম', 'সর্বশেষ']
['প্রথম', 'দ্বিতীয়', 'চতুর্থ', 'পঞ্চম', 'ষষ্ঠ', '২য়', 'সর্বশেষ', 'তৃতীয়', 'সপ্তম', '১ম']
['প্রথম', 'চতুর্থ', 'দ্বিতীয়', 'পঞ্চম', 'ষষ্ঠ', '২য়', '১ম', 'সর্বশেষ', 'সপ্তম', 'তৃতীয়']
['', '', '', '', '', '', '', '', '', '']
['প্রথম', 'চতুর্থ', 'দ্বিতীয়', 'ষষ্ঠ', '২য়', 'তৃতীয়', 'পঞ্চম', 'সপ্তম', 'সর্বশেষ', '১২তম']
['প্রথম', 'সর্বশেষ', '২য়', '১ম', 'ষষ্ঠ', 'চতুর্থ', '১২তম', 'পঞ্চম', 'দ্বিতীয়', 'সপ্তম']
['প্রথম', 'ষষ্ঠ', 'চতুর্থ', 'পঞ্চম', 'সর্বশেষ', 'অষ্টম', 'সপ্তম', '১ম', '১২তম', 'দ্বিতীয়']
['প্রথম', 'সর্বশেষ', '২য়', '১ম', 'ষষ্ঠ', '১২তম', 'দ্বিতীয়', 'চতুর্থ', '২৫তম', 'পঞ্চম']
['প্রথম', 'সর্বশেষ', '২য়', 'ষষ্ঠ', '১২তম', '১ম', 'পঞ্চম', '৫ম', 'চতুর্থ', 'সপ্তম']
['প্রথম', 'সর্বশেষ', '১২তম', '১ম', '২য়', 'ষষ্ঠ', '৫ম', 'চতুর্থ', 'পঞ্চম', '২৫তম']
['প্রথম', 'সর্বশেষ', '২য়', 'ষষ্ঠ', '১২তম', '১ম', '২৫তম', 'পঞ্চম', '৫ম', '১৫তম']
['প্রথম', 'সর্বশেষ', '২য়', '১ম', '১২তম', 'ষষ্ঠ', '৫ম', 'সর্বপ্রথম', '১৭তম', 'অষ্টম']
['প্রথম', 'ষষ্ঠ', '৫ম', '১ম', '১২তম', '২য়', 'সর্বশেষ', 'সপ্তম', 'নবম', 'অষ্টম']
['প্রথম', 'সপ্তদশ', '১৯শ', '১৭শ', '৫ম', '১৮শ', 'উনবিংশ', '১ম', '১৬শ', '৯ম']
['প্রথম', '৫ম', '১২তম', 'ষষ্ঠ', 'নবম', 'সপ্তম', '২য়', '১ম', '১০ম', '৯ম']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['তৃতীয়', 'দ্বিতীয়', 'চতুর্থ', 'এক', 'প্রথম', 'একটি', 'পঞ্চম', '২য়', 'সপ্তম', 'আরেকটি']
['তৃতীয়', 'চতুর্থ', 'দ্বিতীয়', 'পঞ্চম', '২য়', 'ষষ্ঠ', 'সপ্তম', '৩য়', '১ম', 'অষ্টম']
['তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'দ্বিতীয়', 'ষষ্ঠ', '২য়', '৩য়', 'সপ্তম', 'অষ্টম', '১ম']
['তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'দ্বিতীয়', 'ষষ্ঠ', 'সপ্তম', '৩য়', '২য়', 'অষ্টম', 'নবম']
['চতুর্থ', 'তৃতীয়', 'পঞ্চম', 'দ্বিতীয়', 'ষষ্ঠ', 'সপ্তম', '২য়', 'অষ্টম', '৩য়', '৫ম']
['চতুর্থ', 'তৃতীয়', 'পঞ্চম', 'দ্বিতীয়', 'ষষ্ঠ', 'সপ্তম', '২য়', '৩য়', 'অষ্টম', '৫ম']
['চতুর্থ', 'পঞ্চম', 'তৃতীয়', 'ষষ্ঠ', 'দ্বিতীয়', 'সপ্তম', '২য়', '৪র্থ', 'অষ্টম', '৩য়']
['', '', '', '', '', '', '', '', '', '']
['তৃতীয়', 'চতুর্থ', 'পঞ্চম', 'সপ্তম', 'দ্বিতীয়', 'ষষ্ঠ', '৩য়', '২য়', '৫ম', '৪র্থ']
['পঞ্চম', 'চতুর্থ', '২য়', '৪র্থ', 'ষষ্ঠ', 'সপ্তম', '৫ম', 'অষ্টম', '১ম', '৬ষ্ঠ']
['ষষ্ঠ', 'পঞ্চম', 'চতুর্থ', 'অষ্টম', 'সপ্তম', 'তৃতীয়', 'নবম', 'দশম', '৪র্থ', '৫ম']
['পঞ্চম', 'চতুর্থ', '২য়', 'ষষ্ঠ', '৪র্থ', '২৭তম', '৫ম', 'অষ্টম', 'সপ্তম', '৩য়']
['পঞ্চম', '৫ম', 'সপ্তম', 'চতুর্থ', 'অষ্টম', 'ষষ্ঠ', '৪র্থ', '২য়', 'নবম', 'তৃতীয়']
['ষষ্ঠ', 'পঞ্চম', '৫ম', '৪র্থ', 'চতুর্থ', 'সপ্তম', 'অষ্টম', '২য়', '৬ষ্ঠ', '১৯তম']
['পঞ্চম', 'ষষ্ঠ', '৪র্থ', '৫ম', 'অষ্টম', '২য়', 'সপ্তম', 'চতুর্থ', '১৮তম', '২৭তম']
['৫ম', '৪র্থ', 'ষষ্ঠ', 'পঞ্চম', 'অষ্টম', '২য়', 'সপ্তম', '৬ষ্ঠ', '৮ম', 'নবম']
['৫ম', 'ষষ্ঠ', '৪র্থ', 'সপ্তম', 'পঞ্চম', 'অষ্টম', 'নবম', '৮ম', '৬ষ্ঠ', '২য়']
['৫ম', '১৬শ', '১৭শ', '১৯শ', 'সপ্তদশ', '৮ম', 'ষোড়শ', '১৮শ', 'নবম', 'সপ্তম']
['৫ম', 'নবম', 'সপ্তম', '৮ম', '৪র্থ', '৭ম', 'ষষ্ঠ', '৬ষ্ঠ', 'পঞ্চম', 'অষ্টম']
['এক', 'দ্বিতীয়', 'তৃতীয়', 'চতুর্থ', 'একটি', 'প্রথম', 'আরেকটি', '২য়', 'সপ্তম', 'পঞ্চম']
['চতুর্থ', 'তৃতীয়', 'দ্বিতীয়', 'পঞ্চম', '২য়', 'সপ্তম', 'ষষ্ঠ', '৩য়', '১ম', '৫ম']
['চতুর্থ', 'তৃতীয়', 'দ্বিতীয়', 'পঞ্চম', 'সপ্তম', '২য়', 'ষষ্ঠ', '৩য়', '৫ম', '১ম']
['চতুর্থ', 'তৃতীয়', 'পঞ্চম', 'সপ্তম', 'দ্বিতীয়', 'ষষ্ঠ', '৫ম', '২য়', 'অষ্টম', 'নবম']
['চতুর্থ', 'পঞ্চম', 'তৃতীয়', 'সপ্তম', 'দ্বিতীয়', 'ষষ্ঠ', 'অষ্টম', '৫ম', '২য়', 'নবম']
['চতুর্থ', 'পঞ্চম', 'সপ্তম', 'তৃতীয়', 'ষষ্ঠ', 'দ্বিতীয়', '২য়', '৫ম', 'অষ্টম', '৪র্থ']
['চতুর্থ', 'পঞ্চম', 'সপ্তম', 'ষষ্ঠ', 'তৃতীয়', '২য়', '৪র্থ', 'দ্বিতীয়', 'অষ্টম', '৫ম']
['', '', '', '', '', '', '', '', '', '']
['চতুর্থ', 'সপ্তম', 'পঞ্চম', 'তৃতীয়', 'ষষ্ঠ', 'দ্বিতীয়', '৫ম', '২য়', '৩য়', '৪র্থ']
['চতুর্থ', 'সপ্তম', '৪র্থ', '৫ম', 'পঞ্চম', '২য়', 'ষষ্ঠ', 'অষ্টম', '৬ষ্ঠ', '১৪তম']
['সপ্তম', 'ষষ্ঠ', 'চতুর্থ', 'অষ্টম', 'পঞ্চম', 'নবম', '৫ম', 'দশম', '৮ম', '৪র্থ']
['চতুর্থ', '১৮তম', '২৭তম', '৪র্থ', '৫ম', 'সপ্তম', '২য়', 'পঞ্চম', 'ষষ্ঠ', 'অষ্টম']
['সপ্তম', '৫ম', 'চতুর্থ', '১৪তম', 'পঞ্চম', '১৭তম', 'অষ্টম', '১৮তম', 'ষষ্ঠ', '৪র্থ']
['৫ম', '১৪তম', 'সপ্তম', '১৮তম', '১৯তম', '৪র্থ', 'চতুর্থ', 'ষষ্ঠ', '৮ম', 'অষ্টম']
['১৮তম', '১৪তম', '৫ম', '৪র্থ', 'সপ্তম', 'ষষ্ঠ', '১৭তম', '১৯তম', 'পঞ্চম', 'চতুর্থ']
['৫ম', '১৮তম', '৪র্থ', 'সপ্তম', '১৭তম', '১৪তম', '৮ম', 'অষ্টম', 'ষষ্ঠ', '১৯তম']
['৫ম', 'সপ্তম', '৪র্থ', 'ষষ্ঠ', '৮ম', 'নবম', '১৭তম', 'অষ্টম', '১৪তম', '৬ষ্ঠ']
['১৯শ', '১৭শ', '১৮শ', 'উনবিংশ', 'সপ্তদশ', '৫ম', 'একবিংশ', 'ষোড়শ', '১৬শ', '৮ম']
['৫ম', 'সপ্তম', 'নবম', '৮ম', '৭ম', '১৪তম', '১৭তম', '৪র্থ', '৬ষ্ঠ', 'ত্রয়োদশ']
['তৃতীয়', 'এক', 'পঞ্চম', 'দ্বিতীয়', 'চতুর্থ', 'সপ্তম', '২য়', 'একটি', 'প্রথম', 'অষ্টম']
['পঞ্চম', 'তৃতীয়', 'চতুর্থ', 'দ্বিতীয়', 'ষষ্ঠ', 'অষ্টম', 'সপ্তম', '২য়', 'দশম', '৩য়']
['পঞ্চম', 'তৃতীয়', 'চতুর্থ', 'দ্বিতীয়', 'ষষ্ঠ', 'সপ্তম', 'অষ্টম', '২য়', '৩য়', '১ম']
['পঞ্চম', 'চতুর্থ', 'ষষ্ঠ', 'তৃতীয়', 'অষ্টম', 'সপ্তম', '২য়', '৩য়', 'দশম', 'দ্বিতীয়']
['পঞ্চম', 'চতুর্থ', 'ষষ্ঠ', 'অষ্টম', 'সপ্তম', 'তৃতীয়', 'নবম', 'দশম', '৫ম', '২য়']
['পঞ্চম', 'ষষ্ঠ', 'চতুর্থ', 'সপ্তম', 'অষ্টম', '২য়', 'নবম', 'তৃতীয়', 'দশম', '৪র্থ']
['পঞ্চম', 'ষষ্ঠ', 'অষ্টম', 'সপ্তম', 'চতুর্থ', '৪র্থ', 'নবম', '২য়', 'দশম', '৫ম']
['', '', '', '', '', '', '', '', '', '']
['পঞ্চম', 'ষষ্ঠ', 'সপ্তম', 'চতুর্থ', 'অষ্টম', 'নবম', 'তৃতীয়', '৫ম', '৪র্থ', '৩য়']
['পঞ্চম', 'অষ্টম', 'ষষ্ঠ', '৪র্থ', 'সপ্তম', '৫ম', 'নবম', '২য়', '৮ম', '৬ষ্ঠ']
['অষ্টম', 'পঞ্চম', 'ষষ্ঠ', 'সপ্তম', 'দশম', 'নবম', '৮ম', 'দ্বাদশ', '১০ম', '৪র্থ']
['পঞ্চম', 'অষ্টম', 'ষষ্ঠ', '৪র্থ', '২৭তম', '৫ম', 'সপ্তম', '৮ম', 'নবম', '২য়']
['অষ্টম', 'পঞ্চম', 'ষষ্ঠ', 'সপ্তম', '৫ম', 'নবম', '৪র্থ', '৮ম', '১৭তম', 'দশম']
