['তুমি', 'আমরা', 'দেখি', 'আমাদেরকে', 'তোমরা', 'তোমাকে', 'তোমায়', 'আমায়', 'জানি', 'ওরা']
['সে', 'সেই', 'তারা', 'এমন', 'ওই', 'সেটা', 'তা', 'সেসব', 'সঠিক', 'এই']
['তিনি', 'তারা', 'তাঁরা', 'বিজ্ঞানীরা', 'পদার্থবিজ্ঞানীরা', 'এঁরা', 'আমরা', 'চিরায়ত', 'লেখকরা', 'অংশগ্রহণকারীরা']
['শিক্ষক', 'অধ্যক্ষ', 'প্রভাষক', 'শিক্ষিকা', 'শিক্ষিক', 'অধ্যাপক', 'লেকচারার', 'ছাত্রী', 'শিক্ষকগণ', 'গণিত']
['নিন্ম', 'গতিপথের', 'নাক্ষত্রিক', 'সমতলীয়', 'সর্পিল', 'প্রতিক', 'স্থানাঙ্ক', 'ত্রিভুজ', 'দৈত্যাকার', 'বর্ণবলয়']
['ছাত্র', 'ছাত্রী', 'শিক্ষার্থী', 'ক্যাডেট', 'ছাত্র-ছাত্রী', 'ছাত্রলীগের', 'ভিপি', 'সহসভাপতি', 'শিক্ষক', 'অধ্যক্ষ']
['ধনী', 'প্রভাবশালী', 'সমৃদ্ধিশালী', 'অভিজাত', 'পরিবারগুলো', 'ক্ষমতাধর', 'সম্পদশালী', 'ধনাঢ্য', 'শিল্পোন্নত', 'বৃহৎ']
['ভাই', 'বোন', 'ভাইবোন', 'ছেলে', 'নাতি', 'ভাইও', 'ভাই-বোন', 'সহোদর', 'সৎভাই', 'চাচা']
['শিক্ষক', 'অধ্যক্ষ', 'প্রভাষক', 'শিক্ষিকা', 'শিক্ষিক', 'অধ্যাপক', 'লেকচারার', 'ছাত্রী', 'শিক্ষকগণ', 'গণিত']
['গরু', 'গৃহপালিত', 'শামুক', 'শস্য', 'মুরগি', 'ছাগল', 'জেবু', 'চিংড়ি', 'মাংস', 'মুরগির']
['ছেলে', 'মেয়ে', 'ভাইবোন', 'বোন', 'ভাই', 'সন্তান', 'ভাই-বোন', 'কন্যা', 'কন্যাসন্তান', 'পুত্র']
['', '', '', '', '', '', '', '', '', '']
['ভাই', 'বোন', 'ভাইবোন', 'ছেলে', 'নাতি', 'ভাইও', 'ভাই-বোন', 'সহোদর', 'সৎভাই', 'চাচা']
['পাখি', 'প্রজাতি', 'সাপ', 'প্রাণী', 'পরিযায়ী', 'বাদুড়', 'সরিসৃপ', 'স্তন্যপায়ী', 'পাখির', 'সরীসৃপ']
['সদস্য', 'সদস্যগণ', 'সদস্যও', 'সভাপতি', 'সদস্যবৃন্দ', 'সহ-সভাপতি', 'সদস্যরা', 'মেম্বার', 'আহ্বায়ক', 'প্রতিনিধি']
['সচিব', 'মন্ত্রী', 'উপদেষ্টা', 'মন্ত্রি', 'মহাপরিচালক', 'প্রতিমন্ত্রী', 'অধিকর্তা', 'উপমন্ত্রী', 'উপসচিব', 'যুগ্মসচিব']
