['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['খোঁজ', 'সন্ধান', 'হদিস', 'খোঁজখবর', 'দলবল', 'বহর', 'সাক্ষাৎকার', 'মরদেহ', 'গাড়িতে', 'খবর']
['নির্ধারণে', 'ইতিবাচকভাবে', 'হিফরশি', 'শব্দগতভাবে', 'অল্ট-রাইট', 'পূরনে', 'ওয়াগনারের', 'গ্রেডিয়েন্টের', 'বৈষম্যমূলক', 'প্রার্থিতার']
['', '', '', '', '', '', '', '', '', '']
['চরিত্র', 'দৃশ্যকাব্য', 'রোম্যান্টিক', 'রম্য', 'ঔপন্যাসিক', 'কার্টুনিস্ট', 'চরিত্রের', 'কল্পবিজ্ঞান', 'পত্রিকা', 'চরিত্রগুলো']
['', '', '', '', '', '', '', '', '', '']
['মূলধারার', 'সৃজনশীল', 'শিক্ষামূলক', 'নির্মাতার', 'বৌদ্ধিক', 'শৈল্পিক', 'নগ্নতার', 'বাস্তবতার', 'মানবীয়', 'মূখ্য']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['কারি', 'বুস্টা', 'এইচআরভি', 'সিরিজ|কারি', 'জিলেট', 'আইএনজি', 'লোগান', 'ওরস্লি', 'ওয়ান-ডে', '১৮৮৮-৮৯']
['ডাক্তার', 'সার্জন', 'চিকিৎসক', 'সেবিকা', 'নার্স', 'চিকিত্সক', 'স্ত্রীরোগ', 'ডাঃ', 'কর্মচারি', 'পেশাজীবী']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['বাবু', 'দত্ত', 'বিমল', 'নিরঞ্জন', 'রমেশ', 'সেনগুপ্ত', 'রায়', 'উপেন্দ্র', 'হালদার', 'সুধীর']
['চালানো', 'চালিয়েছিল', 'চালান', 'চালিয়েছে', 'চালাচ্ছে', 'চালাতো', 'চালিয়েছিলেন', 'চালায়', 'চালাত', 'চালালে']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ঘাট', 'আরিচা', 'পাড়', 'জগন্নাথগঞ্জ', 'ধোবি', 'বাহাদুরাবাদ', 'ঘাটে', 'ফেরিঘাট', 'বুড়িগঙ্গা', 'বুড়ি']
['', '', '', '', '', '', '', '', '', '']
['দিন', 'ঘণ্টা', 'বছর', 'সপ্তাহ', 'ঘন্টা', 'মাস', 'মিনিট', 'বৎসর', 'দিনে', 'দিনের']
['', '', '', '', '', '', '', '', '', '']
['গ্রাম', 'মৌজা', 'মহল্লা', 'পুরসভা', 'তহসিল', 'তালুক', 'পঞ্চায়েত', 'গ্রামের', 'বস্তি', 'পৌরসভা']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
