['পূর্বেই', 'আগে', 'আগেই', 'পরেও', 'পর', 'পরও', 'পরেই', 'পরে', 'আগেও', 'আগ']
['আগে', 'আজ', 'এখন', 'সেইদিন', 'ঘুম', 'শেষ', 'নকল', 'আগুন', 'তাড়াতাড়ি', 'বাচ্চা']
['সহিত', 'সঙ্গে', 'সংগে', 'সঙ্গেও', 'সাথে', 'সাথেও', 'সঙ্গেই', 'সংস্পর্শে', 'কাছে', 'সাহচর্যে']
['', '', '', '', '', '', '', '', '', '']
['আগে', 'আজ', 'এখন', 'এখনও', 'শেষ', 'নকল', 'শিকড়', 'এমনকি', 'পুরানো', 'অদৃশ্য']
['তবুও', 'তথাপি', 'তাই', 'যেহেতু', 'যদিও', 'এমনকি', 'তবু', 'কিন্তু', 'নাকি', 'তবে']
['নতুবা', 'বাচ্চা', 'তখন', 'সেরকম', 'আগে', 'হয়তো', 'যেনো', 'ছিঁড়ে', 'নাকি', 'এমনকি']
['নতুবা', 'বাচ্চা', 'তখন', 'সেরকম', 'আগে', 'হয়তো', 'যেনো', 'ছিঁড়ে', 'নাকি', 'এমনকি']
['প্রায়শ', 'এখন', 'এমনকি', 'আগে', 'নকল', 'এখনও', 'ছড়ানো', 'তখন', 'আজ', 'যেহেতু']
['আগে', 'আজ', 'এখন', 'সেইদিন', 'শেষ', 'আগুন', 'ঘুম', 'বাচ্চা', 'নকল', 'বাঁচতে']
['', '', '', '', '', '', '', '', '', '']
['আগে', 'এখন', 'আজ', 'শেষ', 'অনেকদিন', 'শিকড়', 'এখনও', 'আগুন', 'নকল', 'অদৃশ্য']
['আগে', 'এখন', 'আজ', 'শেষ', 'অনেকদিন', 'শিকড়', 'এখনও', 'আগুন', 'নকল', 'অদৃশ্য']
['পূর্বে', 'আগে', 'আগেই', 'পরে', 'পর', 'পরেই', 'পরেও', 'পুর্বে', 'সময়', 'পরও']
['আগেই', 'গেল', 'পরে', 'গা', 'অনতিবিলম্বে', 'গুলি', 'তোরা', 'গেলো', 'সময়', 'গেছে৷']
['সহিত', 'সঙ্গে', 'সংগে', 'সঙ্গেও', 'সাথে', 'সঙ্গেই', 'সাথেও', 'সাথেই', 'মধ্যেও', 'কাছে']
['', '', '', '', '', '', '', '', '', '']
['আগেই', 'গেল', 'পরে', 'সময়', 'গেছে৷', 'কপিগুলি', 'গুলি', 'অনতিবিলম্বে', 'গেলো', 'গা']
['তথাপি', 'তাই', 'তবুও', 'যেহেতু', 'আগেই', 'যদিও', 'তবু', 'এজন্য', 'এইভাবে', 'সময়']
['আগেই', 'ছিটিয়ে', 'গুলি', 'দাঁতে', 'ছাই', 'গেলেই', 'গা', 'চোখে', 'দিলেই', 'অনতিবিলম্বে']
['আগেই', 'ছিটিয়ে', 'গুলি', 'দাঁতে', 'ছাই', 'গেলেই', 'গা', 'চোখে', 'দিলেই', 'অনতিবিলম্বে']
['আগেই', 'গুলি', 'শব্দে', 'পরে', 'এখনও', 'ছিটিয়ে', 'দাঁতে', 'সময়', 'প্রায়শ', 'এইভাবে']
['আগেই', 'গেল', 'অনতিবিলম্বে', 'পরে', 'গা', 'গেছে৷', 'গেলো', 'গুলি', 'তোরা', 'সময়']
['', '', '', '', '', '', '', '', '', '']
['আগেই', 'গেল', 'চোখে', 'গুলি', 'ধসে', 'গেছে৷', 'ধীরে', 'দৃষ্টিশক্তি', 'কপিগুলি', 'সময়']
['আগেই', 'গেল', 'চোখে', 'গুলি', 'ধসে', 'গেছে৷', 'ধীরে', 'দৃষ্টিশক্তি', 'কপিগুলি', 'সময়']
['আগে', 'পূর্বে', 'পুর্বে', 'আজ', 'আগ', 'আগেই', 'পরে', 'পর', 'আগেও', 'পরেও']
['পূর্বেই', 'আগে', 'আগ', 'আগেই', 'পুর্বে', 'পূর্বে', 'আজ', 'পূর্বেও', 'আগেও', 'পরেও']
['আজ', 'সহিত', 'সঙ্গেও', 'এখন', 'আজও', 'এখনও', 'সঙ্গে', 'পরম্পরা', 'এখনো', 'সংগে']
['', '', '', '', '', '', '', '', '', '']
['আজ', 'এখন', 'এখনও', 'এখনো', 'বর্তমানকাল', 'কিয়ামত', 'কাল', 'সূচনালগ্ন', 'আজও', 'অনাদিকাল']
['আজ', 'এখন', 'এখনও', 'এখনো', 'তবু', 'তথাপি', 'সবই', 'প্রকৃতপক্ষে', 'কবে', 'তবুও']
['আজ', 'এখন', 'এখনও', 'এখনো', 'ততক্ষণ', 'কিয়ামত', 'ততক্ষন', 'ততদিন', 'কাল', 'তখনও']
['আজ', 'এখন', 'এখনও', 'এখনো', 'ততক্ষণ', 'কিয়ামত', 'ততক্ষন', 'ততদিন', 'কাল', 'তখনও']
['আজ', 'এখন', 'এখনও', 'এখনো', 'আজও', 'কিয়ামত', 'প্রাচীনকাল', 'কাল', 'শেষভাগ', 'সূচনালগ্ন']
['আজ', 'এখন', 'এখনও', 'এখনো', 'কিয়ামত', 'এতদিন', 'সূচনালগ্ন', 'বর্তমানকাল', 'কাল', 'আজও']
['', '', '', '', '', '', '', '', '', '']
['আজ', 'এখন', 'এখনও', 'এখনো', 'কিয়ামত', 'সূচনালগ্ন', 'কাল', 'আজও', 'শেষভাগ', 'এতদিন']
['আজ', 'এখন', 'এখনও', 'এখনো', 'কিয়ামত', 'সূচনালগ্ন', 'কাল', 'আজও', 'শেষভাগ', 'এতদিন']
['পূর্বে', 'আগে', 'পরে', 'পর', 'সাথে', 'পাশাপাশি', 'পরপরই', 'পরেও', 'আগেই', 'ফলে']
['পূর্বেই', 'পরপরই', 'পূর্বে', 'আগে', 'পর', 'আগেই', 'পরে', 'পরেও', 'পরও', 'ফলে']
['সাথে', 'সঙ্গে', 'সাথেও', 'সংগে', 'সাথেই', 'ঘনিষ্ঠভাবে', 'প্যান', 'পরিবর্তে', 'তাত্ক্ষণিক', 'আর্কে']
['', '', '', '', '', '', '', '', '', '']
['সাথে', 'সঙ্গে', 'সাথেও', 'সংগে', 'ঘনিষ্ঠভাবে', 'সাথেই', 'পিছনে', 'পরিবর্তে', 'তাত্ক্ষণিক', 'আর্কে']
['সাথে', 'সঙ্গে', 'সাথেও', 'সাথেই', 'পরিবর্তে', 'ঘনিষ্ঠভাবে', 'কার্যকারিতা', 'তবে', 'অন্যদিকে', 'পাশাপাশি']
['সাথে', 'সঙ্গে', 'সাথেও', 'পরিবর্তে', 'সাথেই', 'সংগে', 'মতোন', 'খোসা', 'পিছনে', 'হাতল']
['সাথে', 'সঙ্গে', 'সাথেও', 'পরিবর্তে', 'সাথেই', 'সংগে', 'মতোন', 'খোসা', 'পিছনে', 'হাতল']
