['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হও', 'করিবার', 'করো', 'হই', 'করেছিলাম', 'আল্লাহকে', 'হয়েছি', 'করবো', 'করব']
['হলাম', 'হও', 'করিবার', 'করো', 'হই', 'করেছিলাম', 'আল্লাহকে', 'হয়েছি', 'করবো', 'করব']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হই', 'হইলেন', 'হবো', 'হব', 'হয়েছি', 'হও', 'হচ্ছি', 'হয়েছিলাম', 'বললেন-']
['হইল', 'হলাম', 'হই', 'হও', 'হব', 'হয়েছি', 'হবো', 'তব', 'দিব', 'হতাম']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হবো', 'হই', 'করিলেন', 'হও', 'আছো', 'তব', 'হব', 'বললেনঃ', 'বললেন-']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['হলাম', 'হবো', 'হই', 'হও', 'হয়েছি', 'হব', 'হয়েছিলাম', 'নই', 'হতাম', 'ক্ষমাশীল']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['ছুটিতে', 'বরযাত্রী', 'বাসায়', 'চুপচাপ', 'অবসরে', 'সকালে', 'ঐদিন', 'ঘুমিয়ে', 'কামারপুকুরে', 'বেলা']
['', '', '', '', '', '', '', '', '', '']
['করবার', 'করার', 'করানোর', 'করারা', 'খোঁজার', 'করারও', 'হওয়ার', 'এড়ানোর', 'করেও', 'বোঝানোর']
['করবার', 'করার', 'করানোর', 'করারা', 'করিবার', 'খোঁজার', 'করারও', 'এড়ানোর', 'করতে', 'করেও']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['', '', '', '', '', '', '', '', '', '']
['করবার', 'করার', 'করানোর', 'করারা', 'খোঁজার', 'করারও', 'হওয়ার', 'করেও', 'হবার', 'করতে']
